| Government | GHANA |
| Executive branch: | election results: Nana Addo Dankwa AKUFO-ADDO elected president; percent of vote - Nana Addo Dankwa AKUFO-ADDO (NPP) 53.8%, John Dramani MAHAMA (NDC) 44.4%, other 1.8% |
| Legislative branch: | description: unicameral Parliament (275 seats; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) |
| Legislative branch: | elections: last held on 7 December 2016 (next to be held in December 2020) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NPP 171, NDC 104 |
| Judicial branch: | highest court(s): Supreme Court (consists of a chief justice and 12 justices) |
| Judicial branch: | judge selection and term of office: chief justice appointed by the president in consultation with the Council of State (a small advisory body of prominent citizens) and with the approval of Parliament; other justices appointed by the president upon the advice of the Judicial Council (an 18-member independent body of judicial, military and police officials, and presidential nominees) and on the advice of the Council of State; justices can retire at age 60, with compulsory retirement at age 70 |
| Judicial branch: | subordinate courts: Court of Appeal; High Court; Circuit Court; District Court; regional tribunals |
| Political parties and leaders: | note: Ghana has more than 20 registered parties; included are 5 of the more popular parties as of May 2017 |
| Political parties and leaders: | Convention People's Party or CPPm [Edmund DELLE] |
| Political parties and leaders: | National Democratic Congress or NDC [Kofi PORTUPHY] |
| Political parties and leaders: | New Patriotic Party or NPP Nana AKUFO-ADDO] |
| Political parties and leaders: | People's National Convention or PNC Edward MAHAMA] |
| Political parties and leaders: | Peoples Progressive Party or PPP [Dr. Papa Kwesi NDOUM] |
| Political pressure groups and leaders: | public policy think tanks: Institute for Democratic Governance (IDEG); IMANI Center for Policy and Education; Ghana Center for Democratic Development; Institute for Economic Affairs |
| Political pressure groups and leaders: | professional and trade groups: Ghana Bar Association; Ghana Trades Union Congress; American Chamber of Commerce; British Chamber of Commerce; and a host of religious organizations |
| Political pressure groups and leaders: | other: wide range of international and domestic human rights and policy advocacy groups, environmental groups, business organizations, traditional leaders and youth groups |
| International organization participation: | ACP, AfDB, AU, C, ECOWAS, EITI (compliant country), FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSMA, MONUSCO, NAM, OAS (observer), OIF, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNISFA, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Barfour ADJEI-BARWUAH (since 21 July 2017) |
| Diplomatic representation in the US: | chancery: 3512 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 686-4520 |
| Diplomatic representation in the US: | FAX: [1] (202) 686-4527 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Robert P. JACKSON (since 4 February 2016) |
| Diplomatic representation from the US: | embassy: 24 Fourth Circular Rd., Cantonments, Accra |
| Diplomatic representation from the US: | mailing address: P.O. Box 194, Accra |
| Diplomatic representation from the US: | telephone: [233] 030-274-1000 |
| Diplomatic representation from the US: | FAX: [233] 030-274-1389 |
| Flag description: | three equal horizontal bands of red (top), yellow, and green, with a large black five-pointed star centered in the yellow band; red symbolizes the blood shed for independence, yellow represents the country's mineral wealth, while green stands for its forests and natural wealth; the black star is said to be the lodestar of African freedom |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; similar to the flag of Bolivia, which has a coat of arms centered in the yellow band |
| National symbol(s): | black star, golden eagle; national colors: red, yellow, green, black |
| National anthem: | name: "God Bless Our Homeland Ghana" |
| National anthem: | lyrics/music: unknown/Philip GBEHO |
| National anthem: | note: music adopted 1957, lyrics adopted 1966; the lyrics were changed twice, in 1960 when a republic was declared and after a 1966 coup |
