| Government | Serbia |
| Diplomatic representation in the US: | FAX: [1] (202) 332-3933 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Mary WARLICK |
| Diplomatic representation from the US: | embassy: Kneza Milosa 50, 11000 Belgrade |
| Diplomatic representation from the US: | mailing address: 5070 Belgrade Place, Washington, DC 20521-5070 |
| Diplomatic representation from the US: | telephone: [381] (11) 361-9344 |
| Diplomatic representation from the US: | FAX: [381] (11) 361-8230 |
| Flag description: | three equal horizontal stripes of red (top), blue, and white - the Pan-Slav colors representing freedom and revolutionary ideals; charged with the coat of arms of Serbia shifted slightly to the hoist side; the principal field of the coat of arms represents the Serbian state and displays a white two-headed eagle on a red shield; a smaller red shield on the eagle represents the Serbian nation, and is divided into four quarters by a white cross; a white Cyrillic "C" in each quarter stands for the phrase "Only Unity Saves the Serbs"; a royal crown surmounts the coat of arms |
| Flag description: | note: the Pan-Slav colors were inspired by the 19th-century flag of Russia |
| National anthem: | name: "Boze pravde" (God of Justice) |
| National anthem: | lyrics/music: Jovan DORDEVIC/Davorin JENKO |
| National anthem: | note: adopted 1904; the song was originally written as part of a play in 1872 and has been used as an anthem by the Serbian people throughout the 20th and 21st centuries |
