| Government | Serbia |
| Political parties and leaders: | Turnover [Cedomir JOVANOVIC] (includes Liberal Democratic Party or LDP [Cedomir JOVANOVIC], Serbian Renewal Movement or SPO [Vuk DRASKOVIC], Social Democratic Union or SDU [Zarko KORAC], Rich Serbia [Zaharije TRNAVCEVIC], Vojvodina's Party [Igor KURJACKI], Democratic Party of Sandzak, Green Ecological Party [Mithat NOKIC], and Party of Bulgarians of Serbia) |
| Political parties and leaders: | United Regions of Serbia [Mladan DINKIC] |
| Political parties and leaders: | United Serbia or JS [Dragan "Palma" MARKOVIC] |
| Political pressure groups and leaders: | 1389 (Serbian nationalist movement) |
| Political pressure groups and leaders: | Dveri - Movement for the Life of Serbia |
| Political pressure groups and leaders: | Obraz (Orthodox clero-fascist organization) |
| Political pressure groups and leaders: | SNP NASI (Serbian National Movement NASI) |
| International organization participation: | BIS, BSEC, CD, CE, CEI, EAPC, EBRD, EU (candidate country), FAO, G-9, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NAM (observer), OAS (observer), OIF (observer), OPCW, OSCE, PCA, PFP, SELEC, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNMIL, UNOCI, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Vladimir PETROVIC (since 14 April 2009) |
| Diplomatic representation in the US: | chancery: 2134 Kalorama Road NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-0333 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-3933 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Michael KIRBY (since 11 September 2012) |
| Diplomatic representation from the US: | embassy: Kneza Milosa 50, 11000 Belgrade, PAK 112807 |
| Diplomatic representation from the US: | mailing address: 5070 Belgrade Place, Washington, DC 20521-5070 |
| Diplomatic representation from the US: | telephone: [381] (11) 361-9344 |
| Diplomatic representation from the US: | FAX: [381] (11) 361-8230 |
| Flag description: | three equal horizontal stripes of red (top), blue, and white - the Pan-Slav colors representing freedom and revolutionary ideals; charged with the coat of arms of Serbia shifted slightly to the hoist side; the principal field of the coat of arms represents the Serbian state and displays a white two-headed eagle on a red shield; a smaller red shield on the eagle represents the Serbian nation, and is divided into four quarters by a white cross; interpretations vary as to the meaning and origin of the white, curved symbols resembling firesteels or Cyrillic "C's" in each quarter; a royal crown surmounts the coat of arms |
| Flag description: | note: the Pan-Slav colors were inspired by the 19th-century flag of Russia |
| National symbol(s): | double-headed eagle |
| National anthem: | name: "Boze pravde" (God of Justice) |
| National anthem: | lyrics/music: Jovan DORDEVIC/Davorin JENKO |
| National anthem: | note: adopted 1904; the song was originally written as part of a play in 1872 and has been used as an anthem by the Serbian people throughout the 20th and 21st centuries |
