| Government | Guatemala |
| Political parties and leaders: | Commitment, Renewal, and Order or CREO [Rodolfo NEUTZE]; Democratic Union or UD [Edwin Armando MARTINEZ Herrera]; Encounter for Guatemala or EG [Nineth MONTENEGRO]; Grand National Alliance or GANA [Jaime Antonio MARTINEZ Lohayza]; Guatemalan National Revolutionary Unity or URNG [Hector Alfredo NUILA Ericastilla]; Guatemalan Republican Front or FRG [Luis Fernando PEREZ]; National Advancement Party or PAN [Juan GUTIERREZ]; National Unity for Hope or UNE; National Welfare or Bien [Fidel REYES Lee]; Nationalist Change Union or UCN [Mario ESTRADA]; New National Alternative or ANN [Pablo MONSANTO]; Patriot Party or PP [Ingrid Roxana BALDETTI Elias]; Renewed Democratic Liberty or LIDER [Manuel BALDIZON]; Unionista Party or PU [Alvaro ARZU Irigoyen]; Victoria (Victory) [Abraham RIVERA]; Winaq [Rigoberta MENCHU] |
| Political pressure groups and leaders: | Alliance Against Impunity or AI (which includes among others Center for Legal Action on Human Rights (CALDH), and Family and Friends of the Disappeared of Guatemala (FAMDEGUA)); Agrarian Owners Group or UNAGRO; Committee for Campesino Unity or CUC; Coordinating Committee of Agricultural, Commercial, Industrial, and Financial Associations or CACIF (which includes among others the Agrarian Chamber (CAMAGRO) and the Industry Chamber of Guatemala (CIG)); Guatemalan Chamber of Commerce (Camara de Comercio); International Commission Against Impunity in Guatemala or CICIG; Mutual Support Group or GAM; Movimiento PRO-Justicia |
| International organization participation: | BCIE, CACM, CD, CELAC, EITI (candidate country), FAO, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), LAES, LAIA (observer), MIGA, MINUSTAH, MONUSCO, NAM, OAS, OPANAL, OPCW, PCA, Petrocaribe, SICA, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNIFIL, Union Latina, UNISFA, UNITAR, UNMISS, UNOCI, UNSC (temporary), UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Francisco VILLAGRAN de Leon |
| Diplomatic representation in the US: | chancery: 2220 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 745-4953 |
| Diplomatic representation in the US: | FAX: [1] (202) 745-1908 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Denver, Houston, Los Angeles, Miami, New York, Phoenix, Providence, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Arnold A. CHACON |
| Diplomatic representation from the US: | embassy: 7-01 Avenida Reforma, Zone 10, Guatemala City |
| Diplomatic representation from the US: | mailing address: DPO AA 34024 |
| Diplomatic representation from the US: | telephone: [502] 2326-4000 |
| Diplomatic representation from the US: | FAX: [502] 2326-4654 |
| Flag description: | three equal vertical bands of light blue (hoist side), white, and light blue, with the coat of arms centered in the white band; the coat of arms includes a green and red quetzal (the national bird) representing liberty and a scroll bearing the inscription LIBERTAD 15 DE SEPTIEMBRE DE 1821 (the original date of independence from Spain) all superimposed on a pair of crossed rifles signifying Guatemala's willingness to defend itself and a pair of crossed swords representing honor and framed by a laurel wreath symbolizing victory; the blue bands stand for the Pacific Ocean and the Caribbean Sea and the sea and sky; the white band denotes peace and purity |
| National symbol(s): | quetzal (bird) |
| National anthem: | name: "Himno Nacional de Guatemala" (National Anthem of Guatemala) |
| National anthem: | lyrics/music: Jose Joaquin PALMA/Rafael Alvarez OVALLE |
| National anthem: | note: adopted 1897, modified lyrics adopted 1934; Cuban poet Jose Joaquin PALMA anonymously submitted lyrics to a public contest calling for a national anthem; his authorship was not discovered until 1911 |
