| Government | Guatemala |
| Political parties and leaders: | Center of Social Action or CASA [Feliz Adolfo RUANO de Leon]; Democracy Front or FRENTE [Alfonso CABRERA]; Democratic Union or UD [Edwin Armando MARTINEZ Herrera]; Encounter for Guatemala or EG [Nineth MONTENGRO]; Grand National Alliance or GANA [Jaime Antonio MARTINEZ Lohayza]; Guatemalan National Revolutionary Unity or URNG [Hector Alfredo NUILA Ericastilla]; Guatemalan Republican Front or FRG [Luis Fernando PEREZ]; Independent Bloc Guatemala or BG [Macario Efrain OLIVA Muralles]; Independent Democratic Freedom Renewed or LIDER [Manuel BALDIZON]; National Advancement Party or PAN [Juan GUTIERREZ]; National Unity for Hope or UNE [Roberto KESTLER Velasquez]; Nationalist Change Union or UCN [Mario ESTRADA]; Patriot Party or PP [Ingrid Roxana BALDETTI Elias]; Unionista Party or PU [Alvaro ARZU Irigoyen] |
| Political pressure groups and leaders: | Agrarian Owners Group or UNAGRO; Alliance Against Impunity or AAI; Committee for Campesino Unity or CUC; Coordinating Committee of Agricultural, Commercial, Industrial, and Financial Associations or CACIF; International Commission Against Impunity in Guatemala or CICIG; Mutual Support Group or GAM |
| International organization participation: | BCIE, CACM, FAO, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, LAES, LAIA (observer), MIGA, MINUSTAH, MONUSCO, NAM, OAS, OPANAL, OPCW, PCA, PetroCaribe, RG, SICA, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNIFIL, Union Latina, UNISFA, UNITAR, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Julio Armando MARTINI Herrera |
| Diplomatic representation in the US: | chancery: 2220 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 745-4952 |
| Diplomatic representation in the US: | FAX: [1] (202) 745-1908 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Denver, Houston, Los Angeles, Miami, New York, Phoenix, Providence, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Stephen G. MCFARLAND |
| Diplomatic representation from the US: | embassy: 7-01 Avenida Reforma, Zone 10, Guatemala City |
| Diplomatic representation from the US: | mailing address: APO AA 34024 |
| Diplomatic representation from the US: | telephone: [502] 2326-4000 |
| Diplomatic representation from the US: | FAX: [502] 2326-4654 |
| Flag description: | three equal vertical bands of light blue (hoist side), white, and light blue, with the coat of arms centered in the white band; the coat of arms includes a green and red quetzal (the national bird) representing liberty and a scroll bearing the inscription LIBERTAD 15 DE SEPTIEMBRE DE 1821 (the original date of independence from Spain) all superimposed on a pair of crossed rifles signifying Guatemala's willingness to defend itself and a pair of crossed swords representing honor and framed by a laurel wreath symbolizing victory; the blue bands stand for the Pacific Ocean and the Caribbean Sea and the sea and sky; the white band denotes peace and purity |
| National symbol(s): | quetzal (bird) |
| National anthem: | name: "Himno Nacional de Guatemala" (National Anthem of Guatemala) |
| National anthem: | lyrics/music: Jose Joaquin PALMA/Rafael Alvarez OVALLE |
| National anthem: | note: adopted 1897, modified lyrics adopted 1934; Cuban poet Jose Joaquin PALMA anonymously submitted lyrics to a public contest calling for a national anthem; his authorship was not discovered until 1911 |
