| Government | Guatemala |
| Judicial branch: | judge selection and term of office: Supreme Court magistrates elected by the Congress of the Republic from candidates proposed by the Postulation Committee, an independent body of deans of the country's university law schools, representatives of the country's law associations, and representatives of the Court of Appeal and other tribunals; magistrates elected for renewable 5-year terms; Constitutional Court judges - 1 elected by the Congress of the Republic, 1 by the Supreme Court, 1 by the president of the republic, 1 by the University of San Carlos, and 1 by a lawyers bar association; judges elected for concurrent 5-year terms; the presidency of the court rotates among the magistrates for a single 1-year term |
| Judicial branch: | subordinate courts: numerous first instance and appellate courts |
| Political parties and leaders: | Commitment, Renewal, and Order or CREO [Roberto GONZALEZ Diaz-Duran] |
| Political parties and leaders: | Democratic Union or UD [Edwin Armando MARTINEZ Herrera] |
| Political parties and leaders: | Encounter for Guatemala or EG [Nineth MONTENEGRO Cottom] |
| Political parties and leaders: | Everyone Together for Guatemala or TODOS [Felipe ALEJOS] |
| Political parties and leaders: | Grand National Alliance or GANA [Jaime Antonio MARTINEZ Lohayza] |
| Political parties and leaders: | Guatemalan National Revolutionary Unity or URNG [Angel SANCHEZ Viesca] |
| Political parties and leaders: | Institutional Republican Party (formerly the Guatemalan Republican Front) or PRI [Luis Fernando PEREZ] |
| Political parties and leaders: | National Advancement Party or PAN [Juan GUTIERREZ Strauss] |
| Political parties and leaders: | National Unity for Hope or UNE [Sandra TORRES] |
| Political parties and leaders: | Nationalist Change Union or UCN [Mario ESTRADA] |
| Political parties and leaders: | New National Alternative or ANN [Pablo MONSANTO] |
| Political parties and leaders: | Patriot Party or PP [Ingrid Roxana BALDETTI Elias] |
| Political parties and leaders: | Renewed Democratic Liberty or LIDER [Manuel BALDIZON] |
| Political parties and leaders: | Unionista Party or PU [Alvaro ARZU Irigoyen] |
| Political parties and leaders: | Victoria (Victory) [Amilcar RIVERA] |
| Political parties and leaders: | Vision with Values or VIVA [Harold CABALLEROS] (part of a coalition with EG during the last legislative election) |
| Political parties and leaders: | Winaq [Rigoberta MENCHU] |
| Political pressure groups and leaders: | Alliance Against Impunity or AI (which includes among others Center for Legal Action on Human Rights (CALDH), and Family and Friends of the Disappeared of Guatemala (FAMDEGUA)) |
| Political pressure groups and leaders: | Civic and Political Convergence of Women |
| Political pressure groups and leaders: | Committee for Campesino Unity or CUC |
| Political pressure groups and leaders: | Coordinating Committee of Agricultural, Commercial, Industrial, and Financial Associations or CACIF |
| Political pressure groups and leaders: | Foundation for the Development of Guatemala or FUNDESA |
| Political pressure groups and leaders: | Guatemala Visible |
| Political pressure groups and leaders: | Mutual Support Group or GAM |
| Political pressure groups and leaders: | Movimiento PRO-Justicia |
| Political pressure groups and leaders: | National Union of Agriculture Workers or UNAGRO |
| International organization participation: | BCIE, CACM, CD, CELAC, EITI (candidate country), FAO, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), LAES, LAIA (observer), MIGA, MINUSTAH, MONUSCO, NAM, OAS, OPANAL, OPCW, Pacific Alliance (observer), PCA, Petrocaribe, SICA, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNIFIL, Union Latina, UNISFA, UNITAR, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jose Julio Alejandro LIGORRIA Carballido (since 5 September 2013) |
| Diplomatic representation in the US: | chancery: 2220 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 745-4952 |
| Diplomatic representation in the US: | FAX: [1] (202) 745-1908 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Denver, Houston, Los Angeles, McAllen (TX), Miami, New York, Phoenix, Providence (RI), San Francisco, Silver Spring (MD), |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant), Chargé d'Affairs ad interim Bruce WILLIAMSON (since 5 March 2014) |
| Diplomatic representation from the US: | embassy: 7-01 Avenida Reforma, Zone 10, Guatemala City |
| Diplomatic representation from the US: | mailing address: DPO AA 34024 |
| Diplomatic representation from the US: | telephone: [502] 2326-4000 |
| Diplomatic representation from the US: | FAX: [502] 2326-4654 |
| Flag description: | three equal vertical bands of light blue (hoist side), white, and light blue, with the coat of arms centered in the white band; the coat of arms includes a green and red quetzal (the national bird) representing liberty and a scroll bearing the inscription LIBERTAD 15 DE SEPTIEMBRE DE 1821 (the original date of independence from Spain) all superimposed on a pair of crossed rifles signifying Guatemala's willingness to defend itself and a pair of crossed swords representing honor and framed by a laurel wreath symbolizing victory; the blue bands represent the Pacific Ocean and Caribbean Sea; the white band denotes peace and purity |
| National symbol(s): | quetzal (bird) |
| National anthem: | name: "Himno Nacional de Guatemala" (National Anthem of Guatemala) |
| National anthem: | lyrics/music: Jose Joaquin PALMA/Rafael Alvarez OVALLE |
| National anthem: | note: adopted 1897, modified lyrics adopted 1934; Cuban poet Jose Joaquin PALMA anonymously submitted lyrics to a public contest calling for a national anthem; his authorship was not discovered until 1911 |
