| Government | Sweden |
| Executive branch: | head of government: Prime Minister Stefan LOFVEN (since 3 October 2014); Deputy Prime Minister Isabella LOVIN (since 25 May 2016); note - Prime Minister Stefan LOFVEN was ousted in a no-confidence vote on 25 September 2018 and headed a caretaker government until the next government was formed; LOFVEN was reelected as Prime Minister and took office on 21 January 2019Â  |
| Executive branch: | cabinet: Cabinet appointed by the prime minister |
| Executive branch: | elections/appointments: the monarchy is hereditary; following legislative elections, the leader of the majority party or majority coalition usually becomes the prime minister |
| Legislative branch: | description: unicameral Parliament or Riksdag (349 seats; 310 members directly elected in multi-seat constituencies by closed, party-list proportional representation vote and 39 members in "at-large" seats directly elected by proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: last held on 9 September 2018 (next to be held in 2022) |
| Legislative branch: | election results: percent of vote by party - SAP 28.3%, M 19.8%, SD 17.5%, C 8.6%, V 8%, KD 6.3%, L 5.5%, MP 4.4%, other 1.6%; seats by party - SAP 100, M 70, SD 62, C 31, V 28, KD 22, L 20, MP 16; composition - men 188, women 161, percent of women 46.1% |
| Judicial branch: | highest courts: Supreme Court of Sweden (consists of 16 justices, including the court chairman); Supreme Administrative Court (consists of 18 justices, including the court president) |
| Judicial branch: | judge selection and term of office: Supreme Court and Supreme Administrative Court justices nominated by the Judges Proposal Board, a 9-member nominating body consisting of high-level judges, prosecutors, and members of Parliament; justices appointed by the Government; following a probationary period, justices' appointments are permanent |
| Judicial branch: | subordinate courts: first instance, appellate, general, and administrative courts; specialized courts that handle cases such as land and environment, immigration, labor, markets, and patents |
| Political parties and leaders: | Center Party (Centerpartiet) or C [Annie LOOF] |
| Political parties and leaders: | Christian Democrats (Kristdemokraterna) or KD [Ebba Busch THOR] |
| Political parties and leaders: | Green Party (Miljopartiet de Grona) or MP [Isabella LOVIN and Per BOLUND] |
| Political parties and leaders: | Left Party (Vansterpartiet) or V [Jonas SJOSTEDT] |
| Political parties and leaders: | Liberal Party (Liberalerna) or L [Jan BJORKLUND] |
| Political parties and leaders: | Moderate Party (Moderaterna) or M [Ulf KRISTERSSON] |
| Political parties and leaders: | Swedish Social Democratic Party (Socialdemokraterna) or SAP [Stefan LOFVEN] |
| Political parties and leaders: | Sweden Democrats (Sverigedemokraterna) or SD [Jimmie AKESSON] |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council, Australia Group, BIS, CBSS, CD, CE, CERN, EAPC, EBRD, ECB, EIB, EITI (implementing country), EMU, ESA, EU, FAO, FATF, G-9, G-10, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, MONUSCO, NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, PFP, Schengen Convention, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMISS, UNMOGIP, UNRWA, UN Security Council (temporary), UNTSO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Karin Ulrika OLOFSDOTTER (since 17 September 2017) |
| Diplomatic representation in the US: | chancery: The House of Sweden, 2900 K Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 536-1500 |
| Diplomatic representation in the US: | FAX: [1] (202) 536-1501 |
| Diplomatic representation in the US: | consulate(s) general: New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Kenneth A. HOWERY (since 10 October 2019)Â  |
| Diplomatic representation from the US: | telephone: [46] (08) 783 53 00 |
| Diplomatic representation from the US: | embassy: Dag Hammarskjolds Vag 31, SE-11589 Stockholm |
| Diplomatic representation from the US: | mailing address: American Embassy Stockholm, US Department of State, 5750 Stockholm Place, Washington, DC 20521-5750 |
| Diplomatic representation from the US: | FAX: [46] (08) 661 19 64 |
| Flag description: | blue with a golden yellow cross extending to the edges of the flag; the vertical part of the cross is shifted to the hoist side in the style of the Dannebrog (Danish flag); the colors reflect those of the Swedish coat of arms - three gold crowns on a blue field |
| National symbol(s): | three crowns, lion; national colors: blue, yellow |
| National anthem: | name: "Du Gamla, Du Fria" (Thou Ancient, Thou Free) |
| National anthem: | lyrics/music: Richard DYBECK/traditional |
| National anthem: | note: in use since 1844; also known as "Sang till Norden" (Song of the North), is based on a Swedish folk tune; it has never been officially adopted by the government; "Kungssangen" (The King's Song) serves as the royal anthem and is played in the presence of the royal family and during certain state ceremonies |
