| Government | Venezuela |
| Political parties and leaders: | Brave People's Alliance or ABP [Richard BLANCO] |
| Political parties and leaders: | Christian Democrats or COPEI [Roberto ENRIQUEZ] |
| Political parties and leaders: | Clear Accounts or CC [Enzo SCARENO] |
| Political parties and leaders: | Coalition of parties loyal to Hugo CHAVEZ -- Great Patriotic Pole or GPP [Nicolas MADURO] |
| Political parties and leaders: | Coalition of opposition parties -- The Democratic Unity Table or MUD [Jose Luis CARTAYA] |
| Political parties and leaders: | Come On Venezuela or VV [Maria MACHADO] |
| Political parties and leaders: | Communist Party of Venezuela or PCV [Oscar FIGUERA] |
| Political parties and leaders: | Democratic Action or AD [Henry RAMOS ALLUP] |
| Political parties and leaders: | Justice First or PJ [Julio BORGES] |
| Political parties and leaders: | Popular Will or VP [Leopoldo LOPEZ] |
| Political parties and leaders: | Progressive Wave or AP [Henri FALCON] |
| Political parties and leaders: | The Radical Cause or La Causa R [Andres VELAZQUEZ] |
| Political parties and leaders: | United Socialist Party of Venezuela or PSUV [Nicolas MADURO] |
| Political parties and leaders: | Venezuelan Progressive Movement or MPV [Simon CALZADILLA] |
| Political parties and leaders: | Venezuela Project or PV [Henrique Fernando SALAS FEO] |
| International organization participation: | Caricom (observer), CD, CDB, CELAC, FAO, G-15, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt (signatory), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ITSO, ITU, ITUC (NGOs), LAES, LAIA, LAS (observer), MIGA, NAM, OAS, OPANAL, OPCW, OPEC, PCA, Petrocaribe, UN, UNASUR, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Carlos Lissett M. HERNANDEZ Marquez (since May 2018) |
| Diplomatic representation in the US: | chancery: 1099 30th Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-2214 |
| Diplomatic representation in the US: | FAX: [1] (202) 342-6820 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Houston, New Orleans, New York, San Francisco, San Juan (Puerto Rico) |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires James "Jimmy" STORY (since July 2018); note - on 11 March 2019, the Department of State announced the temporary suspension of operations of the US Embassy in Caracas and the withdrawal of diplomatic personnel; all consular services, routine and emergency, are suspended |
| Diplomatic representation from the US: | telephone: [58] (212) 975-6411, 907-8400 (after hours) |
| Diplomatic representation from the US: | Â  |
| Diplomatic representation from the US: | embassy: now operating from Bogota, Colombia |
| Diplomatic representation from the US: | previously - F St. and Suapure St.; Urb . Colinas de Valle Arriba; Caracas 1080 |
| Diplomatic representation from the US: | mailing address: P. O. Box 62291, Caracas 1060-A; APO AA 34037 |
| Diplomatic representation from the US: | FAX: [58] (212) 907-8106 |
| Flag description: | three equal horizontal bands of yellow (top), blue, and red with the coat of arms on the hoist side of the yellow band and an arc of eight white five-pointed stars centered in the blue band; the flag retains the three equal horizontal bands and three main colors of the banner of Gran Colombia, the South American republic that broke up in 1830; yellow is interpreted as standing for the riches of the land, blue for the courage of its people, and red for the blood shed in attaining independence; the seven stars on the original flag represented the seven provinces in Venezuela that united in the war of independence; in 2006, then President Hugo CHAVEZ ordered an eighth star added to the star arc - a decision that sparked much controversy - to conform with the flag proclaimed by Simon Bolivar in 1827 and to represent the historic province of Guayana |
| National symbol(s): | troupial (bird); national colors: yellow, blue, red |
| National anthem: | name: "Gloria al bravo pueblo" (Glory to the Brave People) |
| National anthem: | lyrics/music: Vicente SALIAS/Juan Jose LANDAETA |
| National anthem: | note: adopted 1881; lyrics written in 1810, the music some years later; both SALIAS and LANDAETA were executed in 1814 during Venezuela's struggle for independence |
