| Government | Venezuela |
| Political parties and leaders: | Venezuela Project or PV [Henrique SALAS ROMER] |
| Political pressure groups and leaders: | Bolivarian and Socialist Workers' Union (a ruling party labor union) |
| Political pressure groups and leaders: | Confederacion Venezolana de Industriales or Coindustria (a conservative business group) |
| Political pressure groups and leaders: | Consejos Comunales (pro-Chavez local cooperatives) |
| Political pressure groups and leaders: | FEDECAMARAS (a conservative business group) |
| Political pressure groups and leaders: | Union of Oil Workers of Venezuela or FUTPV |
| Political pressure groups and leaders: | Venezuelan Confederation of Workers or CTV (opposition-oriented labor organization) |
| Political pressure groups and leaders: | various civil society groups and human rights organizations |
| International organization participation: | Caricom (observer), CD, CDB, CELAC, FAO, G-15, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ITSO, ITU, ITUC (NGOs), LAES, LAIA, LAS (observer), Mercosur, MIGA, NAM, OAS, OPANAL, OPCW, OPEC, PCA, Petrocaribe, UN, UNASUR, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant) |
| Diplomatic representation in the US: | chancery: 1099 30th Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-2214 |
| Diplomatic representation in the US: | FAX: [1] (202) 342-6820 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Houston, Miami, New Orleans, New York, San Francisco, San Juan (Puerto Rico) |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant) |
| Diplomatic representation from the US: | embassy: Calle F con Calle Suapure, Urbanizacion Colinas de Valle Arriba, Caracas 1080 |
| Diplomatic representation from the US: | mailing address: P. O. Box 62291, Caracas 1060-A; APO AA 34037 |
| Diplomatic representation from the US: | telephone: [58] (212) 975-6411, 907-8400 (after hours) |
| Diplomatic representation from the US: | FAX: [58] (212) 907-8199 |
| Flag description: | three equal horizontal bands of yellow (top), blue, and red with the coat of arms on the hoist side of the yellow band and an arc of eight white five-pointed stars centered in the blue band; the flag retains the three equal horizontal bands and three main colors of the banner of Gran Colombia, the South American republic that broke up in 1830; yellow is interpreted as standing for the riches of the land, blue for the courage of its people, and red for the blood shed in attaining independence; the seven stars on the original flag represented the seven provinces in Venezuela that united in the war of independence; in 2006, President Hugo CHAVEZ ordered an eighth star added to the star arc - a decision that sparked much controversy - to conform with the flag proclaimed by Simon Bolivar in 1827 and to represent the province of Guayana |
| National symbol(s): | troupial (bird) |
| National anthem: | name: "Gloria al bravo pueblo" (Glory to the Brave People) |
| National anthem: | lyrics/music: Vicente SALIAS/Juan Jose LANDAETA |
| National anthem: | note: adopted 1881; the lyrics were written in 1810, the music some years later; both SALIAS and LANDAETA were executed in 1814 during Venezuela's struggle for independence |
