| Government | San Marino |
| International organization participation: | CE, FAO, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), IPU, ITU, ITUC (NGOs), LAIA (observer), OPCW, OSCE, Schengen Convention (de facto member), UN, UNCTAD, UNESCO, Union Latina, UNWTO, UPU, WHO, WIPO |
| Diplomatic representation in the US: | Ambassador Damiano BELEFFI (since 21 July 2017) |
| Diplomatic representation in the US: | chancery: 327 E 50th Street, New York, NY 10022 |
| Diplomatic representation in the US: | Embassy address: |
| Diplomatic representation in the US: | Â  Â Â  1711 North Street, NW (2nd Floor) |
| Diplomatic representation in the US: | Â  Â  Â  Washington, DC 22036 |
| Diplomatic representation in the US: | telephone: [1] (212) 751-1234 |
| Diplomatic representation in the US: | [1] (202) 223-24l8 |
| Diplomatic representation in the US: | [1] (202) 751-1436 |
| Diplomatic representation in the US: | FAX: [1] (212) 751-1436 |
| Diplomatic representation from the US: | the United States does not have an Embassy in San Marino; the US Ambassador to Italy is accredited to San Marino, and the US Consulate general in Florence maintains day-to-day ties |
| Flag description: | two equal horizontal bands of white (top) and light blue with the national coat of arms superimposed in the center; the main colors derive from the shield of the coat of arms, which features three white towers on three peaks on a blue field; the towers represent three castles built on San Marino's highest feature, Mount Titano: Guaita, Cesta, and Montale; the coat of arms is flanked by a wreath, below a crown and above a scroll bearing the word LIBERTAS (Liberty); the white and blue colors are also said to stand for peace and liberty respectively |
| National symbol(s): | three peaks each displaying a tower; national colors: white, blue |
| National anthem: | name: "Inno Nazionale della Repubblica" (National Anthem of the Republic) |
| National anthem: | lyrics/music: no lyrics/Federico CONSOLO |
| National anthem: | note: adopted 1894; the music for the lyric-less anthem is based on a 10th century chorale piece |
