| Government | Burma |
| Political parties and leaders: | Shan Nationalities Democratic Party or SNDP [SAI AIKE PAUNG] |
| Political parties and leaders: | Shan Nationalities League for Democracy or SNLD [HKUN HTUN OO] |
| Political parties and leaders: | Union Solidarity and Development Party or USDP [SHWE MANN, HTAY OO] |
| Political parties and leaders: | numerous smaller parties |
| Political pressure groups and leaders: | Thai border: |
| Political pressure groups and leaders: | Ethnic Nationalities Council or ENC |
| Political pressure groups and leaders: | Federation of Trade Unions-Burma or FTUB (exile trade union and labor advocates) |
| Political pressure groups and leaders: | National Coalition Government of the Union of Burma or NCGUB (self-proclaimed government in exile) ["Prime Minister" Dr. SEIN WIN] consists of individuals, some legitimately elected to the People's Assembly in 1990 (the group fled to a border area and joined insurgents in December 1990 to form a parallel government in exile) |
| Political pressure groups and leaders: | National Council-Union of Burma or NCUB (exile coalition of opposition groups) |
| Political pressure groups and leaders: | United Nationalities Federal Council (UNFC) |
| Inside Burma: | Karen National Union or KNU |
| Inside Burma: | Karenni National People's Party or KNPP |
| Inside Burma: | United Wa State Army or UWSA |
| Inside Burma: | 88 Generation Students (pro-democracy movement) |
| Inside Burma: | several other Chin, Karen, Mon, and Shan factions |
| Inside Burma: | note: freedom of expression has been highly restricted in Burma; the restrictions are being relaxed by the government; political groups, other than parties approved by the government, are limited in number |
| International organization participation: | ADB, ARF, ASEAN, BIMSTEC, CP, EAS, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC (NGOs), NAM, OPCW (signatory), SAARC (observer), UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador KYAW MYO HTUT (since 3 December 2013) |
| Diplomatic representation in the US: | chancery: 2300 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-3344 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-4351 |
| Diplomatic representation in the US: | consulate(s) general: none; Burma has a Mission to the UN in New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Derek J. MITCHELL (since 11 July 2012) |
| Diplomatic representation from the US: | embassy: 110 University Avenue, Kamayut Township, Rangoon |
| Diplomatic representation from the US: | mailing address: Box B, APO AP 96546 |
| Diplomatic representation from the US: | telephone: [95] (1) 536-509, 535-756, 538-038 |
| Diplomatic representation from the US: | FAX: [95] (1) 511-069 |
| Flag description: | design consists of three equal horizontal stripes of yellow (top), green, and red; centered on the green band is a large white five-pointed star that partially overlaps onto the adjacent colored stripes; the design revives the triband colors used by Burma from 1943-45, during the Japanese occupation |
| National symbol(s): | chinthe (mythical lion) |
| National anthem: | name: "Kaba Ma Kyei" (Till the End of the World, Myanmar) |
| National anthem: | lyrics/music: SAYA TIN |
| National anthem: | note: adopted 1948; Burma is among a handful of non-European nations that have anthems rooted in indigenous traditions; the beginning portion of the anthem is a traditional Burmese anthem before transitioning into a Western-style orchestrated work |
