| Government | Burma |
| Political pressure groups and leaders: | Inside Burma: Kachin Independence Organization or KIO; Karen National Union or KNU; Karenni National People's Party or KNPP; Union Solidarity and Development Association or USDA (pro-regime, a social and political mass-member organization) [HTAY OO, general secretary] became the Union Solidarity and Development Party in 2010; United Wa State Army or UWSA; 88 Generation Students (pro-democracy movement); several other Shan factions |
| International organization participation: | ADB, ARF, ASEAN, BIMSTEC, CP, EAS, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, ISO (correspondent), ITU, NAM, OPCW (signatory), SAARC (observer), UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires HAN THU - note: Burma does not have an ambassador to the United States |
| Diplomatic representation in the US: | chancery: 2300 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-3344 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-4351 |
| Diplomatic representation in the US: | consulate(s) general: none; Burma has a Mission to the UN in New York |
| Diplomatic representation from the US: | chief of mission: Charge d'Affaires Larry M. DINGER - note: The United States does not have an ambassador to Burma |
| Diplomatic representation from the US: | embassy: 110 University Avenue, Kamayut Township, Rangoon |
| Diplomatic representation from the US: | mailing address: Box B, APO AP 96546 |
| Diplomatic representation from the US: | telephone: [95] (1) 536-509, 535-756, 538-038 |
| Diplomatic representation from the US: | FAX: [95] (1) 650-306 |
| Flag description: | design consists of three equal horizontal stripes of yellow (top), green, and red; centered on the green band is a large white five-pointed star that partially overlaps onto the adjacent colored stripes; the design revives the triband colors used by Burma from 1943-45, during the Japanese occupation |
| National anthem: | name: "Kaba Ma Kyei" (Till the End of the World, Myanmar) |
| National anthem: | lyrics/music: SAYA TIN |
| National anthem: | note: adopted 1948; Burma is among a handful of non-European nations that have anthems rooted in indigenous traditions; the beginning portion of the anthem is a traditional Burmese anthem before transitioning into a Western-style orchestrated work |
