| Government | Burma |
| Executive branch: | note: a parliamentary bill creating the position of "state counsellor" was signed into law by former President HTIN KYAW on 6 April 2016; a state counsellor serves the equivalent term of the president and is similar to a prime minister in that the holder acts as a link between the parliament and the executive branch |
| Legislative branch: | description: bicameral Assembly of the Union or Pyidaungsu consists of: |
| Legislative branch: | House of Nationalities or Amyotha Hluttaw, (224 seats; 168 members directly elected in single-seat constituencies by absolute majority vote with a second round if needed and 56 appointed by the military; members serve 5-year terms) |
| Legislative branch: | House of Representatives or Pyithu Hluttaw, (440 seats, currently 433; 330 members directly elected in single-seat constituencies by simple majority vote and 110 appointed by the military; members serve 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | House of Nationalities - last held on 8 November 2015 (next to be held in 2020) |
| Legislative branch: | House of Representatives - last held on 8 November 2015 (next to be held in 2020) |
| Legislative branch: | election results: |
| Legislative branch: | House of Nationalities - percent of vote by party - NLD 60.3%, USDP 4.9%, ANP 4.5%, SNLD 1.3%, other 4%, military appointees 25%; seats by party - NLD 135, USDP 11, ANP 10, SNLD 3, TNP 2, ZCD 2, other 3, independent 2, military appointees 56; composition - men 201, women 23, percent of women 10.3% |
| Legislative branch: | House of Representatives - percent of vote by party - NLD 58%, USDP 6.8%, ANP 2.7%, SNLD 2.7%, military 25%, other 4.8%; seats by party - NLD 255, USDP 30, ANP 12, SNLD 12, PNO 3, TNP 3, LNDP 2, ZCD 2, other 3, independent 1, canceled due to insurgence 7, military appointees 110; composition - men 392, women 41, percent of women 9.5% |
| Judicial branch: | highest courts: Supreme Court of the Union (consists of the chief justice and 7-11 judges) |
| Judicial branch: | judge selection and term of office: chief justice and judges nominated by the president, with approval of the Lower House, and appointed by the president; judges normally serve until mandatory retirement at age 70 |
| Judicial branch: | subordinate courts: High Courts of the Region; High Courts of the State; Court of the Self-Administered Division; Court of the Self-Administered Zone; district and township courts; special courts (for juvenile, municipal, and traffic offenses); courts martial |
| Political parties and leaders: | All Mon Region Democracy Party or AMRDP |
| Political parties and leaders: | Arakan National Party or ANP (formed from the 2013 merger of the Rakhine Nationalities Development Party and the Arakan League for Democracy) |
| Political parties and leaders: | National Democratic Force or NDF [KHIN MAUNG SWE] |
| Political parties and leaders: | National League for Democracy or NLD [AUNG SAN SUU KYI] |
| Political parties and leaders: | National Unity Party or NUP [THAN TIN] |
| Political parties and leaders: | Pa-O National Organization or PNO [AUNG KHAM HTI] |
| Political parties and leaders: | People's Party [KO KO GYI] |
| Political parties and leaders: | Shan Nationalities Democratic Party or SNDP [SAI AIK PAUNG] |
| Political parties and leaders: | Shan Nationalities League for Democracy or SNLD [KHUN HTUN OO] |
| Political parties and leaders: | Ta'ang National Party or TNP [AIK MONE] |
| Political parties and leaders: | Union Solidarity and Development Party or USDP [THAN HTAY] |
| Political parties and leaders: | Zomi Congress for Democracy or ZCD [PU CIN SIAN THANG] |
| Political parties and leaders: | numerous smaller parties |
| International organization participation: | ADB, ARF, ASEAN, BIMSTEC, CP, EAS, EITI (candidate country), FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC (NGOs), NAM, OPCW (signatory), SAARC (observer), UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador AUNG LYNN (since 16 September 2016) |
| Diplomatic representation in the US: | chancery: 2300 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-3344 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-4351 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Scot MARCIEL (since 27 April 2016) |
| Diplomatic representation from the US: | telephone: [95] (1) 536-509, 535-756, 538-038 |
| Diplomatic representation from the US: | embassy: 110 University Avenue, Kamayut Township, Rangoon |
| Diplomatic representation from the US: | mailing address: Box B, APO AP 96546 |
| Diplomatic representation from the US: | FAX: [95] (1) 511-069 |
| Flag description: | design consists of three equal horizontal stripes of yellow (top), green, and red; centered on the green band is a large white five-pointed star that partially overlaps onto the adjacent colored stripes; the design revives the triband colors used by Burma from 1943-45, during the Japanese occupation |
| National symbol(s): | chinthe (mythical lion); national colors: yellow, green, red, white |
| National anthem: | name: "Kaba Ma Kyei" (Till the End of the World, Myanmar) |
| National anthem: | lyrics/music: SAYA TIN |
| National anthem: | note: adopted 1948; Burma is among a handful of non-European nations that have anthems rooted in indigenous traditions; the beginning portion of the anthem is a traditional Burmese anthem before transitioning into a Western-style orchestrated work |
