| Government | BURMA |
| Legislative branch: | election results: Upper House - percent of vote by party - NA; seats by party - NLD 135, USDP 11, ANP 10, SNLD 3, ZCD 2, TNP 2, independent 2, other 3, military appointees 56; Lower House - percent of vote by party - NA; seats by party - NLD 255, USDP 30, ANP 12, SNLD 12, PNO 3, TNP 3, ZCD 2, LNDP 2, independent 1, other 3, canceled due to insurgence 7, military appointees 110 |
| Judicial branch: | highest court(s): Supreme Court of the Union (consists of the chief justice and 7-11 judges) |
| Judicial branch: | judge selection and term of office: chief justice and judges nominated by the president, with approval of the Lower House, and appointed by the president; judges normally serve until mandatory retirement at age 70 |
| Judicial branch: | subordinate courts: High Courts of the Region; High Courts of the State; Court of the Self-Administered Division; Court of the Self-Administered Zone; district and township courts; special courts (for juvenile, municipal, and traffic offenses); courts martial |
| Political parties and leaders: | All Mon Region Democracy Party or AMRDP [NAING NGWE THEIN] |
| Political parties and leaders: | Arakan National Party or ANP [Dr. AYE MAUNG] (formed from the 2013 merger of the Rakhine Nationalities Development Party and the Arakan League for Democracy) |
| Political parties and leaders: | National Democratic Force or NDF [KHIN MAUNG SWE] |
| Political parties and leaders: | National League for Democracy or NLD [AUNG SAN SUU KYI] |
| Political parties and leaders: | National Unity Party or NUP [THAN TIN] |
| Political parties and leaders: | Pa-O National Organization or PNO [AUNG KHAN HTI] |
| Political parties and leaders: | Shan Nationalities Democratic Party or SNDP [SAI AIK PAUNG] |
| Political parties and leaders: | Shan Nationalities League for Democracy or SNLD [KHUN HTUN OO] |
| Political parties and leaders: | Ta'ang National Party or TNP [AIK MONE] |
| Political parties and leaders: | Union Solidarity and Development Party or USDP [HTAY OO] |
| Political parties and leaders: | Zomi Congress for Democracy or ZCD [PU CIN SIAN THANG] |
| Political parties and leaders: | numerous smaller parties |
| Political pressure groups and leaders: | Thai border: Ethnic Nationalities Council or ENC |
| Political pressure groups and leaders: | Federation of Trade Unions-Burma or FTUB (exile trade union and labor advocates) |
| Political pressure groups and leaders: | National Coalition Government of the Union of Burma or NCGUB (self-proclaimed government in exile) ["Prime Minister" Dr. SEIN WIN] consists of individuals, some legitimately elected to the People's Assembly in 1990 (the group fled to a border area and joined insurgents in December 1990 to form a parallel government in exile) |
| Political pressure groups and leaders: | National Council-Union of Burma or NCUB (exile coalition of opposition groups) |
| Political pressure groups and leaders: | United Nationalities Federal Council or UNFC |
| Political pressure groups and leaders: | inside Burma: Kachin Independence Organization |
| Political pressure groups and leaders: | Karen National Union or KNU |
| Political pressure groups and leaders: | Karenni National People's Party or KNPP |
| Political pressure groups and leaders: | United Wa State Army or UWSA |
| Political pressure groups and leaders: | 88 Generation Students (pro-democracy movement) |
| Political pressure groups and leaders: | several other Chin, Karen, Mon, and Shan factions |
| Political pressure groups and leaders: | note: many restrictions on freedom of expression have been relaxed by the government; a limited number of political groups, other than parties, are approved by the government |
| International organization participation: | ADB, ARF, ASEAN, BIMSTEC, CP, EAS, EITI (candidate country), FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC (NGOs), NAM, OPCW (signatory), SAARC (observer), UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador AUNG LYNN (since 16 September 2016) |
| Diplomatic representation in the US: | chancery: 2300 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-3344 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-4351 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Scot MARCIEL (since 27 April 2016) |
| Diplomatic representation from the US: | embassy: 110 University Avenue, Kamayut Township, Rangoon |
| Diplomatic representation from the US: | mailing address: Box B, APO AP 96546 |
| Diplomatic representation from the US: | telephone: [95] (1) 536-509, 535-756, 538-038 |
| Diplomatic representation from the US: | FAX: [95] (1) 511-069 |
| Flag description: | design consists of three equal horizontal stripes of yellow (top), green, and red; centered on the green band is a large white five-pointed star that partially overlaps onto the adjacent colored stripes; the design revives the triband colors used by Burma from 1943-45, during the Japanese occupation |
| National symbol(s): | chinthe (mythical lion); national colors: yellow, green, red, white |
| National anthem: | name: "Kaba Ma Kyei" (Till the End of the World, Myanmar) |
| National anthem: | lyrics/music: SAYA TIN |
| National anthem: | note: adopted 1948; Burma is among a handful of non-European nations that have anthems rooted in indigenous traditions; the beginning portion of the anthem is a traditional Burmese anthem before transitioning into a Western-style orchestrated work |
