| Government | Puerto Rico |
| Political parties and leaders: | Puerto Rican Independence Party or PIP [Ruben BERRIOS Martinez] (pro-independence) |
| Political pressure groups and leaders: | Boricua Popular Army or EPB (a revolutionary group also known as Los Macheteros) |
| Political pressure groups and leaders: | note: the following radical groups are considered dormant by Federal law enforcement: Armed Forces for National Liberation or FALN, Armed Forces of Popular Resistance, Volunteers of the Puerto Rican Revolution |
| International organization participation: | Caricom (observer), Interpol (subbureau), IOC, UNWTO (associate), UPU |
| Diplomatic representation in the US: | none (territory of the US) |
| Diplomatic representation from the US: | none (territory of the US with commonwealth status) |
| Flag description: | five equal horizontal bands of red (top and bottom) alternating with white; a blue isosceles triangle based on the hoist side bears a large, white, five-pointed star in the center; the white star symbolizes Puerto Rico; the three sides of the triangle signify the executive, legislative and judicial parts of the government; blue stands for the sky and the coastal waters; red symbolizes the blood shed by warriors, while white represents liberty, victory, and peace |
| Flag description: | note: design initially influenced by the US flag, but similar to the Cuban flag, with the colors of the bands and triangle reversed |
| National symbol(s): | Puerto Rican spindalis (bird); coqui (frog) |
| National anthem: | name: "La Borinquena" (The Puerto Rican) |
| National anthem: | lyrics/music: Manuel Fernandez JUNCOS/Felix Astol ARTES |
| National anthem: | note: music adopted 1952, lyrics adopted 1977; the local anthem's name is a reference to the indigenous name of the island, Borinquen; the music was originally composed as a dance in 1867 and gained popularity in the early 20th century; there is some evidence that the music was written by Francisco RAMIREZ; as a commonwealth of the United States, "The Star-Spangled Banner" is official (see United States) |
