| Government | Peru |
| Legislative branch: | description: unicameral Congress of the Republic of Peru or Congreso de la Republica del Peru (130 seats; members directly elected in multi-seat constituencies by closed party-list proportional representation vote to serve single 5-year terms) |
| Legislative branch: | elections: last held on 10 April 2016 with run-off election on 6 June 2016 (next to be held in April 2021) |
| Legislative branch: | election results: percent of vote by party/coalition - Fuerza Popular 36.3%, PPK 16.5%, Frente Amplio 13.9%, APP 9.2%; APRA 8.3%; AP 7.2%, other 8.6%; seats by party/coalition - Fuerza Popular 73, Frente Amplio 20, PPK 18, APP 9; APRA 5; AP 5; composition - men 94, women 36, percent of women 27.7% |
| Judicial branch: | highest courts: Supreme Court (consists of 16 judges and divided into civil, criminal, and constitutional-social sectors) |
| Judicial branch: | judge selection and term of office: justices proposed by the National Board of Justice (a 7-member independent body), nominated by the president, and confirmed by the Congress; justices can serve until mandatory retirement at age 70 |
| Judicial branch: | subordinate courts: Court of Constitutional Guarantees; Superior Courts or Cortes Superiores; specialized civil, criminal, and mixed courts; 2 types of peace courts in which professional judges and selected members of the local communities preside |
| Political parties and leaders: | Alliance for Progress (Alianza para el Progreso) or APP [Cesar ACUNA Peralta]American Popular Revolutionary Alliance or APRA |
| Political parties and leaders: | Broad Front (Frente Amplio; also known as El Frente Amplio por Justicia, Vida y Libertad) (coalition includes Nuevo Peru [Veronika Mendoza], Tierra y Libertad [Marco ARANA Zegarra], and Fuerza Social [Susana VILLARAN de la Puente] |
| Political parties and leaders: | Fuerza Popular (formerly Fuerza 2011) [Keiko FUJIMORI Higuchi] |
| Political parties and leaders: | National Solidarity (Solidaridad Nacional) or SN [Luis CASTANEDA Lossio] |
| Political parties and leaders: | Peru Posible or PP (coalition includes Accion Popular and Somos Peru) [Alejandro TOLEDO Manrique] |
| Political parties and leaders: | Peruvian Aprista Party (Partido Aprista Peruano) or PAP [Javier VELASQUEZ Quesquen] (also referred to by its original name Alianza Popular Revolucionaria Americana or APRA) |
| Political parties and leaders: | Peruvian Nationalist Party [Ollanta HUMALA] |
| Political parties and leaders: | Peruvians for Change (Peruanos Por el Kambio) or PPK [Pedro Pablo KUCZYNSKI] |
| Political parties and leaders: | Popular Action (Accion Popular) or AP [Mesias GUEVARA Amasifuen] |
| Political parties and leaders: | Popular Christian Party (Partido Popular Cristiano) or PPC [Lourdes FLORES Nano] |
| International organization participation: | APEC, BIS, CAN, CD, CELAC, EITI (compliant country), FAO, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, LAIA, Mercosur (associate), MIGA, MINUSTAH, MONUSCO, NAM, OAS, OPANAL, OPCW, Pacific Alliance, PCA, SICA (observer), UN, UNAMID, UNASUR, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNISFA, UNMISS, UNOCI, UN Security Council (temporary), UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Carlos Jose PAREJA Rios (since 16 September 2016) |
| Diplomatic representation in the US: | chancery: 1700 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 833-9860 through 9869 |
| Diplomatic representation in the US: | FAX: [1] (202) 659-8124 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Dallas, Denver, Hartford (CT), Houston, Los Angeles, Miami, New York, Paterson (NJ), San Francisco, Washington DC |
| Diplomatic representation from the US: | chief of mission: Ambassador Krishna R. URS (since 18 October 2017) |
| Diplomatic representation from the US: | telephone: [51] (1) 618-2000 |
| Diplomatic representation from the US: | embassy: Avenida La Encalada, Cuadra 17 s/n, Surco, Lima 33 |
| Diplomatic representation from the US: | mailing address: P. O. Box 1995, Lima 1; American Embassy (Lima), APO AA 34031-5000 |
| Diplomatic representation from the US: | FAX: [51] (1) 618-2397 |
| Flag description: | three equal, vertical bands of red (hoist side), white, and red with the coat of arms centered in the white band; the coat of arms features a shield bearing a vicuna (representing fauna), a cinchona tree (the source of quinine, signifying flora), and a yellow cornucopia spilling out coins (denoting mineral wealth); red recalls blood shed for independence, white symbolizes peace |
| National symbol(s): | vicuna (a camelid related to the llama); national colors: red, white |
| National anthem: | name: "Himno Nacional del Peru" (National Anthem of Peru) |
| National anthem: | lyrics/music: Jose DE LA TORRE Ugarte/Jose Bernardo ALZEDO |
| National anthem: | note: adopted 1822; the song won a national anthem contest |
