| Government | ARMENIA |
| Legislative branch: | description: unicameral National Assembly (Parliament) or Azgayin Zhoghov (minimum 101 seats, currently 105; members directly elected in single-seat constituencies by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 2 April 2017 (next to be held in spring of 2022) |
| Legislative branch: | election results: percent of vote by party - RPA 49.2%, Tsarukyan Alliance 27.4%, Yelk (Way Out) 7.8%, ARF (Dashnak) 6.6%, other 9%; seats by party - RPA 58, Tsarukyan Alliance 31, Yelk (Way Out) 9, ARF (Dashnak) 7 |
| Judicial branch: | highest court(s): Court of Cassation (consists of the court chairman and organized into the criminal chamber and a civil and administrative chamber, each with a chamber chairman and 2 judges); Constitutional Court (consists of 9 judges) |
| Judicial branch: | judge selection and term of office: Court of Cassation judges nominated by the Judicial Council, a 9-member body of selected judges and legal scholars; judges appointed by the president; Constitutional Court judges - 4 appointed by the president, and 5 elected by National Assembly; judges of both courts can serve until retirement at age 65 |
| Judicial branch: | subordinate courts: 2 Courts of Appeal (for civil cases and for criminal and military cases); district courts; Administrative Court |
| Political parties and leaders: | Armenian National Congress or ANC (bloc of independent and opposition parties) [Levon TER-PETROSSIAN] |
| Political parties and leaders: | Armenian National Movement or ANM [Ararat ZURABIAN] |
| Political parties and leaders: | Armenian Revolutionary Federation or ARF ("Dashnak" Party) [Hrant MARKARIAN] |
| Political parties and leaders: | Heritage Party [Raffi HOVHANNISIAN] |
| Political parties and leaders: | People's Party of Armenia [Stepan DEMIRCHIAN] |
| Political parties and leaders: | Prosperous Armenia [Gagik TSARUKYAN] |
| Political parties and leaders: | Republican Party of Armenia or RPA [Serzh SARGSIAN] |
| Political parties and leaders: | Rule of Law Party (Orinats Yerkir) [Artur BAGHDASARIAN] |
| Political parties and leaders: | Tsarukyan Alliance [Gagik TSARUKYAN] |
| Political parties and leaders: | Yelk (Way Out) Alliance [Edmon Marukyan] |
| Political pressure groups and leaders: | Aylentrank (Impeachment Alliance) [Nikol PASHINIAN] |
| Political pressure groups and leaders: | Yerkrapah Union [Manvel GRIGORIAN] |
| International organization participation: | ADB, BSEC, CD, CE, CIS, CSTO, EAEC (observer), EAEU, EAPC, EBRD, FAO, GCTU, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, MIGA, NAM (observer), OAS (observer), OIF, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UNIFIL, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Grigor HOVHANNISSIAN (since 28 January 2016) |
| Diplomatic representation in the US: | chancery: 2225 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 319-1976 |
| Diplomatic representation in the US: | FAX: [1] (202) 319-2982 |
| Diplomatic representation in the US: | consulate(s) general: Glendale (CA) |
| Diplomatic representation from the US: | chief of mission: Ambassador Richard MILLS (since 13 February 2015) |
| Diplomatic representation from the US: | embassy: 1 American Ave., Yerevan 0082 |
| Diplomatic representation from the US: | mailing address: American Embassy Yerevan, US Department of State, 7020 Yerevan Place, Washington, DC 20521-7020 |
| Diplomatic representation from the US: | telephone: [374](10) 464-700 |
| Diplomatic representation from the US: | FAX: [374](10) 464-742 |
| Flag description: | three equal horizontal bands of red (top), blue, and orange; the color red recalls the blood shed for liberty, blue the Armenian skies as well as hope, and orange the land and the courage of the workers who farm it |
| National symbol(s): | Mount Ararat, eagle, lion; national colors: red, blue, orange |
| National anthem: | name: "Mer Hayrenik" (Our Fatherland) |
| National anthem: | lyrics/music: Mikael NALBANDIAN/Barsegh KANACHYAN |
| National anthem: | note: adopted 1991; based on the anthem of the Democratic Republic of Armenia (1918-1922) but with different lyrics |
