| Government | Ireland |
| International organization participation: | ADB (nonregional member), Australia Group, BIS, CE, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, FATF, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MONUSCO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, PFP, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNOCI, UNRWA, UNTSO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Michael COLLINS |
| Diplomatic representation in the US: | chancery: 2234 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 462-3939 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-5993 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Daniel ROONEY |
| Diplomatic representation from the US: | embassy: 42 Elgin Road, Ballsbridge, Dublin 4 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [353] (1) 668-8777 |
| Diplomatic representation from the US: | FAX: [353] (1) 668-9946 |
| Flag description: | three equal vertical bands of green (hoist side), white, and orange; officially the flag colors have no meaning, but a common interpretation is that the green represents the Irish nationalist (Gaelic) tradition of Ireland; orange represents the Orange tradition (minority supporters of William of Orange); white symbolizes peace (or a lasting truce) between the green and the orange |
| Flag description: | note: similar to the flag of Cote d'Ivoire, which is shorter and has the colors reversed - orange (hoist side), white, and green; also similar to the flag of Italy, which is shorter and has colors of green (hoist side), white, and red |
| National anthem: | name: "Amhran na bhFiann" (The Soldier"s Song) |
| National anthem: | lyrics/music: Peadar KEARNEY [English], Liam O RINN [Irish]/Patrick HEENEY and Peadar KEARNEY |
| National anthem: | note: adopted 1926; instead of "Amhran na bhFiann," the song "Ireland"s Call" is often used in athletic events where citizens of the Republic of Ireland and Northern Ireland compete as a unified team |
