| Government | Ireland |
| Judicial branch: | judge selection and term of office: judges nominated by the prime minister and Cabinet and appointed by the president; chief justice serves in the position for 7 years; judges can serve until age 70 |
| Judicial branch: | subordinate courts: High Court, Court of Appeal; circuit and district courts; criminal courts |
| Political parties and leaders: | Solidarity-People Before Profit or AAAS-PBP [collective leadership] |
| Political parties and leaders: | Fianna Fail [Micheal MARTIN] |
| Political parties and leaders: | Fine Gael [Leo VARADKAR] |
| Political parties and leaders: | Green Party [Eamon RYAN] |
| Political parties and leaders: | Labor (Labour) Party [Brendan HOWLIN] |
| Political parties and leaders: | Renua Ireland (vacant) |
| Political parties and leaders: | Sinn Fein [Mary Lou MCDONALD] |
| Political parties and leaders: | Social Democrats [Catherine MURPHY, Roisin SHORTALL] |
| Political parties and leaders: | Socialist Party [collective leadership] |
| Political parties and leaders: | The Workers' Party [Michael DONNELLY] |
| International organization participation: | ADB (nonregional member), Australia Group, BIS, CD, CE, EAPC, EBRD, ECB, EIB, EMU, ESA, EU, FAO, FATF, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MONUSCO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, PFP, UN, UNCTAD, UNDOF, UNESCO, UNHCR, UNIDO, UNIFIL, UNOCI, UNRWA, UNTSO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | Ambassador Daniel Gerard MULHALL (since 8 September 2017) |
| Diplomatic representation in the US: | chancery: 2234 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 462-3939 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-5993 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Austin (TX), Boston, Chicago, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: AmbassadorÂ Edward F. CRAWFORDÂ (sinceÂ 1 July 2019) |
| Diplomatic representation from the US: | telephone: [353] (1) 630-6200 |
| Diplomatic representation from the US: | embassy: 42 Elgin Road, Ballsbridge, Dublin 4 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | FAX: [353] (1) 688-9946 |
| Flag description: | three equal vertical bands of green (hoist side), white, and orange; officially the flag colors have no meaning, but a common interpretation is that the green represents the Irish nationalist (Gaelic) tradition of Ireland; orange represents the Orange tradition (minority supporters of William of Orange); white symbolizes peace (or a lasting truce) between the green and the orange |
| Flag description: | note: similar to the flag of Cote d'Ivoire, which is shorter and has the colors reversed - orange (hoist side), white, and green; also similar to the flag of Italy, which is shorter and has colors of green (hoist side), white, and red |
| National symbol(s): | harp, shamrock (trefoil); national colors: blue, green |
| National anthem: | name: "Amhran na bhFiann" (The Soldier's Song) |
| National anthem: | lyrics/music: Peadar KEARNEY [English], Liam O RINN [Irish]/Patrick HEENEY and Peadar KEARNEY |
| National anthem: | note: adopted 1926; instead of "Amhran na bhFiann," the song "Ireland's Call" is often used at athletic events where citizens of Ireland and Northern Ireland compete as a unified team |
