| Government | Afghanistan |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: |
| Executive branch: | President of the Islamic Republic of Afghanistan Ashraf GHANI Ahmadzai (since 29 September 2014); CEO Abdullah ABDULLAH, Dr. (since 29 September 2014); First Vice President Abdul Rashid DOSTAM (since 29 September 2014); Second Vice President Sarwar DANESH (since 29 September 2014); First Deputy CEO Khyal Mohammad KHAN; Second Deputy CEO Mohammad MOHAQQEQ; note - the president is both chief of state and head of government |
| Executive branch: | head of government: |
| Executive branch: | President of the Islamic Republic of Afghanistan Ashraf GHANI Ahmadzai (since 29 September 2014); CEO Abdullah ABDULLAH, Dr. (since 29 September 2014); First Vice President Abdul Rashid DOSTAM (since 29 September 2014); Second Vice President Sarwar DANESH (since 29 September 2014); First Deputy CEO Khyal Mohammad KHAN; Second Deputy CEO Mohammad MOHAQQEQ |
| Executive branch: | cabinet: Cabinet consists of 25 ministers appointed by the president, approved by the National Assembly |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 28 September 2019 (next to be held in 2024) |
| Executive branch: | election results: NA |
| Legislative branch: | description: bicameral National Assembly consists of: |
| Legislative branch: | Meshrano Jirga or House of Elders (102 seats; 34 members indirectly elected by absolute majority vote in 2 rounds if needed by district councils to serve 3-year terms, 34 indirectly elected by absolute majority vote in 2 rounds if needed by provincial councils to serve 4-year terms, and 34 appointed by the president from nominations by civic groups, political parties, and the public, of which 17 must be women, 2 must represent the disabled, and 2 must be Kuchi nomads; presidential appointees serve 5-year terms) |
| Legislative branch: | Wolesi Jirga or House of People (250 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Meshrano Jirga - district councils - within 5 days of installation; provincial councils - within 15 days of installation; presidential appointees - within 2 weeks after the presidential inauguration |
| Legislative branch: | Wolesi Jirga - last held on 20 October 2018) (next to be held in 2023) |
| Legislative branch: | election results: |
| Legislative branch: | Meshrano Jirga - percent of vote by party - NA; seats by party - NA; composition - men 84, women 18, percent of women 17.6% |
| Legislative branch: | Wolesi Jirga - percent of vote by party NA; seats by party - NA; composition - NA |
| Legislative branch: | note: the constitution allows the government to convene a constitutional Loya Jirga (Grand Council) on issues of independence, national sovereignty, and territorial integrity; it consists of members of the National Assembly and chairpersons of the provincial and district councils; a Loya Jirga can amend provisions of the constitution and prosecute the president; no constitutional Loya Jirga has ever been held, and district councils have never been elected; the president appointed 34 members of the Meshrano Jirga that the district councils should have indirectly elected |
| Judicial branch: | highest courts: Supreme Court or Stera Mahkama (consists of the supreme court chief and 8 justices organized into criminal, public security, civil, and commercial divisions or dewans) |
| Judicial branch: | judge selection and term of office: court chief and justices appointed by the president with the approval of the Wolesi Jirga; court chief and justices serve single 10-year terms |
| Judicial branch: | subordinate courts: Appeals Courts; Primary Courts; Special Courts for issues including narcotics, security, property, family, and juveniles |
| Political parties and leaders: | note - the Ministry of Justice licensed 72 political parties as of April 2019Â  |
| International organization participation: | ADB, CICA, CP, ECO, EITI (candidate country), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIC, OPCW, OSCE (partner), SAARC, SACEP, SCO (dialogue member), UN, UNAMA, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Roya RAHMANI (since 24 November 2018) |
| Diplomatic representation in the US: | chancery: 2341 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-6410 |
| Diplomatic representation in the US: | FAX: [1] (202) 483-6488 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York, Washington, DC |
| Diplomatic representation from the US: | chief of mission: Ambassador John BASS (since December 2017) |
| Diplomatic representation from the US: | telephone: [00 93] 0700 108 001 |
| Diplomatic representation from the US: | embassy: Bibi Mahru, Kabul |
| Diplomatic representation from the US: | mailing address: U.S. Embassy Kabul, APO AE 09806 |
| Diplomatic representation from the US: | FAX: [00 93] 0700 108 564 |
| Flag description: | three equal vertical bands of black (hoist side), red, and green, with the national emblem in white centered on the red band and slightly overlapping the other 2 bands; the center of the emblem features a mosque with pulpit and flags on either side, below the mosque are Eastern Arabic numerals for the solar year 1298 (1919 in the Gregorian calendar, the year of Afghan independence from the UK); this central image is circled by a border consisting of sheaves of wheat on the left and right, in the upper-center is an Arabic inscription of the Shahada (Muslim creed) below which are rays of the rising sun over the Takbir (Arabic expression meaning "God is great"), and at bottom center is a scroll bearing the name Afghanistan; black signifies the past, red is for the blood shed for independence, and green can represent either hope for the future, agricultural prosperity, or Islam |
| Flag description: | note: Afghanistan had more changes to its national flag in the 20th century - 19 by one count - than any other country; the colors black, red, and green appeared on most of them |
| National symbol(s): | lion; national colors: red, green, black |
| National anthem: | name: "Milli Surood" (National Anthem) |
| National anthem: | lyrics/music: Abdul Bari JAHANI/Babrak WASA |
| National anthem: | note: adopted 2006; the 2004 constitution of the post-Taliban government mandated that a new national anthem should be written containing the phrase "Allahu Akbar" (God is Greatest) and mentioning the names of Afghanistan's ethnic groups |
