| Government | Afghanistan |
| Executive branch: | cabinet: 27 ministers; note - under the new constitution, ministers are appointed by the president and approved by the National Assembly |
| Executive branch: | elections: the president and two vice presidents are elected by direct vote for a five-year term (eligible for a second term); if no candidate receives 50% or more of the vote in the first round of voting, the two candidates with the most votes will participate in a second round; a president can only be elected for two terms; election last held 9 October 2004 (next to be held in 2009) |
| Executive branch: | election results: Hamid KARZAI elected president; percent of vote - Hamid KARZAI 55.4%, Yunus QANOONI 16.3%, Ustad Mohammad MOHAQQEQ 11.6%, Abdul Rashid DOSTAM 10.0%, Abdul Latif PEDRAM 1.4%, Masooda JALAL 1.2% |
| Legislative branch: | the bicameral National Assembly consists of the Wolesi Jirga or House of People (no more than 249 seats), directly elected for five-year terms, and the Meshrano Jirga or House of Elders (102 seats, one-third elected from provincial councils for four-year terms, one-third elected from local district councils for three-year terms - provincial councils elected temporary members to fill these seats until district councils are formed, and one-third presidential appointees for five-year terms; the presidential appointees will include 2 representatives of Kuchis and 2 representatives of the disabled; half of the presidential appointees will be women) |
| Legislative branch: | note: on rare occasions the government may convene a Loya Jirga (Grand Council) on issues of independence, national sovereignty, and territorial integrity; it can amend the provisions of the constitution and prosecute the president; it is made up of members of the National Assembly and chairpersons of the provincial and district councils |
| Legislative branch: | elections: last held 18 September 2005 (next to be held for the Wolesi Jirga by September 2009; next to be held for the provincial councils to the Meshrano Jirga by September 2008) |
| Legislative branch: | election results: the single non-transferable vote (SNTV) system used in the election did not make use of political party slates; most candidates ran as independents |
| Judicial branch: | the constitution establishes a nine-member Stera Mahkama or Supreme Court (its nine justices are appointed for 10-year terms by the president with approval of the Wolesi Jirga) and subordinate High Courts and Appeals Courts (note - nine supreme court justices were appointed in the interim in January 2005 pending National Assembly selection of the constitutionally mandated justices); there is also a minister of justice; a separate Afghan Independent Human Rights Commission established by the Bonn Agreement is charged with investigating human rights abuses and war crimes |
| Political parties and leaders: | note - includes only political parties approved by the Ministry of Justice: Afghan Millat [Anwarul Haq AHADI]; De Afghanistan De Solay Ghorzang Gond [Shahnawaz TANAI]; De Afghanistan De Solay Mili Islami Gond [Shah Mahmood Polal ZAI]; Harakat-e-Islami Afghanistan [Mohammad Asif MOHSINEE]; Hezb-e-Aarman-e-Mardum-e-Afghanistan [Iihaj Saraj-u-din ZAFAREE]; Hezb-e-Aazadee Afghanistan [Abdul MALIK]; Hezb-e-Adalat-e-Islami Afghanistan [Mohammad Kabeer MARZBAN]; Hezb-e-Afghanistan-e-Wahid [Mohammad Wasil RAHEEMEE]; Hezb-e-Afghan Watan Islami Gond; Hezb-e-Congra-e-Mili Afghanistan [Latif PEDRAM]; Hezb-e-Falah-e-Mardum-e-Afghanistan [Mohammad ZAREEF]; Hezb-e-Hambastagee Mili Jawanan-e-Afghanistan [Mohammad Jamil KARZAI]; Hezb-e-Hamnbatagee-e-Afghanistan [Abdul Khaleq NEMAT]; Hezb-e-Harakat-e-Mili Wahdat-e-Afghanistan [Mohammad Nadir AATASH]; Hezb-e-Harak-e-Islami Mardum-e-Afghanistan [Ilhaj Said Hssain ANWARY]; Hezb-e-Ifazat Az Uqoq-e-Bashar Wa Inkishaf-e-Afghanistan [Baryalai NASRATEE]; Hezb-e-Istiqlal-e-Afghanistan [Dr. Gh. Farooq NIJZRABEE]; Hezb-e-Jamhoree Khwahan [Sibghatullah SANJAR]; Hezb-e-Kar Wa Tawsiha-e-Afghanistan [Zulfiar OMID]; Hezb-e-Libral-e-Aazadee Khwa-e-Mardum-e-Afghanistan [Ajmal SOHAIL]; Hezb-e-Mili Afghanistan [Abdul Rasheed AARYAN]; Hezb-e-Mili Wahdat-e-Aqwam-e-Islami Afghanistan [Mohammad Shah KHOGYANEE]; Hezb-e-Nuhzhat-e-Mili Afghanistan [Ahmad Wali MASOUD]; Hezb-e-Paiwand-e-Mili Afghanistan [Said Mansoor NADIRI]; Hezb-e-Rastakhaiz-e-Islami Mardum-e-Afghanistan [Said ZAHIR]; Hezb-e-Refah-e-Mardum-e-Afghanistan [Mia Gul WASEEQ]; Hezb-e-Risalat-e-Mardum-e-Afghanistan [Noor Aqa ROEEN]; Hezb-e-Sahadat-e-Mardum-e-Afghanistan [Mohammad Zubair PAIROZ]; Hezb-e-Sahadat-e-Mili Wa Islami Afghanistan [Mohammad Usman SALIGZADA]; Hezb-e-Sulh-e-Mili Islami Aqwam-e-Afghanistan [Abdul Qahir SHARYATEE]; Hezb-e-Sulh Wa Wahdat-e-Mili Afghanistan [Abdul Qadir IMAMEE]; Hezb-e-Tafahum-e-Wa Democracy Afghanistan [Ahamad SHAHEEN]; Hezb-e-Wahdat-e-Islami Afghanistan [Mohammad Karim KHALILI]; Hezb-e-Wahdat-e-Islami Mardum-e-Afghanistan [Ustad Mohammad MOHAQQEQ]; Hezb-e-Wahdat-e-Mili Afghanistan [Abdul Rasheed JALILI]; Jamahat-ul-Dahwat ilal Qurhan-wa-Sunat-ul-Afghanistan [Mawlawee Samiullah NAJEEBEE]; Jombesh-e Milli [Abdul Rashid DOSTAM]; Mahaz-e-Mili Islami Afghanistan [Said Ahmad GAILANEE]; Majmah-e-Mili Fahaleen-e-Sulh-e-Afghanistan [Shams ul Haq Noor SHAMS]; Nuhzat-e-Aazadee Wa Democracy Afghanistan [Abdul Raqeeb Jawid KUHISTANEE]; Nuhzat-e-Hambastagee Mili Afghanistan [Peer Said Ishaq GAILANEE]; Sazman-e-Islami Afghanistan-e-Jawan [Siad Jawad HUSSAINEE]; Tahreek Wahdat-e-Mili [Sultan Mahmood DHAZI] (30 Sep 2004) |
| Political pressure groups and leaders: | Jamiat-e Islami (Society of Islam) [former President Burhanuddin RABBANI]; Ittihad-e Islami (Islamic Union for the Liberation of Afghanistan) [Abdul Rasul SAYYAF]; there are also small monarchist, communist, and democratic groups |
| International organization participation: | AsDB, CP, ECO, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, ISO (correspondent), ITU, MIGA, NAM, OIC, OPCW, OSCE (partner), SACEP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Said Tayeb JAWAD |
| Diplomatic representation in the US: | chancery: 2341 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] 202-483-6410 |
| Diplomatic representation in the US: | FAX: [1] 202-483-6488 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Ronald E. NEUMANN |
| Diplomatic representation from the US: | embassy: The Great Masood Road, Kabul |
| Diplomatic representation from the US: | mailing address: 6180 Kabul Place, Dulles, VA 20189-6180 |
| Diplomatic representation from the US: | telephone: [00 93] (20) 230-0436 |
| Diplomatic representation from the US: | FAX: [00 93] (20) 230-1364 |
| Flag description: | three equal vertical bands of black (hoist), red, and green, with a gold emblem centered on the red band; the emblem features a temple-like structure encircled by a wreath on the left and right and by a bold Islamic inscription above |
