| Government | South Africa |
| Judicial branch: | judge selection and term of office: Supreme Court of Appeals president and vice president appointed by the national president after consultation with the Judicial Services Commission (JSC), a 23-member body chaired by the chief justice and includes other judges and judicial executives, members of parliament, practicing lawyers and advocates, a teacher of law, and several members designated by the president of South Africa; other Supreme Court judges appointed by the national president on the advice of the JSC and hold office until discharged from active service by an Act of Parliament; Constitutional Court chief and deputy chief justices appointed by the president of South Africa after consultation with the JSC and with heads of the National Assembly; other Constitutional Court judges appointed by the national president after consultation with the chief justice and leaders of the National Assembly; Constitutional Court judges serve 12-year nonrenewable terms or until age 70 |
| Judicial branch: | subordinate courts: High Courts; Magistrates' Courts; labor courts; land claims courts |
| Political parties and leaders: | African Christian Democratic Party or ACDP [Kenneth MESHOE] |
| Political parties and leaders: | African Independent Congress or AIC [Mandla GALO] |
| Political parties and leaders: | African National Congress or ANC [Cyril RAMAPHOSA] |
| Political parties and leaders: | African People's Convention or APC [Themba GODI] |
| Political parties and leaders: | Agang SA [Mike TSHISHONGA] |
| Political parties and leaders: | Congress of the People or COPE [Mosiuoa LEKOTA] |
| Political parties and leaders: | Democratic Alliance or DA [John STEENHUISEN] |
| Political parties and leaders: | Economic Freedom Fighters or EFF [Julius Sello MALEMA] |
| Political parties and leaders: | Freedom Front Plus or FF+ [Pieter GROENEWALD] |
| Political parties and leaders: | GOOD [Patricia de LILLE] |
| Political parties and leaders: | Inkatha Freedom Party or IFP [Mangosuthu BUTHELEZI] |
| Political parties and leaders: | National Freedom Party or NFP [Zanele kaMAGWAZA-MSIBI] |
| Political parties and leaders: | Pan-Africanist Congress of Azania or PAC [Luthanado MBINDA] |
| Political parties and leaders: | United Christian Democratic Party or UCDP [Isaac Sipho MFUNDISI] |
| Political parties and leaders: | United Democratic Movement or UDM [Bantu HOLOMISA] |
| International organization participation: | ACP, AfDB, AU, BIS, BRICS, C, CD, FAO, FATF, G-20, G-24, G-5, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NAM, NSG, OECD (enhanced engagement), OPCW, Paris Club (associate), PCA, SACU, SADC, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Nomaindiya MFEKETO (since 8 April 2020) |
| Diplomatic representation in the US: | chancery: 3051 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-4400 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-1607 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Lana MARKS (since 28 January 2020) |
| Diplomatic representation from the US: | telephone: [27] (12) 431-4000 |
| Diplomatic representation from the US: | embassy: 877 Pretorius Street, Arcadia, Pretoria |
| Diplomatic representation from the US: | mailing address: P.O. Box 9536, Pretoria 0001 |
| Diplomatic representation from the US: | FAX: [27] (12) 342-2299 |
| Diplomatic representation from the US: | consulate(s) general: Cape Town, Durban, Johannesburg |
| Flag description: | two equal width horizontal bands of red (top) and blue separated by a central green band that splits into a horizontal Y, the arms of which end at the corners of the hoist side; the Y embraces a black isosceles triangle from which the arms are separated by narrow yellow bands; the red and blue bands are separated from the green band and its arms by narrow white stripes; the flag colors do not have any official symbolism, but the Y stands for the "convergence of diverse elements within South African society, taking the road ahead in unity"; black, yellow, and green are found on the flag of the African National Congress, while red, white, and blue are the colors in the flags of the Netherlands and the UK, whose settlers ruled South Africa during the colonial era |
| Flag description: | note: the South African flag is one of only two national flags to display six colors as part of its primary design, the other is South Sudan's |
| National symbol(s): | springbok (antelope), king protea flower; national colors: red, green, blue, yellow, black, white |
| National anthem: | name: National Anthem of South Africa |
| National anthem: | lyrics/music: Enoch SONTONGA and Cornelius Jacob LANGENHOVEN/Enoch SONTONGA and Marthinus LOURENS de Villiers |
| National anthem: | note: adopted 1994; a combination of "N'kosi Sikelel' iAfrica" (God Bless Africa) and "Die Stem van Suid Afrika" (The Call of South Africa), which were respectively the anthems of the non-white and white communities under apartheid; official lyrics contain a mixture of Xhosa, Zulu, Sesotho, Afrikaans, and English (i.e., the five most widely spoken of South Africa's 11 official languages); music incorporates the melody used in the Tanzanian and Zambian anthems |
