| Government | Bulgaria |
| Judicial branch: | independent judiciary comprised of judges, prosecutors and investigating magistrates who are appointed, promoted, demoted, and dismissed by a 25-member Supreme Judicial Council (consists of the chairmen of the two Supreme Courts, the Chief Prosecutor, and 22 members, half of whom are elected by the National Assembly and the other half by the bodies of the judiciary for a 5-year term in office); three levels of case review; 182 courts of which two Supreme Courts act as the last instance on civil and criminal cases (the Supreme Court of Cassation) and appeals of government decisions (the Supreme Administrative Court) |
| Political parties and leaders: | ATAKA (Attack Coalition) (coalition of parties headed by the Attack National Union); Attack National Union [Volen SIDEROV]; Agrarian National Union or ANU [Stefan LICHEV]; Blue Coalition (a coalition of center-right parties dominated by UDF and DSB); Bulgarian New Democracy [Borislav RALCHEV]; Bulgarian Socialist Party or BSP [Sergei STANISHEV]; Citizens for the European Development of Bulgaria or GERB [Tsvetan TSVETANOV]; Coalition for Bulgaria or CfB (coalition of parties dominated by BSP) [Sergei STANISHEV]; Democrats for a Strong Bulgaria or DSB [Ivan KOSTOV]; Gergyovden [Petar STOYANOVICH]; Internal Macedonian Revolutionary Organization or IMRO [Krasimir KARAKACHANOV]; Liberal Initiative for Democratic European Development or LIDER [Khristo KOVACHKI]; Movement for Rights and Freedoms or MRF [Ahmed DOGAN]; Movement Forward (LIDER, IMRO, ANU, Gergyovden); National Movement for Stability and Progress or NDSV [Simeon SAXE-COBURG-GOTHA] (formerly National Movement Simeon II or NMS2); New Time [Emil KOSHLUKOV]; Order, Law, Justice or RZS [Yane YANEV]; Union of Democratic Forces or UDF [Martin DIMITROV]; Union of Free Democrats or UFD [Stefan SOFIYANSKI]; United Agrarians [Anastasia MOZER] |
| Political pressure groups and leaders: | Confederation of Independent Trade Unions of Bulgaria or CITUB; Podkrepa Labor Confederation |
| Political pressure groups and leaders: | other: numerous regional, ethnic, and national interest groups with various agendas |
| International organization participation: | ACCT, Australia Group, BIS, BSEC, CE, CEI, CERN, EAPC, EBRD, EIB, EU, FAO, G- 9, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, NAM (guest), NATO, NSG, OAS (observer), OIF, OPCW, OSCE, PCA, SECI, UN, UNCTAD, UNESCO, UNIDO, UNMIL, UNMIS, UNWTO, UPU, WCL, WCO, WEU (associate affiliate), WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Latchezar PETKOV |
| Diplomatic representation in the US: | chancery: 1621 22nd Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-0174 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-7973 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Nancy McELDOWNEY |
| Diplomatic representation from the US: | embassy: 16 Kozyak Street, Sofia 1407 |
| Diplomatic representation from the US: | mailing address: American Embassy Sofia, US Department of State, 5740 Sofia Place, Washington, DC 20521-5740 |
| Diplomatic representation from the US: | telephone: [359] (2) 937-5100 |
| Diplomatic representation from the US: | FAX: [359] (2) 937-5320 |
| Flag description: | three equal horizontal bands of white (top), green, and red |
| Flag description: | note: the national emblem, formerly on the hoist side of the white stripe, has been removed |
