| Government | BULGARIA |
| Legislative branch: | election results: percent of vote by party - GERB 32.7%, BSP 15.4%, DPS 14.8%, RB 8.9%, PF 7.3%, BBTs 5.7%, Ataka 4.5%, ABV 4.2%, other 6.5%; seats by party - GERB 84, BSP 39, DPS 38, RB 23, PF 19, BBTs 15, Ataka 11, ABV 11 |
| Judicial branch: | highest court(s): Supreme Court of Cassation (consists of a chairman and approximately 72 judges organized into penal, civil, and commercial colleges); Supreme Administrative Court (organized in 2 colleges with various panels of 5 judges each); Constitutional Court (consists of 12 justices); note - Constitutional Court resides outside the Judiciary |
| Judicial branch: | judge selection and term of office: Supreme Court of Cassation and Supreme Administrative judges elected by the Supreme Judicial Council or SJC (consists of 25 members with extensive legal experience) and appointed by the president; judge tenure NA; Constitutional Court justices elected by the National Assembly and appointed by the president and the SJC; justices appointed for 9-year terms with renewal of 4 justices every 3 years |
| Judicial branch: | subordinate courts: appeals courts; regional and district courts; administrative courts; courts martial |
| Political parties and leaders: | Alternative for Bulgarian Revival or ABV [Georgi PARVANOV] |
| Political parties and leaders: | Attack (Ataka) [Volen Nikolov SIDEROV] |
| Political parties and leaders: | Bulgarian Socialist Party or BSP [Mihail MIKOV] |
| Political parties and leaders: | Bulgaria of the Citizens or DBG [Meglena KUNEVA] |
| Political parties and leaders: | Bulgaria Without Censorship or BBTs [Nikolay BAREKOV] |
| Political parties and leaders: | Citizens for the European Development of Bulgaria or GERB [Boyko BORISOV] |
| Political parties and leaders: | Coalition for Bulgaria or CfB [Sergei STANISHEV] (coalition of parties dominated by BSP) |
| Political parties and leaders: | Democrats for a Strong Bulgaria or DSB [Radan KANEV] |
| Political parties and leaders: | IMRO - Bulgarian National Movement or IMRO-BNM [Krasimir KARAKACHANOV] |
| Political parties and leaders: | Movement for Rights and Freedoms or DPS [Lyutvi MESTAN] |
| Political parties and leaders: | National Front for the Salvation of Bulgaria or NFSB [Valeri SIMEONOV] |
| Political parties and leaders: | National Movement for Stability and Progress or NDSV [Hristina HRISTOVA] (formerly National Movement Simeon II or NMS2) |
| Political parties and leaders: | Order, Law, and Justice or RZS [Yane YANEV] |
| Political parties and leaders: | Patriotic Front or PF (alliance of IMRO-BNM and NFSB) |
| Political parties and leaders: | Union of Democratic Forces or SDS [Bozhidar LUKARSKI] |
| Political parties and leaders: | Reformist Bloc or RB (a five-party alliance including the DSB, DBG, and SDS) |
| Political pressure groups and leaders: | Confederation of Independent Trade Unions of Bulgaria or CITUB |
| Political pressure groups and leaders: | Podkrepa Labor Confederation |
| Political pressure groups and leaders: | other: numerous regional, ethnic, and national interest groups with various agendas |
| International organization participation: | Australia Group, BIS, BSEC, CD, CE, CEI, CERN, EAPC, EBRD, ECB, EIB, EU, FAO, G- 9, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITU, ITUC (NGOs), MIGA, NATO, NSG, OAS (observer), OIF, OPCW, OSCE, PCA, SELEC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Elena POPTODOROVA (since 4 August 2010) |
| Diplomatic representation in the US: | chancery: 1621 22nd Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-0174 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-7973 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Marcie B. RIES (since 5 September 2012) |
| Diplomatic representation from the US: | embassy: 16 Kozyak Street, Sofia 1408 |
| Diplomatic representation from the US: | mailing address: American Embassy Sofia, US Department of State, 5740 Sofia Place, Washington, DC 20521-5740 |
| Diplomatic representation from the US: | telephone: [359] (2) 937-5100 |
| Diplomatic representation from the US: | FAX: [359] (2) 937-5320 |
| Flag description: | three equal horizontal bands of white (top), green, and red; the pan-Slavic white-blue-red colors were modified by substituting a green band (representing freedom) for the blue |
| Flag description: | note: the national emblem, formerly on the hoist side of the white stripe, has been removed |
| National symbol(s): | lion; national colors: white, green, red |
| National anthem: | name: "Mila Rodino" (Dear Homeland) |
| National anthem: | lyrics/music: Tsvetan Tsvetkov RADOSLAVOV |
| National anthem: | note: adopted 1964; composed in 1885 by a student en route to fight in the Serbo-Bulgarian War |
