| Government | Bulgaria |
| Judicial branch: | independent judiciary comprised of judges, prosecutors and investigating magistrates who are appointed, promoted, demoted, and dismissed by a 25-member Supreme Judicial Council (consists of the chairmen of the two Supreme Courts, the Chief Prosecutor, and 22 members, half of whom are elected by the National Assembly and the other half by the bodies of the judiciary for a 5-year term in office); three levels of case review; 182 courts of which two Supreme Courts act as the last instance on civil and criminal cases (the Supreme Court of Cassation) and appeals of government decisions (the Supreme Administrative Court) |
| Political parties and leaders: | Agrarian National Union or ANU [Stefan LICHEV]; National Union Attack (Ataka) [Volen SIDEROV]; Blue Coalition [Ivan KOSTOV and Emil KABAIVANOV] (a coalition of center-right parties dominated by UDF and DSB); Bulgarian New Democracy [Borislav RALCHEV]; Bulgarian Socialist Party or BSP [Sergei STANISHEV]; Citizens for the European Development of Bulgaria or GERB [Boyko BORISOV]; Coalition for Bulgaria or CfB [Sergei STANISHEV] (coalition of parties dominated by BSP); Democrats for a Strong Bulgaria or DSB [Ivan KOSTOV]; Gergyovden [Petar STOYANOVICH]; Internal Macedonian Revolutionary Organization or IMRO [Krasimir KARAKACHANOV]; Liberal Initiative for Democratic European Development or LIDER [Khristo KOVACHKI]; Movement for Rights and Freedoms or MRF [Ahmed DOGAN]; National Movement for Stability and Progress or NDSV [Hristina HRISTOVA] (formerly National Movement Simeon II or NMS2); New Time [Emil KOSHLUKOV]; Order, Law, Justice or RZS [Yane YANEV]; Union of Democratic Forces or UDF [Emil KABAIVANOV]; Union of Free Democrats or UFD [Stefan SOFIYANSKI]; United Agrarians [Anastasia MOZER] |
| Political pressure groups and leaders: | Confederation of Independent Trade Unions of Bulgaria or CITUB; Podkrepa Labor Confederation |
| Political pressure groups and leaders: | other: numerous regional, ethnic, and national interest groups with various agendas |
| International organization participation: | Australia Group, BIS, BSEC, CD, CE, CEI, CERN, EAPC, EBRD, EIB, EU, FAO, G- 9, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NATO, NSG, OAS (observer), OIF, OPCW, OSCE, PCA, SELEC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Elena POPTODOROVA |
| Diplomatic representation in the US: | chancery: 1621 22nd Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-0174 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-7973 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Marcie B. RIES |
| Diplomatic representation from the US: | embassy: 16 Kozyak Street, Sofia 1407 |
| Diplomatic representation from the US: | mailing address: American Embassy Sofia, US Department of State, 5740 Sofia Place, Washington, DC 20521-5740 |
| Diplomatic representation from the US: | telephone: [359] (2) 937-5100 |
| Diplomatic representation from the US: | FAX: [359] (2) 937-5320 |
| Flag description: | three equal horizontal bands of white (top), green, and red; the pan-Slavic white-blue-red colors were modified by substituting a green band (representing freedom) for the blue |
| Flag description: | note: the national emblem, formerly on the hoist side of the white stripe, has been removed |
| National symbol(s): | lion |
| National anthem: | name: "Mila Rodino" (Dear Homeland) |
| National anthem: | lyrics/music: Tsvetan Tsvetkov RADOSLAVOV |
| National anthem: | note: adopted 1964; the anthem was composed in 1885 by a student en route to fight in the Serbo-Bulgarian War |
