| Government | Namibia |
| Political parties and leaders: | Democratic Turnhalle Alliance of Namibia or DTA [McHenry VENAANI] |
| Political parties and leaders: | Monitor Action Group or MAG [Jurgie VILJOEN] |
| Political parties and leaders: | National Unity Democratic Organization or NUDO [Kuaima RIRUAKO] |
| Political parties and leaders: | Rally for Democracy and Progress or RDP [Hidipo HAMUTENYA] |
| Political parties and leaders: | Republican Party or RP [Henk MUDGE] |
| Political parties and leaders: | South West Africa National Union or SWANU [Usutuaije MAAMBERUA] |
| Political parties and leaders: | South West Africa People's Organization or SWAPO [Hifikepunye POHAMBA] |
| Political parties and leaders: | United Democratic Front or UDF [Justus //GAROEB] |
| Political pressure groups and leaders: | National Society for Human Rights or NSHR (NAMRIGHTS as of 2010) |
| Political pressure groups and leaders: | various labor unions |
| International organization participation: | ACP, AfDB, AU, C, CD, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OPCW, SACU, SADC, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Martin ANDJABA (since 3 September 2010) |
| Diplomatic representation in the US: | chancery: 1605 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 986-0540 |
| Diplomatic representation in the US: | FAX: [1] (202) 986-0443 |
| Diplomatic representation from the US: | chief of mission: Ambassador Wanda L. NESBITT (since 20 July 2010) |
| Diplomatic representation from the US: | embassy: 14 Lossen Street, Windhoek |
| Diplomatic representation from the US: | mailing address: Private Bag 12029 Ausspannplatz, Windhoek |
| Diplomatic representation from the US: | telephone: [264] (61) 295-8500 |
| Diplomatic representation from the US: | FAX: [264] (61) 295-8603 |
| Flag description: | a wide red stripe edged by narrow white stripes divides the flag diagonally from lower hoist corner to upper fly corner; the upper hoist-side triangle is blue and charged with a yellow, 12-rayed sunburst; the lower fly-side triangle is green; red signifies the heroism of the people and their determination to build a future of equal opportunity for all; white stands for peace, unity, tranquility, and harmony; blue represents the Namibian sky and the Atlantic Ocean, the country's precious water resources and rain; the yellow sun denotes power and existence; green symbolizes vegetation and agricultural resources |
| National anthem: | name: "Namibia, Land of the Brave" |
| National anthem: | lyrics/music: Axali DOESEB |
| National anthem: | note: adopted 1991 |
