| Government | SPAIN |
| Legislative branch: | description: bicameral General Courts or Las Cortes Generales consists of the Senate or Senado (266 seats as of 2013; 208 members directly elected in multi-seat constituencies by simple majority vote and 58 appointed by the regional legislatures; members serve 4-year terms) and the Congress of Deputies or Congreso de los Diputados (350 seats; 348 members directly elected in 50 multi-seat constituencies by proportional representation vote and 2 directly elected from the North African Ceuta and Melilla enclaves by simple majority vote; members serve 4-year terms or until the government is dissolved) |
| Legislative branch: | elections: Senate - last held on 26 June 2016 (next to be held 26 June 2016); Congress of Deputies - last held on 20 December 2015 (next to be held no later than 26 June 2020); note - the four main parties were unable to form a government so a second election was held six months later |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PP 151, PSOE 63, Podemos 23, ERC 12, EAJ/PNV 6, CDC 4, other 7; Congress of Deputies - percent of vote by party - PP 33.0%, PSOE 22.7%, Podemos 21.1%, C's 13.0%, ERC-CatSi 2.6%, CDC 2.0%, EAJ/PNV 1.2%, other 4.4%; seats by party - PP 137, PSOE 85, Podemos 71, C's 32, ERC-CatSi 9, CDC 8, EAJ/PNV 5, other 3 |
| Judicial branch: | highest court(s): Supreme Court or Tribunal Supremo (consists of the court president and organized into the Civil Room with a president and 9 judges, the Penal Room with a president and 14 judges, the Administrative Room with a president and 32 judges, the Social Room with a president and 12 judges, and the Military Room with a president and 7 judges); Constitutional Court or Tribunal Constitucional de Espana (consists of 12 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the monarch from candidates proposed by the General Council of the Judiciary Power, a 20-member governing board chaired by the monarch that includes presidential appointees, and lawyers and jurists confirmed by the National Assembly; judges can serve until age 70; Constitutional Court judges nominated by the National Assembly, executive branch, and the General Council of the Judiciary, and appointed by the monarch for 9-year terms |
| Judicial branch: | subordinate courts: National High Court; High Courts of Justice (in each of the autonomous communities); provincial courts; courts of first instance |
| Political parties and leaders: | Amaiur [Xabier ERREKONDO] (a separatist political coalition that advocates Basque independence from Spain) |
| Political parties and leaders: | Asturias Forum or FAC [Cristina COTO] |
| Political parties and leaders: | Basque Country Unite (Euskal Herria Bildu) or EH Bildu [Pello URIZAR] (coalition of 4 Basque pro-independence parties) |
| Political parties and leaders: | Basque Nationalist Party or PNV or EAJ [Andoni ORTUZAR] |
| Political parties and leaders: | Canarian Coalition or CC [Claudina MORALES Rodriguez] (coalition of five parties) |
| Political parties and leaders: | Canarian Nationalist Party or PNC [Juan Manuel GARCIA Ramos] |
| Political parties and leaders: | Catalan Agreement of Progress (Entesa Catalonia de Progress) or ECP [Carles BONET i Reves] (Senate coalition of Catalan parties - PSC, ERC, ICV, EUA) |
| Political parties and leaders: | Change or Cambio-Aldaketa |
| Political parties and leaders: | Ciudadamos Party or C's [Albert RIVERA] |
| Political parties and leaders: | Democracy and Freedom or DiL [Francesc HOMS Molist] (2015 merger of Cemocratic Convergence of Catalonia or CDC, Democrats of Catalonia, Reagrupament) |
| Political parties and leaders: | Democratic Union of Catalonia or UDC [Josep Antoni DURAN i LLEIDA] |
| Political parties and leaders: | Galician Nationalist Bloc or BNG [Xavier VENCE] |
| Political parties and leaders: | Gomera Socialist Group or ASG |
| Political parties and leaders: | Initiative for Catalonia Greens or ICV [Joan HERRERA i Torres and Dolors CAMATS] |
| Political parties and leaders: | Podemos [Pablo IGLESIAS Turrion] |
| Political parties and leaders: | Popular Party or PP [Mariano RAJOY Brey] |
| Political parties and leaders: | Republican Left of Catalonia or ERC [Oriol JUNQUERAS i Vies] |
| Political parties and leaders: | Spanish Socialist Workers Party or PSOE [interim leader Javier FERNANDEZ] |
| Political parties and leaders: | Union of People of Navarra or UPN [Yolanda BARCINA Angulo] |
| Political parties and leaders: | Union, Progress and Democracy or UPyD [Rosa DIEZ Gonzalez] |
| Political parties and leaders: | United Left or IU [Alberto GARZON] (a coalition of parties including the Communist Party of Spain or PCE and other small parties; ran as Popular Unity or UP in 2015 election) |
| Political parties and leaders: | Yes to the Future or Geroa Bai [Uxue BARKOS] (a coalition of four Navarran parties) |
| Political pressure groups and leaders: | Association for Victims of Terrorism or AVT (grassroots organization devoted primarily to supporting victims of the Basque Fatherland and Liberty (ETA) terrorist organization) |
| Political pressure groups and leaders: | Catholic Church |
| Political pressure groups and leaders: | Socialist General Union of Workers or UGT (includes the smaller independent Workers Syndical Union or USO) |
| Political pressure groups and leaders: | Trade Union Confederation of Workers' Commissions or CC.OO. |
| Political pressure groups and leaders: | Spanish Confederation of Employers' Organizations or CEOE |
| Political pressure groups and leaders: | other: business and landowning interests; free labor unions (authorized in April 1977); university students |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council (observer), Australia Group, BCIE, BIS, CAN (observer), CBSS (observer), CD, CE, CERN, EAPC, EBRD, ECB, EIB, EITI (implementing country), EMU, ESA, EU, FAO, FATF, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAIA (observer), MIGA, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Pacific Alliance (observer), Paris Club, PCA, PIF (partner), Schengen Convention, SELEC (observer), SICA (observer), UN, UN Security Council (temporary), UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, Union Latina, UNOCI, UNRWA, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Ramon GIL-CASARES Satrustegui (since 5 June 2012) |
| Diplomatic representation in the US: | chancery: 2375 Pennsylvania Avenue NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 452-0100, 728-2340 |
| Diplomatic representation in the US: | FAX: [1] (202) 833-5670 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Houston, Los Angeles, Miami, New York, San Francisco, San Juan (Puerto Rico) |
| Diplomatic representation in the US: | consulate(s): Kansas City (MO) |
| Diplomatic representation from the US: | chief of mission: Ambassador James COSTOS (since 24 September 2013); note - also accredited to Andorra |
| Diplomatic representation from the US: | embassy: Serrano 75, 28006 Madrid |
| Diplomatic representation from the US: | mailing address: PSC 61, APO AE 09642 |
| Diplomatic representation from the US: | telephone: [34] (91) 587-2200 |
| Diplomatic representation from the US: | FAX: [34] (91) 587-2303 |
| Diplomatic representation from the US: | consulate(s) general: Barcelona |
| Flag description: | three horizontal bands of red (top), yellow (double width), and red with the national coat of arms on the hoist side of the yellow band; the coat of arms is quartered to display the emblems of the traditional kingdoms of Spain (clockwise from upper left, Castile, Leon, Navarre, and Aragon) while Granada is represented by the stylized pomegranate at the bottom of the shield; the arms are framed by two columns representing the Pillars of Hercules, which are the two promontories (Gibraltar and Ceuta) on either side of the eastern end of the Strait of Gibraltar; the red scroll across the two columns bears the imperial motto of "Plus Ultra" (further beyond) referring to Spanish lands beyond Europe; the triband arrangement with the center stripe twice the width of the outer dates to the 18th century |
| Flag description: | note: the red and yellow colors are related to those of the oldest Spanish kingdoms: Aragon, Castile, Leon, and Navarre |
| National symbol(s): | Pillars of Hercules; national colors: red, yellow |
| National anthem: | name: "Himno Nacional Espanol" (National Anthem of Spain) |
| National anthem: | lyrics/music: no lyrics/unknown |
| National anthem: | note: officially in use between 1770 and 1931, restored in 1939; the Spanish anthem is the first anthem to be officially adopted, but it has no lyrics; in the years prior to 1931 it became known as "Marcha Real" (The Royal March); it first appeared in a 1761 military bugle call book and was replaced by "Himno de Riego" in the years between 1931 and 1939; the long version of the anthem is used for the king, while the short version is used for the prince, prime minister, and occasions such as sporting events |
