| Government | Spain |
| Executive branch: | chief of state: King FELIPE VI (since 19 June 2014); Heir Apparent Princess LEONOR, Princess of Asturias (daughter of the monarch, born 31 October 2005) |
| Executive branch: | head of government: President of the Government (Prime Minister-equivalent) Pedro SANCHEZ Perez-Castejon (since 2 June 2018); Vice President (and Minister of the President's Office) Maria del Carmen CALVO Poyato (since 7 June 2018); note - Prime Minister RAJOY was ousted in a non-confidence vote on 1 June 2018 |
| Executive branch: | cabinet: Council of Ministers designated by the president |
| Executive branch: | elections/appointments: the monarchy is hereditary; following legislative elections, the monarch usually proposes as president the leader of the party or coalition with the largest majority of seats, who is then indirectly elected by the Congress of Deputies; election last held on 26 June 2016 (next to be held in June 2020); vice president and Council of Ministers appointed by the president |
| Executive branch: | election results: percent of National Assembly vote - NA |
| Executive branch: | note: there is also a Council of State that is the supreme consultative organ of the government, but its recommendations are non-binding |
| Legislative branch: | description: bicameral General Courts or Las Cortes Generales consists of: |
| Legislative branch: | Senate or Senado (266 seats; 208 members directly elected in multi-seat constituencies by simple majority vote and 58 members indirectly elected by the legislatures of the autonomouse communities; members serve 4-year terms) |
| Legislative branch: | Congress of Deputies or Congreso de los Diputados (350 seats; 348 members directly elected in 50 multi-seat constituencies by proportional representation vote and 2 directly elected from the North African Ceuta and Melilla enclaves byÂ simple majorityÂ vote; members serve 4-year terms or until the government is dissolved) |
| Legislative branch: | elections: |
| Legislative branch: | Senate - last held on 26 June 2016 (next to be held no later than June 2020) |
| Legislative branch: | Congress of Deputies - last held on 26 June 2016 (next to be held no later than June 2020) |
| Legislative branch: | election results: |
| Legislative branch: | Senate - percent of vote by party - NA; seats by party - PP 149, PSOE 62, Unidos Podemos 20, ERC 12, EAJ/PNV 6, other 17; composition - men 165, women 101, percent of women 38% |
| Legislative branch: | Congress of Deputies - percent of vote by party - PP 33%, PSOE 22.7%, Podemos 21.1%, C's 13%, ERC-CatSi 2.6%, EAJ/PNV 1.2%, other 6.4%; seats by party - PP 134, PSOE 84, Podemos 67, C's 32, ERC-CatSi 9, EAJ/PNV 5, other 19; composition - men 213, women 137, percent of women 38.6% |
| Political parties and leaders: | Asturias Forum or FAC [Cristina COTO] |
| Political parties and leaders: | Basque Country Unite (Euskal Herria Bildu) or EH Bildu [Arnaldo OTEGI Mondragon] (coalition of 4 Basque pro-independence parties) |
| Political parties and leaders: | Basque Nationalist Party or PNV or EAJ [Andoni ORTUZAR] |
| Political parties and leaders: | Canarian Coalition or CC [Claudina MORALES Rodriguez] (coalition of 5 parties) |
| Political parties and leaders: | Canarian Nationalist Party or PNC [Juan Manuel GARCIA Ramos] |
| Political parties and leaders: | Catalan European Democratic Party or PDeCat [Artur MAS] (formerly Democratic Convergence of Catalonia) |
| Political parties and leaders: | Ciudadanos Party or C's [Albert RIVERA] |
| Political parties and leaders: | Compromis [Eric MORERA i Catala] |
| Political parties and leaders: | Galician Nationalist Bloc or BNG [Ana PONTON Mondelo] |
| Political parties and leaders: | Gomera Socialist Group or ASG [Casimiro CURBELO] |
| Political parties and leaders: | Initiative for Catalonia Greens or ICV [Joan HERRERA i Torres and Dolors CAMATS] |
| Political parties and leaders: | Unidos Podemos [Pablo IGLESIAS Turrion] (formerly Podemos IU; electoral coalition formed for May 2016 election) |
| Political parties and leaders: | Popular Party or PP [Pablo CASADO] |
| Political parties and leaders: | Republican Left of Catalonia or ERC [Oriol JUNQUERAS i Vies] |
| Political parties and leaders: | Spanish Socialist Workers Party or PSOE [Pedro SANCHEZ] |
| Political parties and leaders: | Union of People of Navarra or UPN [Javier ESPARZA] |
| Political parties and leaders: | Union, Progress and Democracy or UPyD [Cristiano BROWN] |
| Political parties and leaders: | United Left or IU [Alberto GARZON] (coalition includes Communist Party of Spain or PCE and other small parties; ran as Popular Unity or UP in 2016 election) |
| Political parties and leaders: | Yes to the Future or Geroa Bai [Uxue BARKOS] (coalition include 4 Navarran parties) |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council (observer), Australia Group, BCIE, BIS, CAN (observer), CBSS (observer), CD, CE, CERN, EAPC, EBRD, ECB, EIB, EITI (implementing country), EMU, ESA, EU, FAO, FATF, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAIA (observer), MIGA, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Pacific Alliance (observer), Paris Club, PCA, PIF (partner), Schengen Convention, SELEC (observer), SICA (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, Union Latina, UNOCI, UNRWA, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Santiago CABANAS Ansorena (since 17 September 2018) |
| Diplomatic representation in the US: | chancery: 2375 Pennsylvania Avenue NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 452-0100, 728-2340 |
| Diplomatic representation in the US: | FAX: [1] (202) 833-5670 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Houston, Los Angeles, Miami, New York, San Francisco, San Juan (Puerto Rico) |
| Diplomatic representation in the US: | consulate(s): Kansas City (MO) |
| Diplomatic representation from the US: | chief of mission: Ambassador Richard BUCHAN (since December 2017) note - also accredited to Andorra |
| Diplomatic representation from the US: | embassy: Serrano 75, 28006 Madrid |
| Diplomatic representation from the US: | mailing address: PSC 61, APO AE 09642 |
| Diplomatic representation from the US: | telephone: [34] (91) 587-2200 |
| Diplomatic representation from the US: | FAX: [34] (91) 587-2303 |
| Diplomatic representation from the US: | consulate(s) general: Barcelona |
| Flag description: | three horizontal bands of red (top), yellow (double width), and red with the national coat of arms on the hoist side of the yellow band; the coat of arms is quartered to display the emblems of the traditional kingdoms of Spain (clockwise from upper left, Castile, Leon, Navarre, and Aragon) while Granada is represented by the stylized pomegranate at the bottom of the shield; the arms are framed by two columns representing the Pillars of Hercules, which are the two promontories (Gibraltar and Ceuta) on either side of the eastern end of the Strait of Gibraltar; the red scroll across the two columns bears the imperial motto of "Plus Ultra" (further beyond) referring to Spanish lands beyond Europe; the triband arrangement with the center stripe twice the width of the outer dates to the 18th century |
| Flag description: | note: the red and yellow colors are related to those of the oldest Spanish kingdoms: Aragon, Castile, Leon, and Navarre |
| National symbol(s): | Pillars of Hercules; national colors: red, yellow |
| National anthem: | name: "Himno Nacional Espanol" (National Anthem of Spain) |
| National anthem: | lyrics/music: no lyrics/unknown |
| National anthem: | note: officially in use between 1770 and 1931, restored in 1939; the Spanish anthem is the first anthem to be officially adopted, but it has no lyrics; in the years prior to 1931 it became known as "Marcha Real" (The Royal March); it first appeared in a 1761 military bugle call book and was replaced by "Himno de Riego" in the years between 1931 and 1939; the long version of the anthem is used for the king, while the short version is used for the prince, prime minister, and occasions such as sporting events |
