| Government | Spain |
| Judicial branch: | Supreme Court or Tribunal Supremo |
| Political parties and leaders: | Aragonese Party or CHA [Bizen FUSTER]; Basque Nationalist Party or PNV or EAJ [Inigo URKULLU]; Basque Solidarity or EA [Begona ERRAZTI]; Canarian Coalition or CC [Jose Torres STINGA] (a coalition of five parties); Convergence and Union or CiU [Artur MAS i Gavarro] (a coalition of the Democratic Convergence of Catalonia or CDC [Artur MAS i Gavarro] and the Democratic Union of Catalonia or UDC [Josep Antoni DURAN i LLEIDA]); Entesa Catalonia de Progress (a Senate coalition grouping four Catalan parties - PSC, ERC, ICV, EUA); Galician Nationalist Bloc or BNG [Anxo Manuel QUINTANA Gonzalez]; Initiative for Catalonia Greens or ICV [Joan SAURA i Laporta]; Navarra yes or Na Bai [Uxue BARKOS Berruezo] (a coalition of four Navarran parties); Popular Party or PP [Mariano RAJOY Brey]; Republican Left of Catalonia or ERC [Joan RIDAO]; Spanish Socialist Workers Party or PSOE [Jose Luis Rodriguez ZAPATERO]; United Left or IU [Cayo LARA] (a coalition of parties including the Communist Party of Spain or PCE and other small parties) |
| Political pressure groups and leaders: | Association for Victims of Terrorism or AVT (grassroots organization devoted primarily to opposing ETA terrorist attacks and supporting its victims); Basta Ya (Spanish for "Enough is Enough"; grassroots organization devoted primarily to opposing ETA terrorist attacks and supporting its victims); Nunca Mais (Galician for "Never Again"; formed in response to the oil Tanker Prestige oil spill); Socialist General Union of Workers or UGT and the smaller independent Workers Syndical Union or USO; Trade Union Confederation of Workers' Commissions or CC.OO. |
| Political pressure groups and leaders: | other: business and landowning interests; Catholic Church; free labor unions (authorized in April 1977); university students |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council (observer), Australia Group, BCIE, BIS, CE, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAIA (observer), MIGA, MINURCAT, MONUC, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, Schengen Convention, SECI (observer), SICA (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, Union Latina, UNRWA, UNWTO, UPU, WCL, WCO, WEU, WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Jorge DEZCALLAR de Mazarredo |
| Diplomatic representation in the US: | chancery: 2375 Pennsylvania Avenue NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 452-0100, 728-2340 |
| Diplomatic representation in the US: | FAX: [1] (202) 833-5670 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Houston, Los Angeles, Miami, New Orleans, New York, San Francisco, San Juan (Puerto Rico) |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Arnold A. CHACON |
| Diplomatic representation from the US: | embassy: Serrano 75, 28006 Madrid |
| Diplomatic representation from the US: | mailing address: PSC 61, APO AE 09642 |
| Diplomatic representation from the US: | telephone: [34] (91) 587-2200 |
| Diplomatic representation from the US: | FAX: [34] (91) 587-2303 |
| Diplomatic representation from the US: | consulate(s) general: Barcelona |
| Flag description: | three horizontal bands of red (top), yellow (double width), and red with the national coat of arms on the hoist side of the yellow band; the coat of arms is quartered to display the emblems of the traditional kingdoms of Spain (clockwise from upper left, Castile, Leon, Navarre, and Aragon) while Granada is represented by the stylized pomegranate at the bottom of the shield; the arms are framed by two columns representing the Pillars of Hercules, which are the two promontories (Gibraltar and Ceuta) on either side of the eastern end of the Strait of Gibraltar; the red scroll across the two columns bears the imperial motto of "Plus Ultra" (further beyond) referring to Spanish lands beyond Europe |
