| Government | Germany |
| Executive branch: | elections: president elected for a five-year term (eligible for a second term) by a Federal Assembly, including all members of the Federal Diet and an equal number of delegates elected by the state parliaments; election last held on 30 June 2010 (next to be held by June 2015); chancellor elected by an absolute majority of the Federal Diet for a four-year term; Bundestag vote for Chancellor last held after 27 September 2009 (next to follow the legislative election to be held no later than 2013) |
| Executive branch: | election results: Christian WULFF elected president; received 625 votes of the Federal Assembly against 494 for GAUCK and 121 abstentions; Angela MERKEL reelected chancellor; vote by Federal Diet 323 to 285 with four abstentions |
| Legislative branch: | bicameral legislature consists of the Federal Council or Bundesrat (69 votes; state governments sit in the Council; each has three to six votes in proportion to population and is required to vote as a block) and the Federal Diet or Bundestag (622 seats; members elected by popular vote for a four-year term under a system of personalized proportional representation; a party must win 5% of the national vote or three direct mandates to gain proportional representation and caucus recognition) |
| Legislative branch: | elections: Bundestag - last held on 27 September 2009 (next to be held no later than autumn 2013); note - there are no elections for the Bundesrat; composition is determined by the composition of the state-level governments; the composition of the Bundesrat has the potential to change any time one of the 16 states holds an election |
| Legislative branch: | election results: Bundestag - percent of vote by party - CDU/CSU 33.8%, SPD 23%, FDP 14.6%, Left 11.9%, Greens 10.7%, other 6%; seats by party - CDU/CSU 239, SPD 146, FDP 93, Left 76, Greens 68 |
| Judicial branch: | Federal Constitutional Court or Bundesverfassungsgericht (half the judges are elected by the Bundestag and half by the Bundesrat) |
| Political parties and leaders: | Alliance '90/Greens [Claudia ROTH and Cem OZDEMIR]; Christian Democratic Union or CDU [Angela MERKEL]; Christian Social Union or CSU [Horst SEEHOFER]; Free Democratic Party or FDP [Guido WESTERWELLE]; Left Party or Die Linke [Klaus ERNST and Gesine LOETZSCH]; Social Democratic Party or SPD [Sigmar GABRIEL] |
| Political pressure groups and leaders: | business associations and employers' organizations; trade unions; religious, immigrant, expellee, and veterans groups |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council (observer), Australia Group, BIS, BSEC (observer), CBSS, CDB, CE, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, FATF, G-20, G-5, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, Schengen Convention, SECI (observer), SICA (observer), UN, UN Security Council (temporary), UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMIL, UNMIS, UNRWA, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Klaus SCHARIOTH |
| Diplomatic representation in the US: | chancery: 4645 Reservoir Road NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 298-4000 |
| Diplomatic representation in the US: | FAX: [1] (202) 298-4249 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Houston, Los Angeles, Miami, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Philip D. MURPHY |
| Diplomatic representation from the US: | embassy: Pariser Platz 2, 14191 Berlin; note - new embassy opened 4 July 2008 |
| Diplomatic representation from the US: | mailing address: PSC 120, Box 1000, APO AE 09265, Clayallee 170, 14195 Berlin |
| Diplomatic representation from the US: | telephone: [49] (030) 2385174 |
| Diplomatic representation from the US: | FAX: [49] (030) 8305-1215 |
| Diplomatic representation from the US: | consulate(s) general: Duesseldorf, Frankfurt am Main, Hamburg, Leipzig, Munich |
| Flag description: | three equal horizontal bands of black (top), red, and gold; these colors have played an important role in German history and can be traced back to the medieval banner of the Holy Roman Emperor - a black eagle with red claws and beak on a gold field |
| National anthem: | name: "Lied der Deutschen" (Song of the Germans) |
| National anthem: | lyrics/music: August Heinrich HOFFMANN VON FALLERSLEBE/Franz Joseph HAYDN |
| National anthem: | note: adopted 1922, restored 1990; the anthem, also known as "Deutschlandlied" (Song of Germany), was abolished in 1945 because of the Nazi's use of the first verse, specifically the phrase, "Deutschland, Deutschland uber alles" (Germany, Germany above all) to promote nationalism; since restoration in 1990, only the third verse is sung |
