| Government | Hungary |
| Judicial branch: | judge selection and term of office: Curia president elected by the National Assembly on the recommendation of the president of the republic; other Curia judges appointed by the president upon the recommendation of the National Judicial Council, a separate 15-member administrative body; judge tenure based on interim evaluations until normal retirement at age 62; Constitutional Court judges, including the president of the court, elected by the National Assembly; court vice president elected by the court itself; members serve 12-year terms with mandatory retirement at age 62 |
| Judicial branch: | subordinate courts: 5 regional courts of appeal; 19 regional or county courts (including Budapest Metropolitan Court); 20 administrative-labor courts; 111 district or local courts |
| Political parties and leaders: | Christian Democratic People's Party or KDNP [Zsolt SEMJEN] |
| Political parties and leaders: | Democratic Coalition or DK [Ferenc GYURCSANY] |
| Political parties and leaders: | Dialogue for Hungary (Parbeszed) or PM [Gergely KARACSONY, Timea SZABO] |
| Political parties and leaders: | Fidesz-Hungarian Civic Alliance or Fidesz [Viktor ORBAN] |
| Political parties and leaders: | Hungarian Socialist Party or MSZP [Bertalan TOTH] |
| Political parties and leaders: | Momentum Movement (Momentum Mozgalom) [Andras FEKETE-GYOR] |
| Political parties and leaders: | Movement for a Better Hungary or Jobbik [Tamas SNEIDER] |
| Political parties and leaders: | National Self-Government of Germans in Hungary or LdU [Olivia SCHUBERT] |
| Political parties and leaders: | Politics Can Be Different or LMP [Marta DEMETER, Laszlo LORANT-KERESZTES] |
| Political parties and leaders: | Together (Egyutt) |
| International organization participation: | Australia Group, BIS, CD, CE, CEI, CERN, EAPC, EBRD, ECB, EIB, ESA (cooperating state), EU, FAO, G-9, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, NATO, NEA, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, PCA, Schengen Convention, SELEC, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Charge d'Affaires Dora ZOMBORI (since 14 April 2020) |
| Diplomatic representation in the US: | chancery: 3910 Shoemaker Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 362-6730 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-8135 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador David B. CORNSTEIN (since 25 June 2018) |
| Diplomatic representation from the US: | telephone: [36] (1) 475-4400 |
| Diplomatic representation from the US: | embassy: Szabadsag ter 12, H-1054 Budapest |
| Diplomatic representation from the US: | mailing address: pouch: American Embassy Budapest, 5270 Budapest Place, US Department of State, Washington, DC 20521-5270 |
| Diplomatic representation from the US: | FAX: [36] (1) 475-4248 |
| Flag description: | three equal horizontal bands of red (top), white, and green; the flag dates to the national movement of the 18th and 19th centuries, and fuses the medieval colors of the Hungarian coat of arms with the revolutionary tricolor form of the French flag; folklore attributes virtues to the colors: red for strength, white for faithfulness, and green for hope; alternatively, the red is seen as being for the blood spilled in defense of the land, white for freedom, and green for the pasturelands that make up so much of the country |
| National symbol(s): | Holy Crown of Hungary (Crown of Saint Stephen); national colors: red, white, green |
| National anthem: | name: "Himnusz" (Hymn) |
| National anthem: | lyrics/music: Ferenc KOLCSEY/Ferenc ERKEL |
| National anthem: | note: adopted 1844 |
