| Government | Hungary |
| Legislative branch: | election results: percent of vote by party (5% or more of the vote required for parliamentary representation in the first round) - Fidesz 52.7%, MSzP 19.3%, Jobbik 16.7%, LMP 7.5%; seats by party - Fidesz 263, MSzP 59, Jobbik 47, LMP 16, independent 1 |
| Judicial branch: | Constitutional Court (judges are elected by the National Assembly for nine-year terms); Curia (highest court; head of Curia elected by National Assembly, the other judges elected by the president on recommendation of the head of the National Office of the Courts, a separate administrative body); Regional Courts of Appeal (judges are appointed by the president) |
| Political parties and leaders: | Christian Democratic People's Party or KDNP [Zsolt SEMJEN]; Democratic Coalition [Ferenc GYURCSANY]; Hungarian Civic Alliance or Fidesz [Viktor ORBAN, chairman]; Hungarian Socialist Party or MSzP [Attila MESTERHAZY]; Movement for a Better Hungary or Jobbik [Gabor VONA]; Politics Can Be Different or LMP [13-member leadership] |
| Political pressure groups and leaders: | Air Work Group (works to reduce air pollution in towns and cities); Danube Circle (protests the building of the Gabchikovo-Nagymaros dam); Fourth Republic (Negyedik Koztarsasag) or 4K! (anti-Orban, pro-democracy Facebook movement emerged from a Facebook group, One Million for Freedom of the Press, and plans to form a leftist political party); Green Future (protests the impact of lead contamination of local factory on health of the people); Hungarian Civil Liberties Union (Tarsasag a Szabadsagjogokert) or TASZ (freedom of expression, information privacy); Hungarian Helsinki Committee (asylum seekers' rights, human rights in law enforcement and the judicial system); environmentalists: Hungarian Ornithological and Nature Conservation Society (Magyar Madartani Egyesulet) or MME; Green Alternative (Zold Alternativa) |
| International organization participation: | Australia Group, BIS, CD, CE, CEI, CERN, EAPC, EBRD, EIB, ESA (cooperating state), EU, FAO, G-9, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IEA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, NATO, NEA, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, PCA, Schengen Convention, SECI, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Gyorgy SZAPARY |
| Diplomatic representation in the US: | chancery: 3910 Shoemaker Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 362-6730 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-8135 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Eleni Tsakopoulos KOUNALAKIS |
| Diplomatic representation from the US: | embassy: Szabadsag ter 12, H-1054 Budapest |
| Diplomatic representation from the US: | mailing address: pouch: American Embassy Budapest, 5270 Budapest Place, US Department of State, Washington, DC 20521-5270 |
| Diplomatic representation from the US: | telephone: [36] (1) 475-4400 |
| Diplomatic representation from the US: | FAX: [36] (1) 475-4764 |
| Flag description: | three equal horizontal bands of red (top), white, and green; the flag dates to the national movement of the 18th and 19th centuries, and fuses the medieval colors of the Hungarian coat of arms with the revolutionary tricolor form of the French flag; folklore attributes virtues to the colors: red for strength, white for faithfulness, and green for hope; alternatively, the red is seen as being for the blood spilled in defense of the land, white for freedom, and green for the pasturelands that make up so much of the country |
| National symbol(s): | Holy Crown of Hungary (Crown of Saint Stephen); turul (falcon) |
| National anthem: | name: "Himnusz" (Hymn) |
| National anthem: | lyrics/music: Ferenc KOLCSEY/Ferenc ERKEL |
| National anthem: | note: adopted 1844; the anthem is also known as "Isten, aldd meg a magyart" (God, Bless the Hungarians) |
