| Government | HUNGARY |
| Political parties and leaders: | Hungarian Socialist Party or MSZP [Gyula MOLNAR] |
| Political parties and leaders: | Movement for a Better Hungary or Jobbik [Gabor VONA] |
| Political parties and leaders: | Politics Can Be Different or LMP [Bernadett SZEL, Akos HADHAZI] |
| Political parties and leaders: | Together 2014 or Egyutt or E14 [Peter JUHASZ, Viktor SZIGETVARI] |
| Political parties and leaders: | Unity (electoral coalition of MSZP, E14, DK, PM, MLP) |
| Political pressure groups and leaders: | Civil Osszefogas Forum ("Civil Unity Forum," nominally independent organization that serves as the steering committee for the pro-government mass organization Bekemenet (Peace March), supporting ORBAN government's policies) |
| Political pressure groups and leaders: | Hungarian Civil Liberties Union (Tarsasag a Szabadsagjogokert) or TASZ (freedom of expression, information privacy) |
| Political pressure groups and leaders: | Hungarian Helsinki Committee (asylum seekers' rights, human rights in law enforcement and the judicial system) |
| Political pressure groups and leaders: | MigSzol (Migrant Solidarity Group of Hungary) (independent advocacy group on migration crisis) |
| Political pressure groups and leaders: | MostMi ("Now Us") [Bori TAKACS](Facebook group that was a major participant at anti-government demonstrations in late 2014-early 2015; pro-Europe, anti-establishment movement that blames Fidesz for the state of the country but also blames all established political parties for perceived political and economic failures since the fall of communism) |
| Political pressure groups and leaders: | Okotars (empowerment of civil society in Hungary) |
| Political pressure groups and leaders: | other: Energy Club (Energia Klub) |
| Political pressure groups and leaders: | Greenpeace Hungary (Greenpeace Magyarorszag) |
| International organization participation: | Australia Group, BIS, CD, CE, CEI, CERN, EAPC, EBRD, ECB, EIB, ESA (cooperating state), EU, FAO, G-9, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, NATO, NEA, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, PCA, Schengen Convention, SELEC, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Laszlo SZABO (since 8 September 2017) |
| Diplomatic representation in the US: | chancery: 3910 Shoemaker Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 362-6730 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-8135 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation in the US: | consulate(s): Boston |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d’Affaires David KOSTELANCIK (since 20 January 2017) |
| Diplomatic representation from the US: | embassy: Szabadsag ter 12, H-1054 Budapest |
| Diplomatic representation from the US: | mailing address: pouch: American Embassy Budapest, 5270 Budapest Place, US Department of State, Washington, DC 20521-5270 |
| Diplomatic representation from the US: | telephone: [36] (1) 475-4400 |
| Diplomatic representation from the US: | FAX: [36] (1) 475-4248 |
| Flag description: | three equal horizontal bands of red (top), white, and green; the flag dates to the national movement of the 18th and 19th centuries, and fuses the medieval colors of the Hungarian coat of arms with the revolutionary tricolor form of the French flag; folklore attributes virtues to the colors: red for strength, white for faithfulness, and green for hope; alternatively, the red is seen as being for the blood spilled in defense of the land, white for freedom, and green for the pasturelands that make up so much of the country |
| National symbol(s): | Holy Crown of Hungary (Crown of Saint Stephen); national colors: red, white, green |
| National anthem: | name: "Himnusz" (Hymn) |
| National anthem: | lyrics/music: Ferenc KOLCSEY/Ferenc ERKEL |
| National anthem: | note: adopted 1844 |
