| Government | Hungary |
| Political pressure groups and leaders: | Green Future (protests the impact of lead contamination of local factory on health of the people) |
| Political pressure groups and leaders: | Hungarian Civil Liberties Union (Tarsasag a Szabadsagjogokert) or TASZ (freedom of expression, information privacy) |
| Political pressure groups and leaders: | Hungarian Helsinki Committee (asylum seekers' rights, human rights in law enforcement and the judicial system) |
| Political pressure groups and leaders: | Szolidaritas ("Solidarity," formed in October 2011 by three trade unions and an NGO - anti-Orban government) |
| Political pressure groups and leaders: | "Egyutt 2014" ("Together 2014," a political electoral alliance bringing together Milla, Szolidaritas, and "Haza es Haladas," an association headed by former PM Gordon BAJNAI, to contest Fidesz and Viktor ORBAN in the 2014 parliamentary elections) |
| Political pressure groups and leaders: | Civil Osszefogas Forum ("Civil Unity Forum," nominally independent organization that serves as pro-government mass organization, supporting ORBAN government's policies) |
| environmentalists: | Hungarian Ornithological and Nature Conservation Society (Magyar Madartani Egyesulet) or MME |
| environmentalists: | Green Alternative (Zold Alternativa) |
| International organization participation: | Australia Group, BIS, CD, CE, CEI, CERN, EAPC, EBRD, EIB, ESA (cooperating state), EU, FAO, G-9, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, NATO, NEA, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, PCA, Schengen Convention, SELEC, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Gyorgy SZAPARY (since 31 January 2011) |
| Diplomatic representation in the US: | chancery: 3910 Shoemaker Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 362-6730 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-8135 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires M. Andre GOODFRIEND (since August 2013) |
| Diplomatic representation from the US: | embassy: Szabadsag ter 12, H-1054 Budapest |
| Diplomatic representation from the US: | mailing address: pouch: American Embassy Budapest, 5270 Budapest Place, US Department of State, Washington, DC 20521-5270 |
| Diplomatic representation from the US: | telephone: [36] (1) 475-4400 |
| Diplomatic representation from the US: | FAX: [36] (1) 475-4764 |
| Flag description: | three equal horizontal bands of red (top), white, and green; the flag dates to the national movement of the 18th and 19th centuries, and fuses the medieval colors of the Hungarian coat of arms with the revolutionary tricolor form of the French flag; folklore attributes virtues to the colors: red for strength, white for faithfulness, and green for hope; alternatively, the red is seen as being for the blood spilled in defense of the land, white for freedom, and green for the pasturelands that make up so much of the country |
| National symbol(s): | Holy Crown of Hungary (Crown of Saint Stephen); turul (falcon) |
| National anthem: | name: "Himnusz" (Hymn) |
| National anthem: | lyrics/music: Ferenc KOLCSEY/Ferenc ERKEL |
| National anthem: | note: adopted 1844 |
