| Government | Italy |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Detroit, Houston, Miami, New York, Los Angeles, Philadelphia, San Francisco |
| Diplomatic representation in the US: | consulate(s): Charlotte (NC), Cleveland (OH), Detroit (MI), Hattiesburg (MS), Honolulu (HI), New Orleans, Newark (NJ), Norfolk (VA), Pittsburgh (PA), Portland (OR), Seattle |
| Diplomatic representation from the US: | chief of mission: Ambassador Lewis EISENBERG (since 4 October 2017); note - also accredited to San Marino |
| Diplomatic representation from the US: | telephone: [39] 06-4674-1 |
| Diplomatic representation from the US: | embassy: Via Vittorio Veneto 121, 00187-Rome |
| Diplomatic representation from the US: | mailing address: PSC 59, Box 100, APO AE 09624 |
| Diplomatic representation from the US: | FAX: [39] 06-488-2672 |
| Diplomatic representation from the US: | consulate(s) general: Florence, Milan, Naples |
| Flag description: | three equal vertical bands of green (hoist side), white, and red; design inspired by the French flag brought to Italy by Napoleon in 1797; colors are those of Milan (red and white) combined with the green uniform color of the Milanese civic guard |
| Flag description: | note: similar to the flag of Mexico, which is longer, uses darker shades of green and red, and has its coat of arms centered on the white band; Ireland, which is longer and is green (hoist side), white, and orange; also similar to the flag of the Cote d'Ivoire, which has the colors reversed - orange (hoist side), white, and green |
| National symbol(s): | white, five-pointed star (Stella d'Italia); national colors: red, white, green |
| National anthem: | name: "Il Canto degli Italiani" (The Song of the Italians) |
| National anthem: | lyrics/music: Goffredo MAMELI/Michele NOVARO |
| National anthem: | note: adopted 1946; the anthem, originally written in 1847, is also known as "L'Inno di Mameli" (Mameli's Hymn), and "Fratelli D'Italia" (Brothers of Italy) |
