| Government | Suriname |
| Political parties and leaders: | Victory 7 or V7 [Chandrikapresad SANTOKHI] (formerly the New Front for Democracy and Development or NF; an electoral coalition of NPS, VHP, DA91, PL, SPA formed only for the May 2015 election) |
| International organization participation: | ACP, AOSIS, Caricom, CD, CDB, CELAC, FAO, G-77, IADB, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC (NGOs), LAES, MIGA, NAM, OAS, OIC, OPANAL, OPCW, PCA, Petrocaribe, UN, UNASUR, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Niermala Sakoentala BADRISING (since 21 July 2017) |
| Diplomatic representation in the US: | chancery: 4301 Connecticut Avenue NW, Suite 460, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-7488 |
| Diplomatic representation in the US: | FAX: [1] (202) 244-5878 |
| Diplomatic representation in the US: | consulate(s) general: Miami |
| Diplomatic representation from the US: | chief of mission: Ambassador Karen Lynn WILLIAMS (since 20 November 2018) |
| Diplomatic representation from the US: | telephone: [597] 472-900 |
| Diplomatic representation from the US: | embassy: 165 Kristalstraat, Paramaribo |
| Diplomatic representation from the US: | mailing address: US Department of State, PO Box 1821, Paramaribo |
| Diplomatic representation from the US: | FAX: [597] 410-972 |
| Flag description: | five horizontal bands of green (top, double width), white, red (quadruple width), white, and green (double width); a large, yellow, five-pointed star is centered in the red band; red stands for progress and love, green symbolizes hope and fertility, white signifies peace, justice, and freedom; the star represents the unity of all ethnic groups; from its yellow light the nation draws strength to bear sacrifices patiently while working toward a golden future |
| National symbol(s): | royal palm, faya lobi (flower); national colors: green, white, red, yellow |
| National anthem: | name: "God zij met ons Suriname!" (God Be With Our Suriname) |
| National anthem: | lyrics/music: Cornelis Atses HOEKSTRA and Henry DE ZIEL/Johannes Corstianus DE PUY |
| National anthem: | note: adopted 1959; originally adapted from a Sunday school song written in 1893 and contains lyrics in both Dutch and Sranang Tongo |
