| Government | Suriname |
| International organization participation: | ACP, AOSIS, Caricom, FAO, G-77, IADB, IBRD, ICAO, ICCt, ICRM, IDB, IFAD, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IPU, ISO (correspondent), ITU, ITUC, LAES, MIGA, NAM, OAS, OIC, OPANAL, OPCW, PCA, PetroCaribe, RG, UN, UNASUR, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jacques Ruben Constantijn KROSS |
| Diplomatic representation in the US: | chancery: Suite 460, 4301 Connecticut Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-7488 |
| Diplomatic representation in the US: | FAX: [1] (202) 244-5878 |
| Diplomatic representation in the US: | consulate(s) general: Miami |
| Diplomatic representation from the US: | chief of mission: Ambassador John R. NAY |
| Diplomatic representation from the US: | embassy: Dr. Sophie Redmondstraat 129, Paramaribo |
| Diplomatic representation from the US: | mailing address: US Department of State, PO Box 1821, Paramaribo |
| Diplomatic representation from the US: | telephone: [597] 472-900 |
| Diplomatic representation from the US: | FAX: [597] 410-025 |
| Flag description: | five horizontal bands of green (top, double width), white, red (quadruple width), white, and green (double width); a large, yellow, five-pointed star is centered in the red band; red stands for progress and love; green symbolizes hope and fertility; white signifies peace, justice, and freedom; the star represents the unity of all ethnic groups; from its yellow light the nation draws strength to bear sacrifices patiently while working toward a golden future |
| National anthem: | name: "God zij met ons Suriname!" (God Be With Our Suriname) |
| National anthem: | lyrics/music: Cornelis Atses HOEKSTRA and Henry DE ZIEL/Johannes Corstianus DE PUY |
| National anthem: | note: adopted 1959; the anthem, originally adapted from a Sunday school song written in 1893, contains lyrics in both Dutch and Sranan Tongo |
