| Government | Comoros |
| Judicial branch: | subordinate courts: Court of Appeals (in Moroni); Tribunal de premiere instance; island village (community) courts; religious courts |
| Judicial branch: | Â  |
| Judicial branch: | Â  |
| Political parties and leaders: | Convention for the Renewal of the Comoros or CRC [AZALI Assoumani] |
| Political parties and leaders: | Democratic Rally of the Comoros or RDC [Mouigni BARAKA] |
| Political parties and leaders: | Juwa Party or PJ [Ahmed Abdallah SAMBI, Mahamoudou AHAMADA] |
| Political parties and leaders: | Party for the Comorian Agreement (Partie Pour l'Entente Commorienne) or PEC [Fahmi Said IBRAHIM] |
| Political parties and leaders: | Rally for an Alternative of Harmonious and Integrated Development or RADHI [Abdou SOEFO] |
| Political parties and leaders: | Rally with a Development Initiative for Enlightened Youth or RIDJA [Said LARIFOU] |
| Political parties and leaders: | Union for the Development of the Comoros or UPDC [Mohamed HALIFA] (2018) |
| International organization participation: | ACP, AfDB, AMF, AOSIS, AU, CAEU (candidates), COMESA, FAO, FZ, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, InOC, Interpol, IOC, IOM, ITSO, ITU, ITUC (NGOs), LAS, MIGA, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | vacant |
| Diplomatic representation in the US: | chancery: Mission to the US, 866 United Nations Plaza, Suite 418, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 750-1637 |
| Diplomatic representation in the US: | FAX: [1] (212) 750-1657 |
| Diplomatic representation from the US: | the US does not have an embassy in Comoros; the US Ambassador to Madagascar is accredited to Comoros |
| Flag description: | four equal horizontal bands of yellow (top), white, red, and blue, with a green isosceles triangle based on the hoist; centered within the triangle is a vertical white crescent moon with the convex side facing the hoist and four white, five-pointed stars placed vertically in a line between the points of the crescent; the horizontal bands and the four stars represent the four main islands of the archipelago - Mwali, N'gazidja, Ndzuwani, and Mahore (Mayotte - department of France, but claimed by Comoros) |
| Flag description: | note: the crescent, stars, and color green are traditional symbols of Islam |
| National symbol(s): | four five-pointed stars and crescent moon; national colors: green, white |
| National anthem: | name: "Udzima wa ya Masiwa" (The Union of the Great Islands) |
| National anthem: | lyrics/music: Said Hachim SIDI ABDEREMANE/Said Hachim SIDI ABDEREMANE and Kamildine ABDALLAH |
| National anthem: | note: adopted 1978 |
