| Government | Comoros |
| Executive branch: | election results: AZALI Assoumani (CRC) elected president in the second round; percent of vote in first round - Mohamed Ali SOILIHI (UPDC)17.6%, Mouigni BARAKA (RDC) 15.1%, AZALI Assoumani (CRC) 15.%, Fahmi Said IBRAHIM (PEC) 14.5%; percent of vote in second round - AZALI Assoumani (CRC) 41.%, Mohamed Ali SOILIHI (UPDC) 39.9%; Mouigni BARAKA (RDC)19.1% |
| Executive branch: | note: a referendum held on 30 July 2018 overwhelmingly approved a constitutional amendment that extends the term limits of the president and ends the rotation of the Union presidents among the three main islands |
| Legislative branch: | description: unicameral Assembly of the Union (33 seats; 24 members directly elected by absolute majority vote in 2 rounds if needed and 9 members indirectly elected by the 3 island assemblies; members serve 5-year terms) (2017) |
| Legislative branch: | elections: last held on 25 January 2015 with a runoff on 22 February 2015 (next to be held in 2020) (2017) |
| Legislative branch: | election results: percent of vote by party - UPDC 29.1%, PJ 20.5%, RDC 21.3%, other 29.1%; seats by party - UPDC 8, PJ 7, RDC 2, CRC 2, RADHI 1, PEC 1, independent 3; composition - men 32, women 1, percent of women 3%; note -Â  9 additional seats filled by the 3 island assemblies |
| Political parties and leaders: | Convention for the Renewal of the Comoros or CRC [AZALI Assoumani] |
| Political parties and leaders: | Democratic Rally of the Comoros or RDC [Mouigni BARAKA] |
| Political parties and leaders: | Juwa Party or PJ [Ahmed Abdallah SAMBI] |
| Political parties and leaders: | Party for the Comorian Agreement (Partie Pour l'Entente Commorienne) or PEC [Fahmi Said IBRAHIM] |
| Political parties and leaders: | Rally for an Alternative of Harmonious and Integrated Development or RADHI [Abdou SOEFO] |
| Political parties and leaders: | Rally with a Development Initiative for Enlightened Youth or RIDJA [Said LARIFOU] |
| Political parties and leaders: | Union for the Development of the Comoros or UPDC [Mohamed HALIFA] |
| International organization participation: | ACP, AfDB, AMF, AOSIS, AU, CAEU (candidates), COMESA, FAO, FZ, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, InOC, Interpol, IOC, IOM, ITSO, ITU, ITUC (NGOs), LAS, MIGA, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Soilihi Mohamed SOILIHI (since 18 November 2014) |
| Diplomatic representation in the US: | chancery: Mission to the US, 866 United Nations Plaza, Suite 418, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 750-1637 |
| Diplomatic representation in the US: | FAX: [1] (212) 750-1657 |
| Diplomatic representation from the US: | the US does not have an embassy in Comoros; the US Ambassador to Madagascar is accredited to Comoros |
| Flag description: | four equal horizontal bands of yellow (top), white, red, and blue, with a green isosceles triangle based on the hoist; centered within the triangle is a white crescent with the convex side facing the hoist and four white, five-pointed stars placed vertically in a line between the points of the crescent; the horizontal bands and the four stars represent the four main islands of the archipelago - Mwali, N'gazidja, Ndzuwani, and Mahore (Mayotte - department of France, but claimed by Comoros) |
| Flag description: | note: the crescent, stars, and color green are traditional symbols of Islam |
| National symbol(s): | four stars and crescent; national colors: green, white |
| National anthem: | name: "Udzima wa ya Masiwa" (The Union of the Great Islands) |
| National anthem: | lyrics/music: Said Hachim SIDI ABDEREMANE/Said Hachim SIDI ABDEREMANE and Kamildine ABDALLAH |
| National anthem: | note: adopted 1978 |
