| Government | Ethiopia |
| Legislative branch: | bicameral Parliament consists of the House of Federation (or upper chamber responsible for interpreting the constitution and federal-regional issues) (108 seats; members chosen by state assemblies to serve five-year terms) and the House of People's Representatives (or lower chamber responsible for passing legislation) (547 seats; members directly elected by popular vote from single-member districts to serve five-year terms) |
| Legislative branch: | elections: last held on 23 May 2010 (next to be held in 2015) |
| Legislative branch: | election results: percent of vote - NA; seats by party - EPRDF 499, SPDP 24, BGPDP 9, ANDP 8, GPUDM 3, HNL 1, FORUM 1, APDO 1, independent 1 |
| Judicial branch: | Federal Supreme Court (the president and vice president of the Federal Supreme Court are recommended by the prime minister and appointed by the House of People's Representatives; for other federal judges, the prime minister submits to the House of People's Representatives for appointment candidates selected by the Federal Judicial Administrative Council) |
| Political parties and leaders: | Afar National Democratic Party or ANDP [Mohammed KEDIR]; All Ethiopian Unity Organization or AEUO [Hailu SHAWEL]; Arena Tigray [GEBRU Asrat]; Argoba People's Democratic Organization or APDO [Abdulkader MOHAMMED]; Benishangul Gumuz People's Democratic Party or BGPDP [Mulualem BESSE]; Coalition for Unity and Democratic Party or CUDP [AYELE Chamiso]; Ethiopian Democratic Party or EDP [MUSHE Semu]; Ethiopian Federal Democratic Forum or FORUM (a UDJ-led 6-party alliance established for the 2010 parliamentary elections) [Dr. Moga FRISSA]; Ethiopian People's Revolutionary Democratic Front or EPRDF (including the following organizations: Amhara National Democratic Movement or AMDM; Oromo People's Democratic Organization or OPDO; Southern Ethiopian People's Democratic Movement or SEPDM; and Tigray People's Liberation Front or TPLF); Gambella Peoples Unity Democratic Movement or GPUDM; Gurage Peoples Democratic Front [GIRMA Bogale]; Harari National League or HNL [YASIN Husein]; Oromo Federalist Democratic Movement or OFDM; Oromo People's Congress or OPC [IMERERA Gudina]; Somali Democratic Alliance Forces or SODAF [BUH Hussien]; Somali People's Democratic Party or SPDP [Abdulfetah Sheck ABDULAHI]; South Ethiopian People's Democratic Union or SEPDU [TILAHUN Endeshaw]; United Ethiopian Democratic Forces or UEDF [BEYENE Petros]; Unity for Democracy and Justice or UDJ [Dr. NEGASSO Gidada] |
| Political pressure groups and leaders: | Ethiopian People's Patriotic Front or EPPF; Ogaden National Liberation Front or ONLF; Oromo Liberation Front or OLF [DAOUD Ibsa] |
| International organization participation: | ACP, AfDB, AU, COMESA, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMIL, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador GIRMA Birru |
| Diplomatic representation in the US: | chancery: 3506 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 364-1200 |
| Diplomatic representation in the US: | FAX: [1] (202) 587-0195 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Donald E. BOOTH |
| Diplomatic representation from the US: | embassy: Entoto Street, Addis Ababa |
| Diplomatic representation from the US: | mailing address: P. O. Box 1014, Addis Ababa |
| Diplomatic representation from the US: | telephone: [251] 11-517-40-00 |
| Diplomatic representation from the US: | FAX: [251] 11-517-40-01 |
| Flag description: | three equal horizontal bands of green (top), yellow, and red, with a yellow pentagram and single yellow rays emanating from the angles between the points on a light blue disk centered on the three bands; green represents hope and the fertility of the land, yellow symbolizes justice and harmony, while red stands for sacrifice and heroism in the defense of the land; the blue of the disk symbolizes peace and the pentagram represents the unity and equality of the nationalities and peoples of Ethiopia |
| Flag description: | note: Ethiopia is the oldest independent country in Africa, and the three main colors of her flag (adopted ca. 1895) were so often adopted by other African countries upon independence that they became known as the Pan-African colors; the emblem in the center of the current flag was added in 1996 |
| National symbol(s): | Abyssinian lion |
| National anthem: | name: "Whedefit Gesgeshi Woud Enat Ethiopia" (March Forward, Dear Mother Ethiopia) |
| National anthem: | lyrics/music: DEREJE Melaku Mengesha/SOLOMON Lulu |
| National anthem: | note: adopted 1992 |
