| Government | ETHIOPIA |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President MULATU Teshome Wirtu (since 7 October 2013) |
| Executive branch: | head of government: Prime Minister HAILEMARIAM Desalegn (since 21 September 2012); Deputy Prime Minister DEMEKE Mekonnen Hassen |
| Executive branch: | cabinet: Council of Ministers selected by the prime minister and approved by the House of People's Representatives |
| Executive branch: | elections/appointments: president indirectly elected by both chambers of Parliament for a 6-year term (eligible for a second term); election last held on 7 October 2013 (next to be held in October 2019); prime minister designated by the majority party following legislative elections |
| Executive branch: | election results: MULATU Teshome Wirtu (OPDO) elected president; Parliament vote - 659 (unanimous) |
| Legislative branch: | bicameral Parliament consists of the House of Federation or Yefedereshein Mikir Bete (153 seats; members indirectly elected by state assemblies to serve 5-year terms) and the House of People's Representatives or Yehizb Tewokayoch Mekir Bete (547 seats; members directly elected in single-seat constituencies by simple majority vote; 22 seats reserved for minorities; all members serve 5-year terms); note - the House of Federation is responsible for interpreting the constitution and federal-regional issues and the House of People's Representatives is responsible for passing legislation |
| Legislative branch: | elections: last held on 24 May 2015 (next to be held in 2020) |
| Legislative branch: | election results: House of Representatives percent of vote by party/coalition - NA; seats by party/coalition - EPRDF 501, SPDP 24, BGPDUP 9, ANDP 8, GPUDM 3, APDO 1, HNL 1 |
| Judicial branch: | highest court(s): Federal Supreme Court (consists of 11 judges); note - the House of Federation has jurisdiction for all constitutional issues |
| Judicial branch: | judge selection and term of office: president and vice president of Federal Supreme Court recommended by the prime minister and appointed by the House of People's Representatives; other Supreme Court judges nominated by the Federal Judicial Administrative Council (a 10-member body chaired by the president of the Federal Supreme Court) and appointed by the House of People's Representatives; judges serve until retirement at age 60 |
| Judicial branch: | subordinate courts: federal high courts and federal courts of first instance; state court systems (mirror structure of federal system); sharia courts and customary and traditional courts |
| Political parties and leaders: | Afar National Democratic Party or ANDP [Taha AHMED] |
| Political parties and leaders: | Argoba People Democratic Organization or APDO |
| Political parties and leaders: | Benishangul Gumuz People's Democratic Unity Party or BGPDUP |
| Political parties and leaders: | Blue Party (Semayawi Party) [Solomon TESSEMA, spokesman] |
| Political parties and leaders: | Ethiopian Federal Democratic Unity Forum or MEDREK [Beyene PETROS] (a 4-party alliance) |
| Political parties and leaders: | Ethiopian People's Revolutionary Democratic Front or EPRDF [Hailemarian DESALEGN] (includes Amhara National Democratic Movement or ANDM; Oromo People's Democratic Organization or OPDO; Southern Ethiopian People's Democratic Movement or SEPDM; Tigray People's Liberation Front or TPLF) |
| Political parties and leaders: | Gambella Peoples Unity Democratic Movement or GPUDM |
| Political parties and leaders: | Harari National League or HNL [Murad ABDULHADI] |
| Political parties and leaders: | Somali People's Democratic Party or SPDP |
| Political pressure groups and leaders: | Ginbot 7 Movement |
| Political pressure groups and leaders: | Ogaden National Liberation Front or ONLF |
| Political pressure groups and leaders: | Oromo Liberation Front or OLF [DAOUD Ibsa] |
| International organization participation: | ACP, AfDB, AU, COMESA, EITI (candidate country), FAO, G-24, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OPCW, PCA, UN, UN Security Council (temporary), UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMIL, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador GIRMA Birru Geda (since 6 January 2011) |
| Diplomatic representation in the US: | chancery: 3506 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 364-1200 |
| Diplomatic representation in the US: | FAX: [1] (202) 587-0195 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, Seattle |
| Diplomatic representation in the US: | consulate(s): Houston, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Michael RAYNOR (since 3 October 2017) |
| Diplomatic representation from the US: | embassy: Entoto Street, Addis Ababa |
| Diplomatic representation from the US: | mailing address: P.O. Box 1014, Addis Ababa |
| Diplomatic representation from the US: | telephone: [251] 11 130-6000 |
| Diplomatic representation from the US: | FAX: 124-2401 [251] 11 124 2401 |
| Flag description: | three equal horizontal bands of green (top), yellow, and red, with a yellow pentagram and single yellow rays emanating from the angles between the points on a light blue disk centered on the three bands; green represents hope and the fertility of the land, yellow symbolizes justice and harmony, while red stands for sacrifice and heroism in the defense of the land; the blue of the disk symbolizes peace and the pentagram represents the unity and equality of the nationalities and peoples of Ethiopia |
| Flag description: | note: Ethiopia is the oldest independent country in Africa, and the three main colors of her flag (adopted ca. 1895) were so often appropriated by other African countries upon independence that they became known as the Pan-African colors; the emblem in the center of the current flag was added in 1996 |
| National symbol(s): | Abyssinian lion (traditional), yellow pentagram with five rays of light on a blue field (promoted by current government); national colors: green, yellow, red |
| National anthem: | name: "Whedefit Gesgeshi Woud Enat Ethiopia" (March Forward, Dear Mother Ethiopia) |
| National anthem: | lyrics/music: DEREJE Melaku Mengesha/SOLOMON Lulu |
| National anthem: | note: adopted 1992 |
