| Government | Ethiopia |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 4 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President SAHLE-WORK Zewde (since 25 October 2018) |
| Executive branch: | head of government: Prime Minister ABIY Ahmed (since 2 April 2018); Deputy Prime Minister DEMEKE Mekonnen Hassen (since 29 November 2012); note - Prime Minister HAILEMARIAM Desalegn (since 21 September 2012) resigned on 15 February 2018 and continued as caretaker until the new prime minister was sworn into office on 2 April 2018 |
| Executive branch: | cabinet: Council of Ministers selected by the prime minister and approved by the House of People's Representatives |
| Executive branch: | elections/appointments: president indirectly elected by both chambers of Parliament for a 6-year term (eligible for a second term); snap election held on 25 October 2018 due to resignation of President MULATA Teshome (next election postponed by Prime Minister ABIY due to the COVID-19 pandemic); prime minister designated by the majority party following legislative elections |
| Executive branch: | election results: SAHLE-WORK Zewde elected president; Parliament vote - 659 (unanimous) |
| Executive branch: | note: SAHLE-WORK Zewde is the first female elected head of state in Ethiopia; she is currently the only female president in Africa. Former President Dr. Mulatu TESHOME resigned on 25 October 2018, one year ahead of finishing his six-year term. |
| Legislative branch: | description: bicameral Parliament consists of: |
| Legislative branch: | House of Federation or Yefedereshein Mikir Bete (153 seats; members indirectly elected by state assemblies to serve 5-year terms) |
| Legislative branch: | House of People's Representatives or Yehizb Tewokayoch Mekir Bete (547 seats; members directly elected in single-seat constituencies by simple majority vote; 22 seats reserved for minorities; all members serve 5-year terms) |
| Legislative branch: | elections: House of Federation - last held 24 May 2015 (next originally scheduled on 29 August 2020 but postponed a year due to the COVID-19 pandemic) |
| Legislative branch: | House of People's Representatives - last held on 24 May 2015 (next originally scheduled on 29 August 2020 but postponed to 2021 due to the COVID-19 pandemic) |
| Legislative branch: | election results: House of Federation - percent of vote by coalition/party - NA; seats by coalition/party - NA; composition - men 104, women 49, percent of women 32% |
| Legislative branch: | House of Representatives - percent of vote by coalition/party - NA; seats by coalition/party - EPRDF 501, SPDP 24, BGPDUP 9, ANDP 8, GPUDM 3, APDO 1, HNL 1; composition - men 335, women 212, percent of womenÂ  38.8%; note - total Parliament percent of women 37.3% |
| Legislative branch: | note: House of Federation is responsible for interpreting the constitution and federal-regional issues and the House of People's Representatives is responsible for passing legislation |
| Judicial branch: | highest courts: Federal Supreme Court (consists of 11 judges); note - the House of Federation has jurisdiction for all constitutional issues |
| Judicial branch: | judge selection and term of office: president and vice president of Federal Supreme Court recommended by the prime minister and appointed by the House of People's Representatives; other Supreme Court judges nominated by the Federal Judicial Administrative Council (a 10-member body chaired by the president of the Federal Supreme Court) and appointed by the House of People's Representatives; judges serve until retirement at age 60 |
| Judicial branch: | subordinate courts: federal high courts and federal courts of first instance; state court systems (mirror structure of federal system); sharia courts and customary and traditional courts |
| Political parties and leaders: | Afar National Democratic Party or ANDP [Taha AHMED] |
| Political parties and leaders: | Argoba People Democratic Organization or APDO |
| Political parties and leaders: | Benishangul Gumuz People's Democratic Unity Party or BGPDUP |
| Political parties and leaders: | Ethiopian Federal Democratic Unity Forum or MEDREK or FORUM [Beyene PETROS] (includes ESD-SCUP, OFC, SLM, and UTDS) |
| Political parties and leaders: | Ethiopia Citizens for Social Justice or ECSJ Party (formed in May 2019 from 7 other parties, including Patriotic Genbot 7, Ethiopian Democratic Party (EDP), All Ethiopian Democratic Party (AEDP), Semayawi Party, New Generation Party, Gambella Regional Movement (GRM), Unity for Democracy and Justice (UDJ) Party [Berhanu Negu]) |
| Political parties and leaders: | Prosperity Party or PP [ABIY Ahmed] (created in November 2019 from member parties of the former Ethiopian People's Revolutionary Democratic Front or EPRDF, which included the Amhara National Democratic Movement (ANDM),Â  Oromo People's Democratic Organization (OPDO), Southern Ethiopian People's Democratic MovementÂ  (SEPDM), Tigray People's Liberation Front (TPLF), plus other ERPRF allies |
| Political parties and leaders: | Ethiopian Social Democracy-Southern Coalition Unity Party or ESD-SCUP |
| Political parties and leaders: | Gambella Peoples Unity Democratic Movement or GPUDM |
| Political parties and leaders: | Harari National League or HNL [Murad ABDULHADI] |
| Political parties and leaders: | Oromo Fderalist Congress or OFC |
| Political parties and leaders: | Sidama Liberaton Movement or SLM |
| Political parties and leaders: | Somali People's Democratic Party or SPDP |
| Political parties and leaders: | Union of Tigraians for Democracy & Sovergnty or UTDS |
| Political parties and leaders: | Tigray Independence Party [Girmay BERHE] (2020) |
| International organization participation: | ACP, AfDB, AU, COMESA, EITI (candidate country), FAO, G-24, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMIL, UN Security Council (temporary), UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Ato FITSUM Arega (since 9 April 2019) |
| Diplomatic representation in the US: | chancery: 3506 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 364-1200 |
| Diplomatic representation in the US: | FAX: [1] (202) 587-0195 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, Seattle |
| Diplomatic representation in the US: | consulate(s): Houston, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Michael RAYNOR (since 3 October 2017) |
| Diplomatic representation from the US: | telephone: [251] 11 130-6000 |
| Diplomatic representation from the US: | embassy: Entoto Street, P.O. Box 1014, Addis Ababa |
| Diplomatic representation from the US: | mailing address: P.O. Box 1014, Addis Ababa |
| Diplomatic representation from the US: | FAX: [251] 11 124-2401 |
| Flag description: | three equal horizontal bands of green (top), yellow, and red, with a yellow pentagram and single yellow rays emanating from the angles between the points on a light blue disk centered on the three bands; green represents hope and the fertility of the land, yellow symbolizes justice and harmony, while red stands for sacrifice and heroism in the defense of the land; the blue of the disk symbolizes peace and the pentagram represents the unity and equality of the nationalities and peoples of Ethiopia |
| Flag description: | note: Ethiopia is the oldest independent country in Africa, and the three main colors of her flag (adopted ca. 1895) were so often appropriated by other African countries upon independence that they became known as the Pan-African colors; the emblem in the center of the current flag was added in 1996 |
| National symbol(s): | Abyssinian lion (traditional), yellow pentagram with five rays of light on a blue field (promoted by current government); national colors: green, yellow, red |
| National anthem: | name: "Whedefit Gesgeshi Woud Enat Ethiopia" (March Forward, Dear Mother Ethiopia) |
| National anthem: | lyrics/music: DEREJE Melaku Mengesha/SOLOMON Lulu |
| National anthem: | note: adopted 1992 |
