| Government | TRINIDAD AND TOBAGO |
| Judicial branch: | highest resident court(s): Supreme Court of the Judicature (consists of a chief justice for both the Court of Appeal with 12 judges and the High Court with 24 judges); note - Trinidad and Tobago can file appeals beyond its Supreme Court to the Caribbean Court of Justice, with final appeal to the Judicial Committee of the Privy Council (in London) |
| Judicial branch: | judge selection and term of office: Supreme Court chief justice appointed by the president after consultation with the prime minister and the parliamentary leader of the opposition; other judges appointed by the Judicial Legal Services Commission, headed by the chief justice and 5 members with judicial experience; all judges appointed for life with mandatory retirement normally at age 65 |
| Judicial branch: | subordinate courts: Courts of Summary Criminal Jurisdiction; Petty Civil Courts; Family Court |
| Political parties and leaders: | Congress of the People or COP |
| Political parties and leaders: | People's National Movement or PNM [Keith ROWLEY] |
| Political parties and leaders: | People's Partnrship [Kamla PERSAD-BISSESSAR] (coalition includes UNC, COP, TOP, National Joint Action Committee) |
| Political parties and leaders: | National Joint Action Committee or NJAC [Kwasi MUTEMA] |
| Political parties and leaders: | Tobago Organization of the People or TOP [Ashworth JACK] |
| Political parties and leaders: | United National Congress or UNC [Kamla PERSAD-BISSESSAR] |
| Political pressure groups and leaders: | Jamaat al-Muslimeen [Yasin ABU BAKR] |
| International organization participation: | ACP, AOSIS, C, Caricom, CDB, CELAC, EITI (compliant country), FAO, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, MIGA, NAM, OAS, OPANAL, OPCW, Pacific Alliance (observer), Paris Club (associate), UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Anthony Wayne Jerome PHILLIPS-SPENCER (since 27 June 2016) |
| Diplomatic representation in the US: | chancery: 1708 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 467-6490 |
| Diplomatic representation in the US: | FAX: [1] (202) 785-3130 |
| Diplomatic representation in the US: | consulate(s) general: Miami, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires John W. MCINTYRE (since 20 January 2017) |
| Diplomatic representation from the US: | embassy: 15 Queen's Park West, Port of Spain |
| Diplomatic representation from the US: | mailing address: P. O. Box 752, Port of Spain |
| Diplomatic representation from the US: | telephone: [1] (868) 622-6371 through 6376 |
| Diplomatic representation from the US: | FAX: [1] (868) 822-5905 |
| Flag description: | red with a white-edged black diagonal band from the upper hoist side to the lower fly side; the colors represent the elements of earth, water, and fire; black stands for the wealth of the land and the dedication of the people; white symbolizes the sea surrounding the islands, the purity of the country's aspirations, and equality; red symbolizes the warmth and energy of the sun, the vitality of the land, and the courage and friendliness of its people |
| National symbol(s): | scarlet ibis (bird of Trinidad), cocrico (bird of Tobago), Chaconia flower; national colors: red, white, black |
| National anthem: | name: "Forged From the Love of Liberty" |
| National anthem: | lyrics/music: Patrick Stanislaus CASTAGNE |
| National anthem: | note: adopted 1962; song originally created to serve as an anthem for the West Indies Federation; adopted by Trinidad and Tobago following the Federation's dissolution in 1962 |
