| Government | Venezuela |
| Diplomatic representation in the US: | chancery: 1099 30th Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-2214 |
| Diplomatic representation in the US: | FAX: [1] (202) 342-6820 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Houston, Miami (administratively closed), New Orleans, New York, San Francisco, San Juan (Puerto Rico) |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires James M. DERHAM |
| Diplomatic representation from the US: | embassy: Calle F con Calle Suapure, Urbanizacion Colinas de Valle Arriba, Caracas 1080 |
| Diplomatic representation from the US: | mailing address: P. O. Box 62291, Caracas 1060-A; APO AA 34037 |
| Diplomatic representation from the US: | telephone: [58] (212) 975-6411, 907-8400 (after hours) |
| Diplomatic representation from the US: | FAX: [58] (212) 907-8199 |
| Flag description: | three equal horizontal bands of yellow (top), blue, and red with the coat of arms on the hoist side of the yellow band and an arc of eight white five-pointed stars centered in the blue band; the flag retains the three equal horizontal bands and three main colors of the banner of Gran Colombia, the South American republic that broke up in 1830; yellow is interpreted as standing for the riches of the land, blue for the courage of its people, and red for the blood shed in attaining independence; the seven stars on the original flag represented the seven provinces in Venezuela that united in the war of independence; in 2006, President Hugo CHAVEZ ordered an eighth star added to the star arc - a decision that sparked much controversy - to conform with the flag proclaimed by Simon Bolivar in 1827 and to represent the province of Guayana |
| National symbol(s): | troupial (bird) |
| National anthem: | name: "Gloria al bravo pueblo" (Glory to the Brave People) |
| National anthem: | lyrics/music: Vicente SALIAS/Juan Jose LANDAETA |
| National anthem: | note: adopted 1881; the lyrics were written in 1810, the music some years later; both SALIAS and LANDAETA were executed in 1814 during Venezuela's struggle for independence |
