| Government | Bosnia and Herzegovina |
| Legislative branch: | note: the Bosniak/Croat Federation has a bicameral legislature that consists of a House of Peoples (58 seats - 17 Bosniak, 17 Croat, 17 Serb, 7 other); last constituted May 2011 (next likely to be constituted in 2015); and a House of Representatives (98 seats; members elected by popular vote to serve four-year terms); elections last held on 3 October 2010 (next to be held in October 2014); percent of vote by party - SDP BiH 24.5%, SDA 20.2%, SBB BiH 11.9%, HDZ BiH 10.6%, SBiH 7.6%, NSRzB 4.7%, HDZ 1990/HSP BiH 4.7%, A-SDA 1.9%, DNZ 1.5%, SNSD .9%; seats by party/coalition - SDP BiH 28, SDA 23, SBB BiH 13, HDZ-BiH 12, SBiH 9, NSRzB 5, HDZ-1990/HSP BiH 5, DNZ 1, A-SDA 1, SNSD 1; the Republika Srpska has a National Assembly (83 seats; members elected by popular vote to serve four-year terms); elections last held on 3 October 2010 (next to be held in October 2014); percent of vote by party - SNSD 38%, SDS 19%, PDP 7.6%, DNS 6%, SPRS 4.2%, DP 3.4%, SDP BiH 3%, SDA 2.7%, SRS RS 2.4%, NDS 2.1%; seats by party/coalition - SNSD 37, SDS 18, PDP 7, DNS 6, SPRS 4, DP 3, SDP BiH 3, SDA 2, NDS 2, SRS-RS 1; as a result of the 2002 constitutional reform process, a 28-member Republika Srpska Council of Peoples (COP) was established in the Republika Srpska National Assembly including 8 Croats, 8 Bosniaks, 8 Serbs, and 4 members of the smaller communities |
| Judicial branch: | highest court(s): BiH Constitutional Court (consists of 9 members); Court of BiH (consists of 44 national judges and 7 international judges organized into three divisions - Administrative, Appellate, and Criminal, which includes a War Crimes Chamber) |
| Judicial branch: | judge selection and term of office: BiH Constitutional Court judges - 4 selected by the Bosniak/Croat Federation's House of Representatives, 2 selected by the Republika Srpska's National Assembly, and 3 non-Bosnian judges selected by the president of the European Court of Human Rights; Court of BiH president and national judges appointed by the High Judicial and Prosecutorial Council; Court of BiH president appointed for renewable 6-year term; other national judges appointed to serve until age 70; international judges recommended by the president of the Court of BiH and appointed by the High Representative for Bosnia and Herzegovina; international judges appointed to serve until age 70 |
| Judicial branch: | subordinate courts: the Federation has 10 cantonal courts plus a number of municipal courts; the Republika Srpska has a supreme court, 5 district courts, and a number of municipal courts |
| Political parties and leaders: | Activist Democratic Party or A-SDA |
| Political parties and leaders: | Alliance for a Better Future of BiH or SBB BiH [Fahrudin RADONCIC] |
| Political parties and leaders: | Alliance of Independent Social Democrats or SNSD [Milorad DODIK] |
| Political parties and leaders: | Bosnian Party or BOSS [Mirnes AJANOVIC] |
| Political parties and leaders: | Bosnian Patriotic Party or BPS [Sefer HALILOVIC] |
| Political parties and leaders: | Civic Democratic Party or GDS [Ibrahim SPAHIC] |
| Political parties and leaders: | Croat Peasants' Party-New Croat Initiative or HSS-NHI [Ante COLAK] |
| Political parties and leaders: | Croatian Christian Democratic Union of Bosnia and Herzegovina or HKDU [Ivan MUSA] |
| Political parties and leaders: | Croatian Democratic Union of Bosnia and Herzegovina or HDZ-BiH [Dragan COVIC] |
| Political parties and leaders: | Croatian Democratic Union 1990 or HDZ-1990 [Martin RAGUZ] |
| Political parties and leaders: | Croatian Party of Rights of Bosnia and Herzegovina or HSP BiH [Zvonko JURISIC] |
| Political parties and leaders: | Democratic National Union or DNZ [Rifat DOLIC] |
| Political parties and leaders: | Democratic Peoples' Alliance or DNS [Marko PAVIC] |
| Political parties and leaders: | Liberal Democratic Party or LDS [Amir HUSARIC] |
| Political parties and leaders: | Nasa Stranka or NS [Denis GRATZ] |
| Political parties and leaders: | National Democratic Party or NDS |
| Political parties and leaders: | New Socialist Party or NSP [Zdravko KRSMANOVIC] |
| Political parties and leaders: | Party for Bosnia and Herzegovina or SBiH [Amer JERLAGIC] |
| Political parties and leaders: | Party of Democratic Action or SDA [Sulejman TIHIC] |
| Political parties and leaders: | Party of Democratic Progress or PDP [Mladen IVANIC] |
| Political parties and leaders: | Party of Justice and Trust or SPP [Zivko BUDIMIR] |
| Political parties and leaders: | People's Democratic Movement or NDP [Dragan CAVIC and Krsto JANDRIC] (unification of the Democratic Party or DP and the People's Democratic Party or NDS) |
| Political parties and leaders: | 'People's' Party of Work for Progress or NSRzB [Mladen IVANKOVIC-LIJANOVIC] |
| Political parties and leaders: | Serb Democratic Party or SDS [Mladen BOSIC] |
| Political parties and leaders: | Serb Radical Party of the Republika Srpska or SRS-RS [Milanko MIHAJLICA] |
| Political parties and leaders: | Serb Radical Party-Dr. Vojislav Seselj or SRS-VS [Dejan SANTIC] |
| Political parties and leaders: | Social Democratic Party of BiH or SDP BiH [Zlatko LAGUMDZIJA] |
| Political parties and leaders: | Social Democratic Union or SDU [Miro LAZOVIC] |
| Political parties and leaders: | Socialist Party of Republika Srpska or SPRS [Petar DJOKIC] |
| Political pressure groups and leaders: | other: war veterans; displaced persons associations; family associations of missing persons; private media |
| International organization participation: | BIS, CD, CE, CEI, EAPC, EBRD, FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NAM (observer), OAS (observer), OIC (observer), OIF (observer), OPCW, OSCE, PFP, SELEC, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Jadranka NEGODIC (since 19 July 2012) |
| Diplomatic representation in the US: | chancery: 2109 E Street NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 337-1500 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-1502 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires ad interim Nicholas M. HILL (since 24 August 2013) |
| Diplomatic representation from the US: | embassy: 1 Robert C. Frasure Street, 71000 Sarajevo |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [387] (33) 704-000 |
| Diplomatic representation from the US: | FAX: [387] (33) 659-722 |
| Diplomatic representation from the US: | branch office(s): Banja Luka, Mostar |
| Flag description: | a wide medium blue vertical band on the fly side with a yellow isosceles triangle abutting the band and the top of the flag; the remainder of the flag is medium blue with seven full five-pointed white stars and two half stars top and bottom along the hypotenuse of the triangle; the triangle approximates the shape of the country and its three points stand for the constituent peoples - Bosniaks, Croats, and Serbs; the stars represent Europe and are meant to be continuous (thus the half stars at top and bottom); the colors (white, blue, and yellow) are often associated with neutrality and peace, and traditionally are linked with Bosnia |
| National symbol(s): | golden lily |
| National anthem: | name: "Drzavna himna Bosne i Hercegovine" (The National Anthem of Bosnia and Herzegovina) |
| National anthem: | lyrics/music: Dusan SESTIC and Benjamin ISOVIC/Dusan SESTIC |
| National anthem: | note: music adopted 1999; lyrics adopted 2009 |
