| Government |
| Legislative branch: | note: the Bosniak/Croat Federation has a bicameral legislature that consists of a House of Representatives (140 seats; members elected by popular vote to serve four-year terms); elections last held 11 November 2000 (next to be held NA 2002); percent of vote by party - NA%; seats by party/coalition - SDA 38, SDP 37, HDZ-BiH 25, SBH 21, DNZ 3, NHI 2, BPS 2, DPS 2, BOSS 2, GDS 1, RP 1, HSS 1, LDS 1, Pensioners' Party of FBiH 1, SNSD-DSP 1, HKDU 1, HSP 1; and a House of Peoples (74 seats - 30 Bosniak, 30 Croat, and 14 others); last constituted November 2000; the Republika Srpska has a National Assembly (83 seats; members elected by popular vote to serve four-year terms); elections last held 11 November 2000 (next to be held NA 2002); percent of vote by party - NA%; seats by party/coalition - SDS 31, PDP 11, SNSD 11, SDA 6, DSP 4, SDP 4, SPRS 4, SBH 4, DNS 3, SNS 2, NHI 1, DSRS 1, Pensioners' Party 1; as of 1 January 2001, Bosnia and Herzegovina does not have a permanent election law; a draft law specifies four-year terms for the state and first-order administrative division entity legislatures; officials elected in 2000 were elected to two-year terms on the presumption that a permanent law would be in place before 2002 |
| Judicial branch: BiH Constitutional Court (consists of nine members: | four members are selected by the Bosniak/Croat Federation's House of Representatives, two members by the Republika Srpska's National Assembly, and three non-Bosnian members by the president of the European Court of Human Rights) |
| Judicial branch: BiH Constitutional Court (consists of nine members: | note: a new state court, established in November 1999, has jurisdiction over cases related to state-level law and appellate jurisdiction over cases initiated in the entities; the entities each have a Supreme Court; each entity also has a number of lower courts; there are ten cantonal courts in the Federation, plus a number of municipal courts; the Republika Srpska has five municipal courts |
| Political parties and leaders: | Bosnian Party or BOSS [Mirnes AJANOVIC]; Bosnian Patriotic Party or BPS [Sefer HALILOVIC]; Civic Democratic Party of BiH or GDS [Ibrahim SPAHIC]; Croat Christian Democratic Union or HKDU BiH [Ante PASALIC]; Croatian Democratic Union of BiH or HDZ-BiH [leader vacant]; Croatian Party of Rights or HSP [Zdravko HRSTIC]; Croatian Peasants Party of BiH or HSS-BiH [Ilija SIMIC]; Democratic Action Party or SDA [Alija IZETBEGOVIC]; Democratic National Alliance or DNS [Dragan KOSTIC]; Democratic Party of Pensioners or DPS [Alojz KNEZOVIC]; Democratic Party of RS or DSRS [Dragomir DUMIC]; Democratic Peoples Union or DNZ [Fikret ABDIC]; Democratic Socialist Party or DSP [Nebojsa RADMANOVIC]; Liberal Democratic Party or LDS [Rasim KADIC]; New Croatian Initiative or NHI [Kresimir ZUBAK]; Party for Bosnia and Herzegovina or SBH [Haris SILAJDZIC]; Party of Democratic Progress or PDP [Mladen IVANIC]; Party of Independent Social Democrats or SNSD [Milorad DODIK]; Pensioners' Party of FBiH [Husein VOJNIKOVIC]; Pensioners' Party of SR [Stojan BOGOSAVAC]; Republican Party of BiH or RP [Stjepan KLJUIC]; Serb Democratic Party or Serb Lands or SDS [Dragan KALINIC]; Serb National Alliance (Serb People's Alliance) or SNS [Biljana PLAVSIC]; Social Democratic Party BIH or SDP-BiH [Zlatko LAGUMDZIJA]; Socialist Party of Republika Srpska or SPRS [Zivko RADISIC] |
| Political pressure groups and leaders: | NA |
| International organization participation: | BIS, CE (guest), CEI, EBRD, ECE, FAO, G-77, IAEA, IBRD, ICAO, IDA, IFAD, IFC, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, NAM (guest), OAS (observer), OIC (observer), OPCW, OSCE, UN, UNCTAD, UNESCO, UNIDO, UNMEE, UNTAET, UPU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Igor DAVIDOVIC |
| Diplomatic representation in the US: | chancery: 2109 E Street NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 337-1500 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-1502 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Thomas J. MILLER |
| Diplomatic representation from the US: | embassy: Alipasina 43, 71000 Sarajevo |
| Diplomatic representation from the US: | mailing address: use street address |
| Diplomatic representation from the US: | telephone: [387] (33) 445-700 |
| Diplomatic representation from the US: | FAX: [387] (33) 659-722 |
| Diplomatic representation from the US: | branch office(s): Banja Luka, Mostar |
| Flag description: | a wide medium blue vertical band on the fly side with a yellow isosceles triangle abutting the band and the top of the flag; the remainder of the flag is medium blue with seven full five-pointed white stars and two half stars top and bottom along the hypotenuse of the triangle |
| Government - note: | The Dayton Agreement, signed in Paris on 14 December 1995, retained Bosnia and Herzegovina's exterior border and created a joint multi-ethnic and democratic government. This national government - based on proportional representation similar to that which existed in the former socialist regime - is charged with conducting foreign, economic, and fiscal policy. The Dayton Agreement also recognized a second tier of government, comprised of two entities - a joint Bosniak/Croat Federation of Bosnia and Herzegovina and the Bosnian Serb Republika Srpska (RS) - each presiding over roughly one-half the territory. The Federation and RS governments are charged with overseeing internal functions. The Dayton Agreement established the Office of the High Representative (OHR) to oversee the implementation of the civilian aspects of the agreement. About 250 international and 450 local staff members are employed by the OHR. |
