| Government | Bangladesh |
| Political parties and leaders: | Jatiya Party or JP (Ershad faction) [Hussain Mohammad ERSHAD] |
| Political parties and leaders: | Jatiya Party or JP (Manju faction) [Anwar Hossain MANJU] |
| Political parties and leaders: | Liberal Democratic Party or LDP [Oli AHMED] |
| Political parties and leaders: | National Socialist Party or JSD [KHALEQUZZAMAN] |
| Political parties and leaders: | Workers Party or WP [Rashed Khan MENON] |
| International organization participation: | ADB, ARF, BIMSTEC, C, CD, CICA (observer), CP, D-8, FAO, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSMA, MONUSCO, NAM, OIC, OPCW, PCA, SAARC, SACEP, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mohammad ZIAUDDIN (since 18 September 2014) |
| Diplomatic representation in the US: | chancery: 3510 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-0183 |
| Diplomatic representation in the US: | FAX: [1] (202) 244-2771 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Earl Robert MILLER (since 29 November 2018) |
| Diplomatic representation from the US: | telephone: [880] (2) 5566-2000 |
| Diplomatic representation from the US: | embassy: Madani Avenue, Baridhara, Dhaka 1212 |
| Diplomatic representation from the US: | mailing address: G. P. O. Box 323, Dhaka 1000 |
| Diplomatic representation from the US: | FAX: [880] (2) 5566-2915 |
| Flag description: | green field with a large red disk shifted slightly to the hoist side of center; the red disk represents the rising sun and the sacrifice to achieve independence; the green field symbolizes the lush vegetation of Bangladesh |
| National symbol(s): | Bengal tiger, water lily; national colors: green, red |
| National anthem: | name: "Amar Shonar Bangla" (My Golden Bengal) |
| National anthem: | lyrics/music: Rabindranath TAGORE |
| National anthem: | note: adopted 1971; Rabindranath TAGORE, a Nobel laureate, also wrote India's national anthem |
