| Government | BANGLADESH |
| Political parties and leaders: | Liberal Democratic Party or LDP [Oli AHMED] |
| Political parties and leaders: | National Socialist Party or JSD [KHALEQUZZAMAN] |
| Political parties and leaders: | Workers Party or WP [Rashed Khan MENON] |
| Political pressure groups and leaders: | Ain o Salish Kendro (Centre for Law and Mediation) or ASK (legal aid and civil rights) |
| Political pressure groups and leaders: | Bangladesh Center for Worker Solidarity |
| Political pressure groups and leaders: | Bangladesh Rural Advancement Committee or BRAC |
| Political pressure groups and leaders: | Federation of Bangladesh Chambers of Commerce and Industry |
| Political pressure groups and leaders: | Ministry of Women's and Children's Affairs or MoWCA (advocacy group to end gender-based violence) |
| Political pressure groups and leaders: | Odikhar (human rights group) |
| Political pressure groups and leaders: | other: associations of madrassa teachers; business associations, including those intended to promote international trade; development and advocacy NGOs associated with the Grameen Bank; environmentalists; Islamist groups; labor rights advocacy groups; NGOs focused on poverty alleviation, and international trade; religious leaders; tribal groups and advocacy organizations; union leaders |
| International organization participation: | ADB, ARF, BIMSTEC, C, CD, CICA (observer), CP, D-8, FAO, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSMA, MONUSCO, NAM, OIC, OPCW, PCA, SAARC, SACEP, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mohammad ZIAUDDIN (since 18 September 2014) |
| Diplomatic representation in the US: | chancery: 3510 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-0183 |
| Diplomatic representation in the US: | FAX: [1] (202) 244-2771 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Marcia BERNICAT (since 12 January 2015) |
| Diplomatic representation from the US: | embassy: Madani Avenue, Baridhara, Dhaka 1212 |
| Diplomatic representation from the US: | mailing address: G. P. O. Box 323, Dhaka 1000 |
| Diplomatic representation from the US: | telephone: [880] (2) 5566-2000 |
| Diplomatic representation from the US: | FAX: [880] (2) 5566-2915 |
| Flag description: | green field with a large red disk shifted slightly to the hoist side of center; the red disk represents the rising sun and the sacrifice to achieve independence; the green field symbolizes the lush vegetation of Bangladesh |
| National symbol(s): | Bengal tiger, water lily; national colors: green, red |
| National anthem: | name: "Amar Shonar Bangla" (My Golden Bengal) |
| National anthem: | lyrics/music: Rabindranath TAGORE |
| National anthem: | note: adopted 1971; Rabindranath TAGORE, a Nobel laureate, also wrote India's national anthem |
