| Government | LIBERIA |
| Political parties and leaders: | National Patriotic Party or NPP |
| Political parties and leaders: | National Reformist Party or NRP [Maximillian T. W. DIABE] |
| Political parties and leaders: | National Union for Democratic Progress or NUDP [Victor BARNEY] |
| Political parties and leaders: | People's Unification Party [Isobe GBORKORKOLLIE] |
| Political parties and leaders: | Unity Party or UP [Varney SHERMAN] |
| Political pressure groups and leaders: | other: demobilized former military officers |
| International organization participation: | ACP, AfDB, AU, ECOWAS, EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, ISO (correspondent), ITU, ITUC (NGOs), MIGA, MINUSMA, NAM, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Jeremiah Congbeh SULUNTEH (since 25 April 2012) |
| Diplomatic representation in the US: | chancery: 5201 16th Street NW, Washington, DC 20011 |
| Diplomatic representation in the US: | telephone: [1] (202) 723-0437 |
| Diplomatic representation in the US: | FAX: [1] (202) 723-0436 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Deborah R. MALAC (since 26 July 2012) |
| Diplomatic representation from the US: | embassy: U.S. Embassy, P.O. Box 98, 502 Benson Street, Monrovia |
| Diplomatic representation from the US: | mailing address: P.O. Box 98, Monrovia |
| Diplomatic representation from the US: | telephone: [231] 77-677-7000 |
| Diplomatic representation from the US: | FAX: [231] 77-677-7370 |
| Flag description: | 11 equal horizontal stripes of red (top and bottom) alternating with white; a white five-pointed star appears on a blue square in the upper hoist-side corner; the stripes symbolize the signatories of the Liberian Declaration of Independence; the blue square represents the African mainland, and the star represents the freedom granted to the ex-slaves; according to the constitution, the blue color signifies liberty, justice, and fidelity, the white color purity, cleanliness, and guilelessness, and the red color steadfastness, valor, and fervor |
| Flag description: | note: the design is based on the US flag |
| National symbol(s): | white star; national colors: red, white, blue |
| National anthem: | name: "All Hail, Liberia Hail!" |
| National anthem: | lyrics/music: Daniel Bashiel WARNER/Olmstead LUCA |
| National anthem: | note: lyrics adopted 1847, music adopted 1860; the anthem's author later became the third president of Liberia |
