| Government | Iran |
| Executive branch: | election results: Mahmud AHMADI-NEJAD elected president; percent of vote - Mahmud AHMADI-NEJAD 62%, Ali Akbar Hashemi-RAFSANJANI 36% |
| Legislative branch: | unicameral Islamic Consultative Assembly or Majles-e-Shura-ye-Eslami or Majles (290 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 20 February 2004 with a runoff held 7 May 2004 (next to be held in February 2008) |
| Legislative branch: | election results: percent of vote - NA; seats by party - conservatives/Islamists 190, reformers 50, independents 43, religious minorities 5, and 2 seats unaccounted for |
| Judicial branch: | The Supreme Court and the four-member High Council of the Judiciary have a single head and overlapping responsibilities; together they supervise the enforcement of all laws and establish judicial and legal policies; lower courts include a special clerical court, a revolutionary court, and a special administrative court |
| Political parties and leaders: | formal political parties are a relatively new phenomenon in Iran and most conservatives still prefer to work through political pressure groups rather than parties, and often political parties or groups are formed prior to elections and disbanded soon thereafter; a loose pro-reform coalition called the 2nd Khordad Front, which includes political parties as well as less formal pressure groups and organizations, achieved considerable success at elections to the sixth Majles in early 2000; groups in the coalition include: Islamic Iran Participation Front (IIPF), Executives of Construction Party (Kargozaran), Solidarity Party, Islamic Labor Party, Mardom Salari, Mojahedin of the Islamic Revolution Organization (MIRO), and Militant Clerics Society (Ruhaniyun); the coalition participated in the seventh Majles elections in early 2004; following his defeat in the 2005 presidential elections, former MCS Secretary General Mehdi KARUBI formed the National Trust Party; a new apparently conservative group, the Builders of Islamic Iran, took a leading position in the new Majles after winning a majority of the seats in February 2004 |
| Political pressure groups and leaders: | the Islamic Revolutionary Party (IRP) was Iran's sole political party until its dissolution in 1987; Iran now has a variety of groups engaged in political activity; some are oriented along political lines or based on an identity group; others are more akin to professional political parties seeking members and recommending candidates for office; some are active participants in the Revolution's political life while others reject the state; political pressure groups conduct most of Iran's political activities; groups that generally support the Islamic Republic include Ansar-e Hizballah, Muslim Students Following the Line of the Imam, Tehran Militant Clergy Association (Ruhaniyat), Islamic Coalition Party (Motalefeh), and Islamic Engineers Society; active pro-reform student groups include the Office of Strengthening Unity (OSU); opposition groups include Freedom Movement of Iran, the National Front, Marz-e Por Gohar, and various ethnic and Monarchist organizations; armed political groups that have been repressed by the government include Mujahidin-e Khalq Organization (MEK or MKO), People's Fedayeen, Democratic Party of Iranian Kurdistan (KDPI), and Komala |
| International organization participation: | ABEDA, CP, ECO, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, MIGA, NAM, OIC, OPCW, OPEC, PCA, SCO (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMEE, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | none; note - Iran has an Interests Section in the Pakistani Embassy; address: Iranian Interests Section, Pakistani Embassy, 2209 Wisconsin Avenue NW, Washington, DC 20007; telephone: [1] (202) 965-4990; FAX [1] (202) 965-1073 |
| Diplomatic representation from the US: | none; note - the American Interests Section is located in the Swiss Embassy compound at Africa Avenue, West Farzan Street, number 59, Tehran, Iran; telephone 021 8878 2964 or 021 8879 2364; FAX 021 8877 3265 |
| Flag description: | three equal horizontal bands of green (top), white, and red; the national emblem (a stylized representation of the word Allah in the shape of a tulip, a symbol of martyrdom) in red is centered in the white band; ALLAH AKBAR (God is Great) in white Arabic script is repeated 11 times along the bottom edge of the green band and 11 times along the top edge of the red band |
