| Government | IRAN |
| Judicial branch: | judge selection and term of office: Supreme Court president appointed by the head of the Supreme Judicial Council in consultation with judges of the Supreme Court; president appointed for a 5-year term; other judge appointments and tenure NA |
| Judicial branch: | subordinate courts: Penal Courts I and II; Islamic Revolutionary Courts; Courts of Peace; Special Clerical Court (functions outside the judicial system and handles cases involving clerics); military courts |
| Political parties and leaders: | note: formal political parties are a relatively new phenomenon in Iran and most conservatives still prefer to work through political pressure groups rather than parties; often political parties or coalitions are formed prior to elections and disbanded soon thereafter; a loose pro-reform coalition called the 2nd Khordad Front, which includes political parties as well as less formal groups and organizations, achieved considerable success in elections for the sixth Majles in early 2000; groups in the coalition included the Islamic Iran Participation Front (IIPF), Executives of Construction Party (Kargozaran), Solidarity Party, Islamic Labor Party, Mardom Salari, Mojahedin of the Islamic Revolution Organization (MIRO), and Militant Clerics Society (MCS; Ruhaniyun); the coalition participated in the seventh Majles elections in early 2004 but boycotted them after 80 incumbent reformists were disqualified; following his defeat in the 2005 presidential elections, former MCS Secretary General and sixth Majles Speaker Mehdi KARUBI formed the National Trust Party; a new conservative group, Islamic Iran Developers Coalition (Abadgaran), took a leading position in the new Majles after winning a majority of the seats in February 2004; ahead of the 2008 Majles elections, traditional and hardline conservatives attempted to close ranks under the United Front of Principlists and the Broad Popular Coalition of Principlists; several reformist groups, such as the MIRO and the IIPF, also came together as a reformist coalition in advance of the 2008 Majles elections; the IIPF has repeatedly complained that the overwhelming majority of its candidates were unfairly disqualified from the 2008 elections |
| Political pressure groups and leaders: | groups that generally support the Islamic Republic: |
| Political pressure groups and leaders: | Ansar-e Hizballah |
| Political pressure groups and leaders: | Followers of the Line of the Imam and the Leader |
| Political pressure groups and leaders: | Islamic Coalition Party (Motalefeh) |
| Political pressure groups and leaders: | Islamic Engineers Society |
| Political pressure groups and leaders: | Tehran Militant Clergy Association or MCA (Ruhaniyat) |
| active pro-reform student group: | Office of Strengthening Unity or OSU |
| opposition groups: | Freedom Movement of Iran |
| opposition groups: | Green Path movement [Mehdi KARUBI, Mir-Hosein MUSAVI] |
| opposition groups: | Marz-e Por Gohar |
| opposition groups: | National Front |
| opposition groups: | various ethnic and monarchist organizations |
| armed political groups repressed by the government: | Democratic Party of Iranian Kurdistan or KDPI |
| armed political groups repressed by the government: | Harekat-e Ansar-e Iran (splinter faction of Jundallah) |
| armed political groups repressed by the government: | Jaysh l-Adl (formerly known as Jundallah) |
| armed political groups repressed by the government: | Komala |
| armed political groups repressed by the government: | Mojahedin-e Khalq Organization or MEK (MKO) |
| armed political groups repressed by the government: | People's Fedayeen |
| armed political groups repressed by the government: | People's Free Life Party of Kurdistan or PJAK |
| International organization participation: | CICA, CP, D-8, ECO, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, MIGA, NAM, OIC, OPCW, OPEC, PCA, SAARC (observer), SCO (observer), UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | none; note - Iran has an Interests Section in the Pakistani Embassy; address: Iranian Interests Section, Pakistani Embassy, 2209 Wisconsin Avenue NW, Washington, DC 20007; telephone: [1] (202) 965-4990; FAX [1] (202) 965-1073 |
| Diplomatic representation from the US: | none; note - the US Interests Section is located in the Embassy of Switzerland No. 39 Shahid Mousavi (Golestan 5th), Pasdaran Ave., Tehran, Iran; telephone [98] 21 2254 2178/2256 5273; FAX [98] 21 2258 0432 |
| Flag description: | three equal horizontal bands of green (top), white, and red; the national emblem (a stylized representation of the word Allah in the shape of a tulip, a symbol of martyrdom) in red is centered in the white band; ALLAH AKBAR (God is Great) in white Arabic script is repeated 11 times along the bottom edge of the green band and 11 times along the top edge of the red band; green is the color of Islam and also represents growth, white symbolizes honesty and peace, red stands for bravery and martyrdom |
| National symbol(s): | lion; national colors: green, white, red |
| National anthem: | name: "Soroud-e Melli-ye Jomhouri-ye Eslami-ye Iran" (National Anthem of the Islamic Republic of Iran) |
| National anthem: | lyrics/music: multiple authors/Hassan RIAHI |
| National anthem: | note: adopted 1990 |
