| Government | Senegal |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president of the republic upon recommendation of the Superior Council of the Magistrates, a body chaired by the president and minister of justice; judge tenure varies, with mandatory retirement either at 65 or 68 years; Constitutional Council members appointed - 5 by the president and 2 by the National Assembly speaker; judges serve 6-year terms, with renewal of 2 members every 2 years |
| Judicial branch: | subordinate courts: High Court of Justice (for crimes of high treason by the president); Courts of Appeal; Court of Auditors; assize courts; regional and district courts; Labor Court |
| Political parties and leaders: | Alliance for the Republic-Yakaar or APR-Yakaar [Macky SALL] |
| Political parties and leaders: | Alliance of Forces of Progress or AFP [Moustapha NIASSE] |
| Political parties and leaders: | Alliance for Citizenship and Labor or ACT [Abdoul MBAYE] |
| Political parties and leaders: | And-Jef/African Party for Democracy and Socialism or AJ/PADS [Mamadou DIOP Decriox] |
| Political parties and leaders: | Benno Bokk Yakaar or BBY (United in Hope) [Macky SALL] (coalition includes AFP, APR, BGC, LD-MPT, PIT, PS, and UNP) |
| Political parties and leaders: | Bokk Gis Gis coalition [Pape DIOP] |
| Political parties and leaders: | Citizen Movement for National Reform or MCRN-Bes Du Nakk [Mansour Sy DJAMIL] |
| Political parties and leaders: | Democratic League-Labor Party Movement or LD-MPT [Abdoulaye BATHILY] |
| Political parties and leaders: | Dare the Future movement [Aissata Tall SALL] |
| Political parties and leaders: | Front for Socialism and Democracy/Benno Jubel or FSD/BJ [Cheikh Abdoulaye Bamba DIEYE] |
| Political parties and leaders: | Gainde Centrist Bloc or BGC [Jean-Paul DIAS] |
| Political parties and leaders: | General Alliance for the Interests of the Republic or AGIR [Thierno BOCOUM] |
| Political parties and leaders: | Grand Party or GP [Malick GAKOU] |
| Political parties and leaders: | Independence and Labor Party or PIT [Magatte THIAM] |
| Political parties and leaders: | Madicke 2019 coalition [Madicke NIANG] |
| Political parties and leaders: | National Union for the People or UNP [Souleymane Ndene NDIAYE] |
| Political parties and leaders: | Only Senegal movement [Pierre Goudiaby ATEPA] |
| Political parties and leaders: | Party for Truth and Development or PVD [Cheikh Ahmadou Kara MBAKE] |
| Political parties and leaders: | Party of Unity and Rally or PUR [El Hadji SALL] |
| Political parties and leaders: | Patriotic Convergence Kaddu Askan Wi or CP-Kaddu Askan Wi [Abdoulaye BALDE] |
| Political parties and leaders: | Patriots of Senegal for Ethics, Work and Fraternity or (PASTEF) [Ousmane SONKO] |
| Political parties and leaders: | Rewmi Party [Idrissa SECK] |
| Political parties and leaders: | Senegalese Democratic Party or PDS [Abdoulaye WADE] |
| Political parties and leaders: | Socialist Party or PS [Ousmane Tanor DIENG] |
| Political parties and leaders: | Tekki Movement [Mamadou Lamine DIALLO] |
| International organization participation: | ACP, AfDB, AU, CD, CPLP (associate), ECOWAS, EITI (candidate country), FAO, FZ, G-15, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, MONUSCO, NAM, OIC, OIF, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Momar DIOP (since 22 June 2018) |
| Diplomatic representation in the US: | chancery: 2215 M Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-0540 |
| Diplomatic representation in the US: | FAX: [1] (202) 629-2961 |
| Diplomatic representation in the US: | consulate(s) general: Houston, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Tulinabo S. MUSHINGI (since August 2017); note - also accredited to Guinea-Bissau |
| Diplomatic representation from the US: | telephone: [221] 33-879-4000 |
| Diplomatic representation from the US: | embassy: Route des Almadies, Dakar |
| Diplomatic representation from the US: | mailing address: B.P. 49, Dakar |
| Diplomatic representation from the US: | FAX: [221] 33-822-2991 |
| Flag description: | three equal vertical bands of green (hoist side), yellow, and red with a small green five-pointed star centered in the yellow band; green represents Islam, progress, and hope; yellow signifies natural wealth and progress; red symbolizes sacrifice and determination; the star denotes unity and hope |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; the colors from left to right are the same as those of neighboring Mali and the reverse of those on the flag of neighboring Guinea |
| National symbol(s): | lion; national colors: green, yellow, red |
| National anthem: | name: "Pincez Tous vos Koras, Frappez les Balafons" (Pluck Your Koras, Strike the Balafons) |
| National anthem: | lyrics/music: Leopold Sedar SENGHOR/Herbert PEPPER |
| National anthem: | note: adopted 1960; lyrics written by Leopold Sedar SENGHOR, Senegal's first president; the anthem sometimes played incorporating the Koras (harp-like stringed instruments) and Balafons (types of xylophones) mentioned in the title |
