| Government | SENEGAL |
| Judicial branch: | subordinate courts: High Court of Justice (for crime of high treason by the president); Courts of Appeal; Court of Auditors; assize courts (4); regional and district Courts, Labor Court |
| Political parties and leaders: | Alliance for the Republic-Yakaar or APR-Yakaar [Macky SALL] |
| Political parties and leaders: | Alliance of Forces of Progress or AFP [Moustapha NIASSE] |
| Political parties and leaders: | And-Jef/African Party for Democracy and Socialism or AJ/PADS [Mamadou DIOP] |
| Political parties and leaders: | And-Jef/African Party for Democracy and Socialism or AJ/PADS-A [Landing SAVANE] |
| Political parties and leaders: | Bokk Gis Gis coalition [Pape DIOP] |
| Political parties and leaders: | Citizen Movement for National Reform or MCRN-Bes Du Nakk |
| Political parties and leaders: | Democratic League-Labor Party Movement or LD-MPT [Mamadou NDOYE] |
| Political parties and leaders: | Front for Socialism and Democracy/Benno Jubel or FSD/BJ [Cheikh Abdoulaye Bamba DIEYE] |
| Political parties and leaders: | Gainde Centrist Bloc or BGC [Jean-Paul DIAS] |
| Political parties and leaders: | Grand Party or GP [Malick GACKOU] |
| Political parties and leaders: | Independence and Labor Party or PIT [Magatte THIAM] |
| Political parties and leaders: | Jef-Jel [Talla SYLLA] |
| Political parties and leaders: | National Democratic Rally or RND [Madior DIOUF] |
| Political parties and leaders: | Party for Truth and Development or PVD [Cheikh Ahmadou Kara MBAKE] |
| Political parties and leaders: | People's Labor Party or PTP [El Hadji DIOUF] |
| Political parties and leaders: | Reform Party or PR [Abdourahim AGNE] |
| Political parties and leaders: | Republican Movement for Socialism and Democracy or MRSD |
| Political parties and leaders: | Rewmi Party [Idrissa SECK] |
| Political parties and leaders: | Senegalese Democratic Party or PDS [Abdoulaye WADE] |
| Political parties and leaders: | Socialist Party or PS [Ousmane Tanor DIENG] |
| Political parties and leaders: | Union for Democratic Renewal or URD [Djibo Leyti KA] |
| Political pressure groups and leaders: | other: Catholic clergy; labor; religious groups; students; Sufi brotherhoods, including the Mourides and Tidjanes; teachers |
| International organization participation: | ACP, AfDB, AU, CD, CPLP (associate), ECOWAS, EITI (candidate country), FAO, FZ, G-15, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, MONUSCO, NAM, OIC, OIF, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Babacar DIAGNE (since 18 November 2014) |
| Diplomatic representation in the US: | embassy: 2215 M Street, NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-0540 |
| Diplomatic representation in the US: | FAX: [1] (202) 629-2961 |
| Diplomatic representation in the US: | consulate(s) general: Houston, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador James P. ZUMWALT (since 9 January 2015); note - also accredited to Guinea-Bissau |
| Diplomatic representation from the US: | embassy: Route des Almadies, Dakar |
| Diplomatic representation from the US: | mailing address: B.P. 49, Dakar |
| Diplomatic representation from the US: | telephone: [221] 33-879-4000 |
| Diplomatic representation from the US: | FAX: [221] 33-822-2991 |
| Flag description: | three equal vertical bands of green (hoist side), yellow, and red with a small green five-pointed star centered in the yellow band; green represents Islam, progress, and hope; yellow signifies natural wealth and progress; red symbolizes sacrifice and determination; the star denotes unity and hope |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; the colors from left to right are the same as those of neighboring Mali and the reverse of those on the flag of neighboring Guinea |
| National symbol(s): | lion; national colors: green, yellow, red |
| National anthem: | name: "Pincez Tous vos Koras, Frappez les Balafons" (Pluck Your Koras, Strike the Balafons) |
| National anthem: | lyrics/music: Leopold Sedar SENGHOR/Herbert PEPPER |
| National anthem: | note: adopted 1960; lyrics written by Leopold Sedar SENGHOR, Senegal's first president; the anthem sometimes played incorporating the Koras (harp-like stringed instruments) and Balafons (types of xylophones) mentioned in the title |
