| Government | Senegal |
| Legislative branch: | elections: National Assembly - last held on 2 July 2017 (next to be held in July 2022) |
| Legislative branch: | election results: National Assembly results - percent of vote by party/coalition - BBK 49.5%, CGWS 16.7%, MTS 11.7%, PUR 4.7%, CP-Kaddu Askan Wi 2%, other 15.4%; seats by party/coalition - BBY 125, CGWS 19, MTS 7, PUR 3, CP-Kaddu Askan Wi 2, other 9 |
| Political parties and leaders: | Alliance for the Republic-Yakaar or APR-Yakaar [Macky SALL] |
| Political parties and leaders: | Alliance of Forces of Progress or AFP [Moustapha NIASSE] |
| Political parties and leaders: | And-Jef/African Party for Democracy and Socialism or AJ/PADS [Mamadou DIOP Decriox] |
| Political parties and leaders: | And-Jef/African Party for Democracy and Socialism or AJ/PADS-A [Landing SAVANE] |
| Political parties and leaders: | Benno Bokk Yakaar or BBY (United in Hope) [Macky SALL] (coalition includes AFP, APR, LD-MPT, PIT, PS, UNP) |
| Political parties and leaders: | Bokk Gis Gis coalition [Pape DIOP] |
| Political parties and leaders: | Citizen Movement for National Reform or MCRN-Bes Du Nakk [Mansour Sy DJAMIL] |
| Political parties and leaders: | Democratic League-Labor Party Movement or LD-MPT [Mamadou NDOYE] |
| Political parties and leaders: | Front for Socialism and Democracy/Benno Jubel or FSD/BJ [Cheikh Abdoulaye Bamba DIEYE] |
| Political parties and leaders: | Gainde Centrist Bloc or BGC [Jean-Paul DIAS] |
| Political parties and leaders: | Grand Party or GP [Malick GAKOU] |
| Political parties and leaders: | Independence and Labor Party or PIT [Magatte THIAM] |
| Political parties and leaders: | Manko Taxawu Senegaal or MTS [Khalifa SALL] (coalition includes BGC, Du Nakk, FSD/BJ, GP, MCRN/Bes, Rewmi) |
| Political parties and leaders: | National Union for the People or UNP [Souleymane Ndene NDIAYE] |
| Political parties and leaders: | Party for Truth and Development or PVD [Cheikh Ahmadou Kara MBAKE] |
| Political parties and leaders: | Party of Unity and Rally or PUR [El Hadji SALL] |
| Political parties and leaders: | Patriotic Convergence Kaddu Askan Wi or CP-Kaddu Askan Wi [Abdoulaye BALDE] |
| Political parties and leaders: | Reform Party or PR [Abdourahim AGNE] |
| Political parties and leaders: | Rewmi Party [Idrissa SECK] |
| Political parties and leaders: | Senegalese Democratic Party or PDS [Abdoulaye WADE] |
| Political parties and leaders: | Socialist Party or PS [Ousmane Tanor DIENG] |
| Political parties and leaders: | Tekki Movement [Mamadou Lamine DIALLO] |
| Political parties and leaders: | Union for Democratic Renewal or URD [Djibo Leyti KA] |
| Political parties and leaders: | Winning Coalition Wattu Senegal or CGWS [Abdoulaye WADE] (includes AJ/PADS, AJ/PADS-A, Bokk Gis Gis, PDS, Tekki Movement) |
| International organization participation: | ACP, AfDB, AU, CD, CPLP (associate), ECOWAS, EITI (candidate country), FAO, FZ, G-15, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, MONUSCO, NAM, OIC, OIF, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Momar DIOP (since 22 June 2018) |
| Diplomatic representation in the US: | chancery: 2215 M Street, NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-0540 |
| Diplomatic representation in the US: | FAX: [1] (202) 629-2961 |
| Diplomatic representation in the US: | consulate(s) general: Houston, New York |
| Diplomatic representation from the US: | chief of mission: ambassador Tulinabo S. MUSHINGI (since August 2017); note - also accredited to Guinea-Bissau |
| Diplomatic representation from the US: | embassy: Route des Almadies, Dakar |
| Diplomatic representation from the US: | mailing address: B.P. 49, Dakar |
| Diplomatic representation from the US: | telephone: [221] 33-879-4000 |
| Diplomatic representation from the US: | FAX: [221] 33-822-2991 |
| Flag description: | three equal vertical bands of green (hoist side), yellow, and red with a small green five-pointed star centered in the yellow band; green represents Islam, progress, and hope; yellow signifies natural wealth and progress; red symbolizes sacrifice and determination; the star denotes unity and hope |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; the colors from left to right are the same as those of neighboring Mali and the reverse of those on the flag of neighboring Guinea |
| National symbol(s): | lion; national colors: green, yellow, red |
| National anthem: | name: "Pincez Tous vos Koras, Frappez les Balafons" (Pluck Your Koras, Strike the Balafons) |
| National anthem: | lyrics/music: Leopold Sedar SENGHOR/Herbert PEPPER |
| National anthem: | note: adopted 1960; lyrics written by Leopold Sedar SENGHOR, Senegal's first president; the anthem sometimes played incorporating the Koras (harp-like stringed instruments) and Balafons (types of xylophones) mentioned in the title |
