| Government | Morocco |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Matthew LUSSENHOP (since July 2013) |
| Diplomatic representation from the US: | embassy: 2 Avenue de Mohamed El Fassi, Rabat |
| Diplomatic representation from the US: | mailing address: Unit 9400, Box 021, DPO AE 09718 |
| Diplomatic representation from the US: | telephone: [212] (537) 76 22 65 |
| Diplomatic representation from the US: | FAX: [212] (537) 76 56 61 |
| Diplomatic representation from the US: | consulate(s) general: Casablanca |
| Flag description: | red with a green pentacle (five-pointed, linear star) known as Sulayman's (Solomon's) seal in the center of the flag; red and green are traditional colors in Arab flags, although the use of red is more commonly associated with the Arab states of the Persian gulf; the pentacle represents the five pillars of Islam and signifies the association between God and the nation; design dates to 1912 |
| National symbol(s): | pentacle symbol; lion |
| National anthem: | name: "Hymne Cherifien" (Hymn of the Sharif) |
| National anthem: | lyrics/music: Ali Squalli HOUSSAINI/Leo MORGAN |
| National anthem: | note: music adopted 1956, lyrics adopted 1970 |
