| Government | MOROCCO |
| Diplomatic representation in the US: | telephone: [1] (202) 462-7980 |
| Diplomatic representation in the US: | FAX: [1] (202) 462-7643 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Dwight L. BUSH, Sr. (since 8 April 2014) |
| Diplomatic representation from the US: | embassy: Km 5.7 Avenue Mohammed VI, Souissi, Rabat |
| Diplomatic representation from the US: | mailing address: Unit 9400, Box Front Office, DPO, AE 09718 |
| Diplomatic representation from the US: | telephone: [212] 537 63 7777 |
| Diplomatic representation from the US: | FAX: [212] 537 63 7201 |
| Diplomatic representation from the US: | consulate(s) general: Casablanca |
| Flag description: | red with a green pentacle (five-pointed, linear star) known as Sulayman's (Solomon's) seal in the center of the flag; red and green are traditional colors in Arab flags, although the use of red is more commonly associated with the Arab states of the Persian Gulf; the pentacle represents the five pillars of Islam and signifies the association between God and the nation; design dates to 1912 |
| National symbol(s): | pentacle symbol, lion; national colors: red, green |
| National anthem: | name: "Hymne Cherifien" (Hymn of the Sharif) |
| National anthem: | lyrics/music: Ali Squalli HOUSSAINI/Leo MORGAN |
| National anthem: | note: music adopted 1956, lyrics adopted 1970 |
