| Government | Lithuania |
| Legislative branch: | election results: percent of vote by party - TS-LKD 22.6%, LVLS 22.5%, LSDP 15%, LS 9.5%, LCP-LPP 6.3%, LLRA 5.7%, TT 5.6%, DP 4.9%, LZP 2%, Lithuanian List 1.8%, other 4.1%; seats by party - LVLS 54, TS-LKD 31, LSDP 17, LS 14, LLRA 8, TT 8, DP 2, LCP-LPP 1, LZP 1, Lithuanian List 1, independent 4; composition - men 111, women 30, percent of women 21.3% |
| Political parties and leaders: | Electoral Action of Lithuanian Poles or LLRA [Valdemar TOMASEVSKI] |
| Political parties and leaders: | Homeland Union-Lithuanian Christian Democrats or TS-LKD [Gabrielius LANDSBERGIS] |
| Political parties and leaders: | Labor Party or DP [Viktor USPASKICH] |
| Political parties and leaders: | Liberal Movement or LS or LRLS (Eugenijus GENTVILAS) |
| Political parties and leaders: | Lithuanian Center Party or LCP [Naglis PUTEIKIS] |
| Political parties and leaders: | Lithuanian Green Party or LZP [Linas BALSYS] |
| Political parties and leaders: | Lithuanian People's Party or LPP [Rolandas PAULAUSKAS] |
| Political parties and leaders: | Lithuanian Social Democratic Party or LSDP [Gintautas PALUCKAS] |
| Political parties and leaders: | Lithuanian Social Democratic Labor Party [Gediminas KIRKILAS] |
| Political parties and leaders: | Order and Justice Party or TT [Remigijus ZEMAITAITIS] |
| Political parties and leaders: | Farmers and Greens Union or LVZS [Ramunas KARBAUSKIS] |
| Political parties and leaders: | Way of Courage or DK [Jonas VARKALA] |
| International organization participation: | Australia Group, BA, BIS, CBSS, CD, CE, EAPC, EBRD, ECB, EIB, EU, FAO, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, ITUC (NGOs), MIGA, NATO, NIB, NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, Schengen Convention, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Rolandas KRISCIUNAS (since 17 September 2015) |
| Diplomatic representation in the US: | chancery: 2622 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-5860 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-0466 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Anne HALL (since 7 October 2016) |
| Diplomatic representation from the US: | embassy: Akmenu gatve 6, Vilnius, LT-03106 |
| Diplomatic representation from the US: | mailing address: American Embassy, Akmenu Gatve 6, Vilnius LT-03106 |
| Diplomatic representation from the US: | telephone: [370] (5) 266-5500 |
| Diplomatic representation from the US: | FAX: [370] (5) 266-5510 |
| Flag description: | three equal horizontal bands of yellow (top), green, and red; yellow symbolizes golden fields, as well as the sun, light, and goodness; green represents the forests of the countryside, in addition to nature, freedom, and hope; red stands for courage and the blood spilled in defense of the homeland |
| National symbol(s): | mounted knight known as Vytis (the Chaser), white stork; national colors: yellow, green, red |
| National anthem: | name: "Tautiska giesme" (The National Song) |
| National anthem: | lyrics/music: Vincas KUDIRKA |
| National anthem: | note: adopted 1918, restored 1990; written in 1898 while Lithuania was a part of Russia; banned during the Soviet occupation from 1940 to 1990 |
