| Government | Brazil |
| Political parties and leaders: | Brazilian Democratic Movement Party or PMDB [Federal Deputy Michel TEMER]; Brazilian Labor Party or PTB [Federal Deputy Roberto JEFFERSON]; Brazilian Social Democracy Party or PSDB [Senator Eduardo AZAREDO]; Brazilian Socialist Party or PSB [Federal Deputy Miguel ARRAES]; Communist Party of Brazil or PCdoB [Renato RABELO]; Democratic Labor Party or PDT [Carlos LUPI]; Democratic Socialist Party or PSD [Pedro Miguel SANTANA LOPES]; Green Party or PV [Jose Luiz de Franca PENNA]; Liberal Front Party or PFL [Senator Jorge BORNHAUSEN]; Liberal Party or PL [Federal Deputy Valdemar COSTA Neto]; National Order Reconstruction Party or PRONA [Federal Deputy Dr. Eneas CARNEIRO]; Popular Socialist Party or PPS [Federal Deputy Roberto FREIRE]; Progressive Party or PP [Federal Deputy Pedro CORREA]; Social Christian Party or PSC [Vitor Jorge ABDALA NOSSEIS]; Worker's Party or PT [Jose GENOINO] |
| Political pressure groups and leaders: | Landless Worker's Movement; labor unions and federations; large farmers' associations; religious groups including evangelical christian churches and the Catholic Church |
| International organization participation: | AfDB, BIS, CSN, FAO, G-15, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, Mercosur, MIGA, MINUSTAH, NAM (observer), NSG, OAS, OPANAL, OPCW, PCA, RG, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMIK, UNMIL, UNMISET, UNMOVIC, UNOCI, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Roberto ABDENUR |
| Diplomatic representation in the US: | chancery: 3006 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 238-2700 |
| Diplomatic representation in the US: | FAX: [1] (202) 238-2827 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Houston, Los Angeles, Miami, New York, and San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador John DANILOVICH |
| Diplomatic representation from the US: | embassy: Avenida das Nacoes, Quadra 801, Lote 3, Distrito Federal Cep 70403-900, Brasilia |
| Diplomatic representation from the US: | mailing address: Unit 3500, APO AA 34030 |
| Diplomatic representation from the US: | telephone: [55] (61) 312-7000 |
| Diplomatic representation from the US: | FAX: [55] (61) 225-9136 |
| Diplomatic representation from the US: | consulate(s) general: Rio de Janeiro, Sao Paulo |
| Diplomatic representation from the US: | consulate(s): Recife |
| Flag description: | green with a large yellow diamond in the center bearing a blue celestial globe with 27 white five-pointed stars (one for each state and the Federal District) arranged in the same pattern as the night sky over Brazil; the globe has a white equatorial band with the motto ORDEM E PROGRESSO (Order and Progress) |
