| Government | Brazil |
| Judicial branch: | subordinate courts: Federal Appeals Court, Superior Court of Justice, Superior Electoral Court, regional federal courts; state court system |
| Political parties and leaders: | Brazilian Communist Party or PCB [Ivan Martins PINHEIRO] |
| Political parties and leaders: | Brazilian Democratic Movement Party or PMDB [Michel TEMER] |
| Political parties and leaders: | Brazilian Labor Party or PTB [Benito GAMA] |
| Political parties and leaders: | Brazilian Renewal Labor Party or PRTB [Jose Levy FIDELIX da Cruz] |
| Political parties and leaders: | Brazilian Republican Party or PRB [Marcos Antonio PEREIRA] |
| Political parties and leaders: | Brazilian Social Democracy Party or PSDB [Aecio NEVES] |
| Political parties and leaders: | Brazilian Socialist Party or PSB [Eduardo CAMPOS] |
| Political parties and leaders: | Christian Labor Party or PTC [Daniel TOURINHO] |
| Political parties and leaders: | Christian Social Democratic Party or PSDC [Jose Maria EYMAEL] |
| Political parties and leaders: | Communist Party of Brazil or PCdoB [Jose Renato RABELO] |
| Political parties and leaders: | Democratic Labor Party or PDT [Carlos Roberto LUPI] |
| Political parties and leaders: | the Democrats or DEM [Jose AGRIPINO] (formerly Liberal Front Party or PFL) |
| Political parties and leaders: | Free Homeland Party or PPL [Sergio RUBENS] |
| Political parties and leaders: | Green Party or PV [Jose Luiz PENNA] |
| Political parties and leaders: | Humanist Party of Solidarity or PHS [Eduardo MACHADO] |
| Political parties and leaders: | Labor Party of Brazil or PTdoB [Luis Henrique de Oliveira RESENDE] |
| Political parties and leaders: | National Ecologic Party or PEN [Adilson Barroso OLIVEIRA] |
| Political parties and leaders: | National Labor Party or PTN [Jose Masci de ABREU] |
| Political parties and leaders: | National Mobilization Party or PMN [Oscar Noronha FILHO] |
| Political parties and leaders: | Party of the Republic or PR [Alfredo NASCIMENTO] |
| Political parties and leaders: | Popular Socialist Party or PPS [Roberto Joao Pereira FREIRE] |
| Political parties and leaders: | Progressive Party or PP [Ciro NOGUEIRA] |
| Political parties and leaders: | Progressive Republican Party or PRP [Ovasco Roma Altimari RESENDE] |
| Political parties and leaders: | Social Christian Party or PSC [Vitor Jorge Abdala NOSSEIS] |
| Political parties and leaders: | Social Democratic Party or PSD [Gilberto KASSAB] |
| Political parties and leaders: | Social Liberal Party or PSL [Luciano Caldas BIVAR] |
| Political parties and leaders: | Socialism and Freedom Party or PSOL [Luiz ARAUJO] |
| Political parties and leaders: | United Socialist Workers' Party or PSTU [Jose Maria DE ALMEIDA] |
| Political parties and leaders: | Workers' Cause Party or PCO [Rui Costa PIMENTA] |
| Political parties and leaders: | Workers' Party or PT [Rui FALCAO] |
| Political pressure groups and leaders: | Landless Workers' Movement or MST |
| Political pressure groups and leaders: | other: industrial federations; labor unions and federations; large farmers' associations; religious groups including evangelical Christian churches and the Catholic Church |
| International organization participation: | AfDB (nonregional member), BIS, BRICS, CAN (associate), CD, CELAC, CPLP, FAO, FATF, G-15, G-20, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, LAIA, LAS (observer), Mercosur, MIGA, MINURSO, MINUSTAH, NAM (observer), NSG, OAS, OECD (Enhanced Engagement, OPANAL, OPCW, Paris Club (associate), PCA, SICA (observer), UN, UNASUR, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, Union Latina, UNISFA, UNITAR, UNMIL, UNMISS, UNMIT, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mauro Luiz Iecker VIEIRA (since 11 January 2010) |
| Diplomatic representation in the US: | chancery: 3006 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 238-2805 |
| Diplomatic representation in the US: | FAX: [1] (202) 238-2827 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Hartford (CT), Houston, Los Angeles, Miami, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Liliana AYALDE (since 1 August 2013) |
| Diplomatic representation from the US: | embassy: Avenida das Nacoes, Quadra 801, Lote 3, Distrito Federal Cep 70403-900, Brasilia |
| Diplomatic representation from the US: | mailing address: Unit 7500, DPO, AA 34030 |
| Diplomatic representation from the US: | telephone: [55] (61) 3312-7000 |
| Diplomatic representation from the US: | FAX: [55] (61) 3225-9136 |
| Diplomatic representation from the US: | consulate(s) general: Rio de Janeiro, Sao Paulo |
| Diplomatic representation from the US: | consulate(s): Recife |
| Flag description: | green with a large yellow diamond in the center bearing a blue celestial globe with 27 white five-pointed stars; the globe has a white equatorial band with the motto ORDEM E PROGRESSO (Order and Progress); the current flag was inspired by the banner of the former Empire of Brazil (1822-1889); on the imperial flag, the green represented the House of Braganza of Pedro I, the first Emperor of Brazil, while the yellow stood for the Habsburg Family of his wife; on the modern flag the green represents the forests of the country and the yellow rhombus its mineral wealth; the blue circle and stars, which replaced the coat of arms of the original flag, depict the sky over Rio de Janeiro on the morning of 15 November 1889 - the day the Republic of Brazil was declared; the number of stars has changed with the creation of new states and has risen from an original 21 to the current 27 (one for each state and the Federal District) |
| National symbol(s): | Southern Cross constellation |
| National anthem: | name: "Hino Nacional Brasileiro" (Brazilian National Anthem) |
| National anthem: | lyrics/music: Joaquim Osorio Duque ESTRADA/Francisco Manoel DA SILVA |
| National anthem: | note: music adopted 1890, lyrics adopted 1922; the anthem's music, composed in 1822, was used unofficially for many years before it was adopted |
