| Government | Brazil |
| Judicial branch: | Supreme Federal Tribunal or STF (11 ministers are appointed for life by the president and confirmed by the Senate); Higher Tribunal of Justice; Regional Federal Tribunals (judges are appointed for life); note - though appointed "for life," judges, like all federal employees, have a mandatory retirement age of 70 |
| Political parties and leaders: | Brazilian Democratic Movement Party or PMDB [Federal Deputy Michel TEMER]; Brazilian Labor Party or PTB [Roberto JEFFERSON]; Brazilian Renewal Labor Party or PRTB [Jose Levy FIDELIX da Cruz]; Brazilian Republican Party or PRB [Vitor Paulo Araujo DOS SANTOS]; Brazilian Social Democracy Party or PSDB [Senator Sergio GUERRA]; Brazilian Socialist Party or PSB [Governor Eduardo Henrique Accioly CAMPOS]; Christian Labor Party or PTC [Daniel TOURINHO]; Communist Party of Brazil or PCdoB [Jose Renato RABELO]; Democratic Labor Party or PDT [Carlos Roberto LUPI]; the Democrats or DEM (formerly Liberal Front Party or PFL) [Federal Deputy Rodrigo MAIA]; Freedom and Socialism Party or PSOL [Heloisa HELENA]; Green Party or PV [Jose Luiz de Franca PENNA]; Humanist Party of Solidarity or PHS [Paulo Roberto MATOS]; Labor Party of Brazil or PTdoB [Luis Henrique de Oliveira RESENDE]; Liberal Front Party or PFL (now known as the Democrats or DEM); National Mobilization Party or PMN [Oscar Noronha FILHO]; Party of the Republic or PR [Sergio TAMER]; Popular Socialist Party or PPS [Federal Deputy Fernando CORUJA]; Progressive Party or PP [Francisco DORNELLES]; Social Christian Party or PSC [Vitor Jorge Abdala NOSSEIS]; Workers' Party or PT [Ricardo Jose Ribeiro BERZOINI] |
| Political pressure groups and leaders: | Landless Workers' Movement or MST |
| Political pressure groups and leaders: | other: labor unions and federations; large farmers' associations; religious groups including evangelical Christian churches and the Catholic Church |
| International organization participation: | AfDB (nonregional member), BIS, CAN (associate), CPLP, FAO, G-15, G-20, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAES, LAIA, Mercosur, MIGA, MINURCAT, MINURSO, MINUSTAH, NAM (observer), NSG, OAS, OPANAL, OPCW, PCA, RG, SICA (observer), UN, UNASUR, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, Union Latina, UNITAR, UNMIL, UNMIS, UNMIT, UNOCI, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Antonio de Aguiar PATRIOTA |
| Diplomatic representation in the US: | chancery: 3006 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 238-2805 |
| Diplomatic representation in the US: | FAX: [1] (202) 238-2827 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Houston, Los Angeles, Miami, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Clifford M. SOBEL |
| Diplomatic representation from the US: | embassy: Avenida das Nacoes, Quadra 801, Lote 3, Distrito Federal Cep 70403-900, Brasilia |
| Diplomatic representation from the US: | mailing address: Unit 3500, APO AA 34030 |
| Diplomatic representation from the US: | telephone: [55] (61) 3312-7000 |
| Diplomatic representation from the US: | FAX: [55] (61) 3225-9136 |
| Diplomatic representation from the US: | consulate(s) general: Rio de Janeiro, Sao Paulo |
| Diplomatic representation from the US: | consulate(s): Recife |
| Flag description: | green with a large yellow diamond in the center bearing a blue celestial globe with 27 white five-pointed stars (one for each state and the Federal District) arranged in the same pattern as the night sky over Brazil; the globe has a white equatorial band with the motto ORDEM E PROGRESSO (Order and Progress) |
