| Government | BURKINA FASO |
| Political parties and leaders: | Union for Progress and Change or UPC [Zephirin DIABRE] |
| Political parties and leaders: | Union for Rebirth - Sankarist Movement or UNIR-MS [Benewende Stanislas SANKARA] |
| Political parties and leaders: | Union for the Republic or UPR [Toussaint Abel COULIBALY] |
| Political parties and leaders: | Union of Sankarist Parties or UPS [Ernest Nongma OUEDRAOGO] |
| Political pressure groups and leaders: | Burkinabe General Confederation of Labor or CGTB [Tole SAGNON] |
| Political pressure groups and leaders: | Burkinabe Movement for Human Rights or MBDHP [Chrysigone ZOUGMORE] |
| Political pressure groups and leaders: | Citizen's Resistance Front [Luc Marius IBRIGA] |
| Political pressure groups and leaders: | Group of 14 February [Benewende Stanislas SANKARA] |
| Political pressure groups and leaders: | National Confederation of Burkinabe Workers or CNTB [Laurent OUEDRAOGO] |
| Political pressure groups and leaders: | National Organization of Free Unions or ONSL [Paul KABORE] |
| Political pressure groups and leaders: | other: watchdog/political action groups throughout the country in both organizations and communities |
| International organization participation: | ACP, AfDB, AU, CD, ECOWAS, EITI (compliant country), Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, MONUSCO, NAM, OIC, OIF, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNISFA, UNITAR, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Seydou SINKA (since 1 November 2014) |
| Diplomatic representation in the US: | chancery: 2340 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-5577 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-1882 |
| Diplomatic representation from the US: | chief of mission: A mbassador Tulinabo Salama MUSHINGI (since 5 August 2013) |
| Diplomatic representation from the US: | embassy: Rue 15.873, Avenue Sembene Ousmane, Ouaga 2000, Secteur 15 |
| Diplomatic representation from the US: | mailing address: 01 B. P. 35, Ouagadougou 01; pouch mail - US Department of State, 2440 Ouagadougou Place, Washington, DC 20521-2440 |
| Diplomatic representation from the US: | telephone: [226] 25-49-53-00 |
| Diplomatic representation from the US: | FAX: [226] 25-49-56-28 |
| Flag description: | two equal horizontal bands of red (top) and green with a yellow five-pointed star in the center; red recalls the country's struggle for independence, green is for hope and abundance, and yellow represents the country's mineral wealth |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia |
| National symbol(s): | white stallion; national colors: red, yellow, green |
| National anthem: | name: "Le Ditanye" (Anthem of Victory) |
| National anthem: | lyrics/music: Thomas SANKARA |
| National anthem: | note: adopted 1974; also known as "Une Seule Nuit" (One Single Night); written by the country's president, an avid guitar player |
