| Government | Albania |
| Diplomatic representation in the US: | FAX: [1] (202) 628-7342 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Donald LU (since 13 January 2015) |
| Diplomatic representation from the US: | embassy: Rruga e Elbasanit, 103, Tirana |
| Diplomatic representation from the US: | mailing address: US Department of State, 9510 Tirana Place, Dulles, VA 20189-9510 |
| Diplomatic representation from the US: | telephone: [355] (4) 2247-285 |
| Diplomatic representation from the US: | FAX: [355] (4) 2232-222 |
| Flag description: | red with a black two-headed eagle in the center; the design is claimed to be that of 15th-century hero Georgi Kastrioti SKANDERBEG, who led a successful uprising against the Ottoman Turks that resulted in a short-lived independence for some Albanian regions (1443-78); an unsubstantiated explanation for the eagle symbol is the tradition that Albanians see themselves as descendants of the eagle; they refer to themselves as "Shqiptare," which translates as "sons of the eagle" |
| National symbol(s): | black double-headed eagle; national colors: red, black |
| National anthem: | name: "Hymni i Flamurit" (Hymn to the Flag) |
| National anthem: | lyrics/music: Aleksander Stavre DRENOVA/Ciprian PORUMBESCU |
| National anthem: | note: adopted 1912 |
