| Government | ANGOLA |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president upon recommendation of the Supreme Judicial Council, an 18-member body chaired by the president; judge tenure NA; Constitutional Court judges - 4 nominated by the president, 4 elected by National Assembly, 2 elected by Supreme National Council, 1 elected by competitive submission of curricula; judges serve single 7-year terms |
| Judicial branch: | subordinate courts: provincial and municipal courts |
| Political parties and leaders: | Broad Convergence for the Salvation of Angola Electoral Coalition or CASA-CE [Abel CHIVUKUVUKU] |
| Political parties and leaders: | National Front for the Liberation of Angola or FNLA; note - there are two factions of the party; one is led by Lucas NGONDA; the other is led by Ngola KABANGU |
| Political parties and leaders: | National Union for the Total Independence of Angola or UNITA [Isaias SAMAKUVA] (largest opposition party) |
| Political parties and leaders: | Popular Movement for the Liberation of Angola or MPLA [Jose Eduardo DOS SANTOS] (ruling party in power since 1975) |
| Political parties and leaders: | Social Renewal Party or PRS [Eduardo KUANGANA] |
| Political pressure groups and leaders: | Angolan Revolutionary Movement or ARM |
| Political pressure groups and leaders: | Front for the Liberation of the Enclave of Cabinda or FLEC [N'zita Henriques TIAGO] |
| Political pressure groups and leaders: | note: FLEC's small-scale armed struggle for the independence of Cabinda Province persists despite the signing of a peace accord with the government in August 2006; several factions of FLEC have broken off over the past 30 years, including the FLEC-PM [Rodrigues MINGAS], which was responsible for a deadly attack on the Togolese soccer team in 2010 |
| International organization participation: | ACP, AfDB, AU, CEMAC, CPLP, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, NAM, OAS (observer), OPEC, SADC, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Agostinho Tavares da Silva NETO (since 18 November 2014) |
| Diplomatic representation in the US: | chancery: 2100-2108 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 785-1156 |
| Diplomatic representation in the US: | FAX: [1] (202) 822-9049 |
| Diplomatic representation in the US: | consulate(s) general: Houston, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Helen Meagher LA LIME (15 May 2014) |
| Diplomatic representation from the US: | embassy: number 32 Rua Houari Boumedienne (in the Miramar area of Luanda), Luanda |
| Diplomatic representation from the US: | mailing address: international mail: Caixa Postal 6468, Luanda; pouch: US Embassy Luanda, US Department of State, 2550 Luanda Place, Washington, DC 20521-2550 |
| Diplomatic representation from the US: | telephone: [244] 946440977 |
| Diplomatic representation from the US: | FAX: [244] (222) 64-1000 |
| Flag description: | two equal horizontal bands of red (top) and black with a centered yellow emblem consisting of a five-pointed star within half a cogwheel crossed by a machete (in the style of a hammer and sickle); red represents liberty, black the African continent, the symbols characterize workers and peasants |
| National symbol(s): | Palanca Negra Gigante (giant black sable antelope); national colors: red, black, yellow |
| National anthem: | name: "Angola Avante" (Forward Angola) |
| National anthem: | lyrics/music: Manuel Rui Alves MONTEIRO/Rui Alberto Vieira Dias MINGAO |
| National anthem: | note: adopted 1975 |
