| Government | Cuba |
| Executive branch: | election results: Miguel DIAZ-CANEL Bermudez (PCC) elected president; percent of National Assembly vote - 98.8%; Salvador Antonio VALDES Mesa (PCC) elected vice president; percent of National Assembly vote - 98.1% |
| Executive branch: | note - on 19 April 2018, DIAZ-CANEL succeeded Raul CASTRO as president of the Council of State; on 10 October 2019 he was elected to the newly created position of President of the Republic, which replaced the position of President of the Council of State |
| Legislative branch: | description: unicameral National Assembly of People's Power or Asamblea Nacional del Poder Popular (605 seats; members directly elected by absolute majority vote; members serve 5-year terms); note 1 - the National Candidature Commission submits a slate of approved candidates; to be elected, candidates must receive more than 50% of valid votes otherwise the seat remains vacant or the Council of State can declare another election; note 2 - in july 2019, the National Assembly passed a law which reduces the number of members from 605 to 474, effective with the 2023 general election |
| Legislative branch: | elections: last held on 11 March 2018 (next to be held in early 2023) |
| Legislative branch: | election results: Cuba's Communist Party is the only legal party, and officially sanctioned candidates run unopposed; composition - men 283, women 322, percent of women 53.2% |
| Judicial branch: | highest courts: People's Supreme Court (consists of court president, vice president, 41 professional justices, and NA lay judges); organization includes the State Council, criminal, civil, administrative, labor, crimes against the state, and military courts) |
| Judicial branch: | judge selection and term of office: professional judges elected by the National Assembly are not subject to a specific term; lay judges nominated by workplace collectives and neighborhood associations and elected by municipal or provincial assemblies; lay judges appointed for 5-year terms and serve up to 30 days per year |
| Judicial branch: | subordinate courts: People's Provincial Courts; People's Regional Courts; People's Courts |
| Political parties and leaders: | Cuban Communist Party or PCC [Raul CASTRO Ruz] |
| International organization participation: | ACP, ALBA, AOSIS, CELAC, FAO, G-77, IAEA, ICAO, ICC (national committees), ICRM, IFAD, IFRCS, IHO, ILO, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, LAES, LAIA, NAM, OAS (excluded from formal participation since 1962), OPANAL, OPCW, PCA, Petrocaribe, PIF (partner), UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jose Ramon CABANAS Rodriguez (since 17 September 2015) |
| Diplomatic representation in the US: | chancery: 2630 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 797-8518 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Mara TEKACH (since 20 June 2018) |
| Diplomatic representation from the US: | telephone: [53] (7) 839-4100 |
| Diplomatic representation from the US: | embassy: Calzada between L & M Streets, Vedado, Havana |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | FAX: NA |
| Flag description: | five equal horizontal bands of blue (top, center, and bottom) alternating with white; a red equilateral triangle based on the hoist side bears a white, five-pointed star in the center; the blue bands refer to the three old divisions of the island: central, occidental, and oriental; the white bands describe the purity of the independence ideal; the triangle symbolizes liberty, equality, and fraternity, while the red color stands for the blood shed in the independence struggle; the white star, called La Estrella Solitaria (the Lone Star) lights the way to freedom and was taken from the flag of Texas |
| Flag description: | note: design similar to the Puerto Rican flag, with the colors of the bands and triangle reversed |
| National symbol(s): | royal palm; national colors: red, white, blue |
| National anthem: | name: "La Bayamesa" (The Bayamo Song) |
| National anthem: | lyrics/music: Pedro FIGUEREDO |
| National anthem: | note: adopted 1940; Pedro FIGUEREDO first performed "La Bayamesa" in 1868 during the Ten Years War against the Spanish; a leading figure in the uprising, FIGUEREDO was captured in 1870 and executed by a firing squad; just prior to the fusillade he is reputed to have shouted, "Morir por la Patria es vivir" (To die for the country is to live), a line from the anthem |
